Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761784458,305237.96,3.052390E+06,305237.96,27199.91,2.720000E+05,27199.91
1761784468,250260.99,5.555000E+06,277749.52,22300.00,4.950000E+05,24749.96
1761784478,268194.00,8.236940E+06,274564.35,23900.00,7.340000E+05,24466.64
1761784488,283918.99,1.107613E+07,276903.01,25300.00,9.870000E+05,24674.98
1761784498,291781.01,1.399394E+07,279878.61,26000.00,1.247000E+06,24939.98
1761784508,298526.99,1.697921E+07,282986.67,26600.00,1.513000E+06,25216.65
1761784518,301879.00,1.999800E+07,285685.57,26900.00,1.782000E+06,25457.13
1761784528,297374.00,2.297174E+07,287146.62,26500.00,2.047000E+06,25587.49
1761784538,286157.02,2.583331E+07,287036.67,25500.00,2.302000E+06,25577.77
1761784548,255889.98,2.839221E+07,283922.00,22800.00,2.530000E+06,25299.99
1761784558,265953.01,3.105174E+07,282288.46,23700.00,2.767000E+06,25154.54
1761784568,270465.01,3.375639E+07,281303.17,24100.00,3.008000E+06,25066.66
1761784578,306354.99,3.681994E+07,283230.23,27300.00,3.281000E+06,25238.45
1761784588,304118.87,3.986113E+07,284722.28,27099.99,3.552000E+06,25371.42
1761784598,286187.12,4.272300E+07,284819.93,25500.01,3.807000E+06,25379.99
1761784608,265957.02,4.538257E+07,283641.00,23700.00,4.044000E+06,25274.99
1761784618,260363.99,4.798621E+07,282271.77,23200.00,4.276000E+06,25152.94
1761784628,268191.99,5.066813E+07,281489.56,23900.00,4.515000E+06,25083.33
1761784638,314218.02,5.381031E+07,283212.11,28000.00,4.795000E+06,25236.84
1761784648,307508.01,5.688539E+07,284426.90,27400.00,5.069000E+06,25345.00
1761784658,289518.99,5.978058E+07,284669.38,25800.00,5.327000E+06,25366.66
1761784668,270455.00,6.248513E+07,284023.27,24100.00,5.568000E+06,25309.09
1761784678,260361.00,6.508874E+07,282994.48,23200.00,5.800000E+06,25217.39
1761784688,259246.86,6.768121E+07,282005.00,23099.99,6.031000E+06,25129.16
1761784698,311979.13,7.080100E+07,283203.96,27800.01,6.309000E+06,25236.00
1761784708,289512.88,7.369613E+07,283446.61,25799.99,6.567000E+06,25257.69
1761784718,290661.14,7.660274E+07,283713.82,25900.01,6.826000E+06,25281.48
1761784728,285039.00,7.945313E+07,283761.14,25400.00,7.080000E+06,25285.71
1761784738,273817.99,8.219131E+07,283418.28,24400.00,7.324000E+06,25255.17
1761784748,277208.01,8.496339E+07,283211.27,24700.00,7.571000E+06,25236.66
1761784758,308592.00,8.804931E+07,284030.00,27500.00,7.846000E+06,25309.67
1761784768,296289.99,9.101221E+07,284413.13,26400.00,8.110000E+06,25343.75
1761784778,282800.00,9.384021E+07,284364.24,25200.00,8.362000E+06,25339.39
1761784788,280536.99,9.664558E+07,284251.68,25000.00,8.612000E+06,25329.41
1761784798,272700.00,9.937258E+07,283921.63,24300.00,8.855000E+06,25300.00
1761784808,273842.00,1.021110E+08,283641.64,24400.00,9.099000E+06,25275.00
1761784818,288394.00,1.049949E+08,283770.08,25700.00,9.356000E+06,25286.48
1761784828,314219.00,1.081371E+08,284571.37,28000.00,9.636000E+06,25357.89
1761784838,288425.98,1.110214E+08,284670.21,25700.00,9.893000E+06,25366.66
1761784848,287274.02,1.138941E+08,284735.30,25600.00,1.014900E+07,25372.50
1761784858,270460.99,1.165987E+08,284387.15,24100.00,1.039000E+07,25341.46
1761784868,298526.01,1.195840E+08,284723.79,26600.00,1.065600E+07,25371.43
1761784878,318693.97,1.227709E+08,285513.79,28400.00,1.094000E+07,25441.86
1761784888,296264.02,1.257336E+08,285758.11,26400.00,1.120400E+07,25463.63
1761784898,277198.99,1.285056E+08,285567.91,24700.00,1.145100E+07,25446.66
1761784908,267074.01,1.311763E+08,285165.87,23800.00,1.168900E+07,25410.87
1761784918,281681.83,1.339931E+08,285091.74,25099.99,1.194000E+07,25404.25
1761784928,267108.15,1.366642E+08,284717.08,23800.01,1.217800E+07,25370.83
1761784938,276053.01,1.394247E+08,284540.27,24600.00,1.242400E+07,25355.10
1761784948,270461.99,1.421294E+08,284258.70,24100.00,1.266500E+07,25330.00
1761784958,286158.00,1.449909E+08,284295.94,25500.00,1.292000E+07,25333.33
1761784968,274937.01,1.477403E+08,284115.96,24500.00,1.316500E+07,25317.31
1761784978,305268.98,1.507930E+08,284515.08,27200.00,1.343700E+07,25352.83
1761784988,306356.99,1.538566E+08,284919.56,27300.00,1.371000E+07,25388.89
1761784998,319822.02,1.570548E+08,285554.15,28500.00,1.399500E+07,25445.45
1761785008,310851.99,1.601633E+08,286005.89,27700.00,1.427200E+07,25485.71
1761785018,283927.01,1.630026E+08,285969.42,25300.00,1.452500E+07,25482.45
1761785028,274963.00,1.657522E+08,285779.66,24500.00,1.477000E+07,25465.52
1761785038,267072.62,1.684229E+08,285462.59,23799.97,1.500800E+07,25437.29
1761785048,253619.36,1.709591E+08,284931.87,22600.03,1.523400E+07,25390.00
1761785058,273818.00,1.736973E+08,284749.67,24400.00,1.547800E+07,25373.77
1761785068,265990.01,1.763572E+08,284447.10,23700.00,1.571500E+07,25346.77
1761785078,259209.99,1.789493E+08,284046.51,23100.00,1.594600E+07,25311.11
1761785088,295169.00,1.819010E+08,284220.30,26300.00,1.620900E+07,25326.56
1761785098,303000.01,1.849310E+08,284509.22,27000.00,1.647900E+07,25352.31
1761785108,305238.99,1.879834E+08,284823.30,27200.00,1.675100E+07,25380.30
1761785118,305235.01,1.910357E+08,285127.96,27200.00,1.702300E+07,25407.46
1761785128,313100.00,1.941667E+08,285539.31,27900.00,1.730200E+07,25444.12
1761785138,279447.01,1.969612E+08,285451.01,24900.00,1.755100E+07,25436.23
1761785148,274936.00,1.997106E+08,285300.80,24500.00,1.779600E+07,25422.86
1761785158,270463.99,2.024152E+08,285091.83,24100.00,1.803700E+07,25404.22
1761785168,268192.00,2.050971E+08,284857.11,23900.00,1.827600E+07,25383.33
1761785178,265987.01,2.077570E+08,284598.62,23700.00,1.851300E+07,25360.27
1761785188,298494.01,2.107419E+08,284786.39,26600.00,1.877900E+07,25377.03
1761785198,279420.98,2.135362E+08,284714.85,24900.00,1.902800E+07,25370.67
1761785208,264858.99,2.161847E+08,284453.59,23600.00,1.926400E+07,25347.37
1761785218,263719.99,2.188219E+08,284184.32,23500.00,1.949900E+07,25323.38
1761785228,260363.01,2.214256E+08,283878.92,23200.00,1.973100E+07,25296.15
1761785238,307474.01,2.245003E+08,284177.60,27400.00,2.000500E+07,25322.78
1761785248,305269.00,2.275530E+08,284441.24,27200.00,2.027700E+07,25346.25
1761785258,288394.00,2.304369E+08,284490.04,25700.00,2.053400E+07,25350.62
1761785268,277206.00,2.332090E+08,284401.21,24700.00,2.078100E+07,25342.68
1761785278,273820.98,2.359472E+08,284273.73,24400.00,2.102500E+07,25331.32
1761785288,262600.01,2.385732E+08,284015.71,23400.00,2.125900E+07,25308.33
1761785298,277172.99,2.413449E+08,283935.21,24700.00,2.150600E+07,25301.18
1761785308,290663.00,2.442516E+08,284013.44,25900.00,2.176500E+07,25308.14
1761785318,296256.02,2.472141E+08,284154.16,26400.00,2.202900E+07,25320.69
1761785328,292899.98,2.501431E+08,284253.55,26100.00,2.229000E+07,25329.54
1761785338,299642.82,2.531396E+08,284426.46,26699.98,2.255700E+07,25344.94
1761785348,301883.18,2.561584E+08,284620.42,26900.02,2.282600E+07,25362.22
1761785358,315335.00,2.593117E+08,284957.95,28100.00,2.310700E+07,25392.31
1761785368,316457.02,2.624763E+08,285300.33,28200.00,2.338900E+07,25422.83
1761785378,291781.99,2.653941E+08,285370.02,26000.00,2.364900E+07,25429.03
1761785388,289543.01,2.682896E+08,285414.42,25800.00,2.390700E+07,25432.98
1761785398,273817.99,2.710277E+08,285292.35,24400.00,2.415100E+07,25422.10
1761785408,280565.00,2.738334E+08,285243.10,25000.00,2.440100E+07,25417.71
1761785418,273818.00,2.765716E+08,285125.32,24400.00,2.464500E+07,25407.22
1761785428,283919.88,2.794108E+08,285113.02,25299.99,2.489800E+07,25406.12
1761785438,292897.12,2.823397E+08,285191.65,26100.01,2.515900E+07,25413.13
1761785448,279447.01,2.851342E+08,285134.20,24900.00,2.540800E+07,25408.00
1761785458,285037.99,2.879846E+08,285133.25,25400.00,2.566200E+07,25407.92
1761785468,299620.00,2.909808E+08,285275.27,26700.00,2.592900E+07,25420.59
1761785478,320952.01,2.941903E+08,285621.65,28600.00,2.621500E+07,25451.46
1761785488,296290.00,2.971532E+08,285724.23,26400.00,2.647900E+07,25460.58
1761785498,301879.00,3.001720E+08,285878.09,26900.00,2.674800E+07,25474.28
1761785508,279412.01,3.029661E+08,285817.09,24900.00,2.699700E+07,25468.87
1761785518,260361.99,3.055697E+08,285579.19,23200.00,2.722900E+07,25447.66
1761785528,280564.99,3.083754E+08,285532.76,25000.00,2.747900E+07,25443.52
1761785538,318692.01,3.115623E+08,285836.97,28400.00,2.776300E+07,25470.64
1761785548,300763.00,3.145699E+08,285972.66,26800.00,2.803100E+07,25482.73
1761785558,283918.99,3.174091E+08,285954.16,25300.00,2.828400E+07,25481.08
1761785568,303000.01,3.204391E+08,286106.36,27000.00,2.855400E+07,25494.64
1761785578,277204.99,3.232112E+08,286027.58,24700.00,2.880100E+07,25487.61
1761785588,281682.01,3.260280E+08,285989.47,25100.00,2.905200E+07,25484.21
1761785598,299612.99,3.290241E+08,286107.93,26700.00,2.931900E+07,25494.78
1761785608,313099.99,3.321551E+08,286340.62,27900.00,2.959800E+07,25515.52
1761785618,301882.00,3.351740E+08,286473.45,26900.00,2.986700E+07,25527.35
1761785628,282799.00,3.380019E+08,286442.31,25200.00,3.011900E+07,25524.58
1761785638,272700.00,3.407289E+08,286326.83,24300.00,3.036200E+07,25514.28
1761785648,297406.01,3.437030E+08,286419.16,26500.00,3.062700E+07,25522.50
1761785658,304121.00,3.467442E+08,286565.45,27100.00,3.089800E+07,25535.54
1761785668,298492.00,3.497291E+08,286663.21,26600.00,3.116400E+07,25544.26
1761785678,282800.00,3.525571E+08,286631.80,25200.00,3.141600E+07,25541.46
1761785688,277208.00,3.553292E+08,286555.81,24700.00,3.166300E+07,25534.68
1761785698,263718.00,3.579664E+08,286373.10,23500.00,3.189800E+07,25518.40
1761785708,287274.00,3.608391E+08,286380.25,25600.00,3.215400E+07,25519.05
1761785718,271581.00,3.635549E+08,286263.72,24200.00,3.239600E+07,25508.66
1761785728,301880.00,3.665737E+08,286385.73,26900.00,3.266500E+07,25519.53
1761785738,289544.81,3.694692E+08,286410.22,25799.81,3.292300E+07,25521.70
1761785748,279412.11,3.722633E+08,286356.38,24900.19,3.317200E+07,25516.92
1761785758,274968.99,3.750130E+08,286269.46,24500.00,3.341700E+07,25509.16
1761785768,292900.01,3.779420E+08,286319.69,26100.00,3.367800E+07,25513.64
1761785778,301858.00,3.809606E+08,286436.52,26900.00,3.394700E+07,25524.06
1761785788,301873.01,3.839793E+08,286551.72,26900.00,3.421600E+07,25534.33
1761785798,288425.99,3.868636E+08,286565.60,25700.00,3.447300E+07,25535.55
1761785808,288401.01,3.897476E+08,286579.10,25700.00,3.473000E+07,25536.76
1761785818,269336.00,3.924409E+08,286453.23,24000.00,3.497000E+07,25525.55
1761785828,274936.99,3.951903E+08,286369.78,24500.00,3.521500E+07,25518.12
1761785838,276089.99,3.979512E+08,286295.83,24600.00,3.546100E+07,25511.51
1761785848,305236.02,4.010036E+08,286431.11,27200.00,3.573300E+07,25523.57
1761785858,299642.98,4.040000E+08,286524.82,26700.00,3.600000E+07,25531.91
1761785868,291757.98,4.069176E+08,286561.67,26000.00,3.626000E+07,25535.21
1761785878,283942.03,4.097570E+08,286543.35,25300.00,3.651300E+07,25533.57
1761785888,309712.00,4.128541E+08,286704.24,27600.00,3.678900E+07,25547.92
1761785898,313100.98,4.159851E+08,286886.29,27900.00,3.706800E+07,25564.14
1761785908,307508.02,4.190602E+08,287027.53,27400.00,3.734200E+07,25576.71
1761785918,287273.00,4.219329E+08,287029.20,25600.00,3.759800E+07,25576.87
1761785928,265963.99,4.245926E+08,286886.87,23700.00,3.783500E+07,25564.19
1761785938,271573.00,4.273083E+08,286784.09,24200.00,3.807700E+07,25555.03
1761785948,264868.99,4.299570E+08,286637.99,23600.00,3.831300E+07,25542.00
1761785958,316456.01,4.331216E+08,286835.46,28200.00,3.859500E+07,25559.60
1761785968,300765.00,4.361292E+08,286927.11,26800.00,3.886300E+07,25567.76
1761785978,290637.00,4.390356E+08,286951.35,25900.00,3.912200E+07,25569.93
1761785988,274962.99,4.417852E+08,286873.51,24500.00,3.936700E+07,25562.99
1761785998,262600.01,4.444112E+08,286716.90,23400.00,3.960100E+07,25549.03
1761786008,286153.00,4.472727E+08,286713.29,25500.00,3.985600E+07,25548.72
1761786018,310864.98,4.503814E+08,286867.12,27700.00,4.013300E+07,25562.42
1761786028,305235.02,4.534337E+08,286983.37,27200.00,4.040500E+07,25572.78
1761786038,307484.01,4.565086E+08,287112.31,27400.00,4.067900E+07,25584.28
1761786048,263742.01,4.591460E+08,286966.24,23500.00,4.091400E+07,25571.25
1761786058,258093.99,4.617269E+08,286786.91,23000.00,4.114400E+07,25555.28
1761786068,274937.00,4.644763E+08,286713.77,24500.00,4.138900E+07,25548.76
1761786078,267107.99,4.671474E+08,286593.48,23800.00,4.162700E+07,25538.04
1761786088,300739.98,4.701548E+08,286679.74,26800.00,4.189500E+07,25545.73
1761786098,292921.04,4.730840E+08,286717.57,26100.00,4.215600E+07,25549.09
1761786108,274938.98,4.758334E+08,286646.61,24500.00,4.240100E+07,25542.77
1761786118,260361.01,4.784370E+08,286489.22,23200.00,4.263300E+07,25528.74
1761786128,287277.00,4.813098E+08,286493.90,25600.00,4.288900E+07,25529.17
1761786138,308622.98,4.843960E+08,286624.85,27500.00,4.316400E+07,25540.83
1761786148,301873.01,4.874147E+08,286714.54,26900.00,4.343300E+07,25548.82
1761786158,273827.00,4.901530E+08,286639.18,24400.00,4.367700E+07,25542.10
1761786168,292890.87,4.930819E+08,286675.52,26099.99,4.393800E+07,25545.35
1761786178,279422.11,4.958761E+08,286633.60,24900.01,4.418700E+07,25541.62
1761786188,281680.02,4.986929E+08,286605.13,25100.00,4.443800E+07,25539.08
1761786198,325446.99,5.019474E+08,286827.08,29000.00,4.472800E+07,25558.86
1761786208,308616.99,5.050336E+08,286950.89,27500.00,4.500300E+07,25569.89
1761786218,294016.85,5.079737E+08,286990.81,26199.99,4.526500E+07,25573.45
1761786228,268226.15,5.106560E+08,286885.39,23900.01,4.550400E+07,25564.04
1761786238,269312.99,5.133491E+08,286787.22,24000.00,4.574400E+07,25555.31
1761786248,287308.00,5.162222E+08,286790.11,25600.00,4.600000E+07,25555.56
1761786258,316452.99,5.193867E+08,286953.99,28200.00,4.628200E+07,25570.17
1761786268,297381.81,5.223606E+08,287011.29,26499.80,4.654700E+07,25575.27

Summary:
loaded 523584000 metrics in 1823.906sec with 8 workers (mean rate 287067.39 metrics/sec)
loaded 46656000 rows in 1823.906sec with 8 workers (mean rate 25580.26 rows/sec)
