Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761786471,288384.70,2.883940E+06,288384.70,25699.17,2.570000E+05,25699.17
1761786481,304117.99,5.925120E+06,296251.22,27100.00,5.280000E+05,26399.57
1761786491,270462.00,8.629740E+06,287654.90,24100.00,7.690000E+05,25633.06
1761786501,299647.00,1.162621E+07,290652.90,26700.00,1.036000E+06,25899.79
1761786511,306353.00,1.468974E+07,293792.90,27300.00,1.309000E+06,26179.83
1761786521,299647.01,1.768621E+07,294768.58,26700.00,1.576000E+06,26266.53
1761786531,302997.00,2.071618E+07,295944.06,27000.00,1.846000E+06,26371.31
1761786541,298494.99,2.370113E+07,296262.93,26600.00,2.112000E+06,26399.89
1761786551,265987.02,2.636100E+07,292898.95,23700.00,2.349000E+06,26099.91
1761786561,256977.00,2.893077E+07,289306.77,22900.00,2.578000E+06,25779.92
1761786571,274935.99,3.168013E+07,288000.34,24500.00,2.823000E+06,25663.56
1761786581,307504.90,3.475518E+07,289625.71,27399.99,3.097000E+06,25808.26
1761786591,313103.11,3.788621E+07,291431.66,27900.01,3.376000E+06,25969.17
1761786601,310837.00,4.099458E+07,292817.75,27700.00,3.653000E+06,26092.80
1761786611,272715.00,4.372173E+07,291477.57,24300.00,3.896000E+06,25973.28
1761786621,270440.00,4.642613E+07,290162.73,24100.00,4.137000E+06,25856.20
1761786631,274968.01,4.917581E+07,289268.92,24500.00,4.382000E+06,25776.42
1761786641,283918.89,5.201500E+07,288971.70,25299.99,4.635000E+06,25749.95
1761786651,317574.11,5.519074E+07,290477.09,28300.01,4.918000E+06,25884.17
1761786661,298505.01,5.817579E+07,290878.48,26600.00,5.184000E+06,25919.96
1761786671,263741.98,6.081321E+07,289586.27,23500.00,5.419000E+06,25804.72
