Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761788487,294017.21,2.940210E+06,294017.21,26199.66,2.620000E+05,26199.66
1761788497,313100.00,6.071210E+06,303558.55,27900.00,5.410000E+05,27049.83
1761788507,289510.00,8.966310E+06,298875.72,25800.00,7.990000E+05,26633.22
1761788517,262600.00,1.159231E+07,289806.82,23400.00,1.033000E+06,25824.92
1761788527,269342.99,1.428574E+07,285714.06,24000.00,1.273000E+06,25459.93
1761788537,314220.00,1.742794E+07,290465.04,28000.00,1.553000E+06,25883.28
1761788547,300762.99,2.043557E+07,291936.17,26800.00,1.821000E+06,26014.24
1761788557,306356.01,2.349913E+07,293738.65,27300.00,2.094000E+06,26174.96
1761788567,308626.00,2.658539E+07,295392.80,27500.00,2.369000E+06,26322.18
1761788577,299619.00,2.958158E+07,295815.42,26700.00,2.636000E+06,26359.97
1761788587,276081.00,3.234239E+07,294021.38,24600.00,2.882000E+06,26199.97
1761788597,270460.99,3.504700E+07,292058.02,24100.00,3.123000E+06,26024.97
1761788607,269313.02,3.774013E+07,290308.41,24000.00,3.363000E+06,25869.21
1761788617,286187.00,4.060200E+07,290014.02,25500.00,3.618000E+06,25842.83
1761788627,316455.99,4.376656E+07,291776.82,28200.00,3.900000E+06,25999.98
1761788637,310865.01,4.687521E+07,292969.83,27700.00,4.177000E+06,26106.23
1761788647,260336.89,4.947858E+07,291050.24,23199.99,4.409000E+06,25935.27
1761788657,280555.11,5.228413E+07,290467.18,25000.01,4.659000E+06,25883.31
1761788667,267107.98,5.495521E+07,289237.75,23800.00,4.897000E+06,25773.67
1761788677,283918.01,5.779439E+07,288971.76,25300.00,5.150000E+06,25749.98
1761788687,320961.01,6.100400E+07,290495.06,28600.00,5.436000E+06,25885.70
1761788697,306356.99,6.406757E+07,291216.06,27300.00,5.709000E+06,25949.98
1761788707,272702.00,6.679459E+07,290411.10,24300.00,5.952000E+06,25878.25
1761788717,285034.89,6.964494E+07,290187.09,25399.99,6.206000E+06,25858.32
1761788727,268227.11,7.232721E+07,289308.69,23900.01,6.445000E+06,25779.99
1761788737,283917.89,7.516639E+07,289101.35,25299.99,6.698000E+06,25761.53
1761788747,314218.11,7.830857E+07,290031.60,28000.01,6.978000E+06,25844.43
1761788757,308600.99,8.139458E+07,290694.79,27500.00,7.253000E+06,25903.56
1761788767,265981.00,8.405439E+07,289842.60,23700.00,7.490000E+06,25827.57
1761788777,272700.01,8.678139E+07,289271.18,24300.00,7.733000E+06,25776.66
1761788787,262600.00,8.940739E+07,288410.82,23400.00,7.967000E+06,25699.99
1761788797,264835.00,9.205574E+07,287674.07,23600.00,8.203000E+06,25634.36
1761788807,308626.00,9.514200E+07,288308.98,27500.00,8.478000E+06,25690.90
1761788817,305239.01,9.819439E+07,288806.92,27200.00,8.750000E+06,25735.28
1761788827,271581.99,1.009102E+08,288314.78,24200.00,8.992000E+06,25691.42
1761788837,276052.99,1.036707E+08,287974.17,24600.00,9.238000E+06,25661.10
1761788847,295139.02,1.066221E+08,288167.82,26300.00,9.501000E+06,25678.37
1761788857,315360.00,1.097757E+08,288883.40,28100.00,9.782000E+06,25742.10
1761788867,324305.97,1.130188E+08,289791.67,28900.00,1.007100E+07,25823.07
1761788877,313121.01,1.161500E+08,290374.91,27900.00,1.035000E+07,25874.99
1761788887,272700.02,1.188770E+08,289943.81,24300.00,1.059300E+07,25836.58
1761788897,274939.00,1.216264E+08,289586.55,24500.00,1.083800E+07,25804.75
1761788907,271582.00,1.243422E+08,289167.84,24200.00,1.108000E+07,25767.43
1761788917,271555.01,1.270578E+08,288767.55,24200.00,1.132200E+07,25731.81
1761788927,287298.00,1.299307E+08,288734.90,25600.00,1.157800E+07,25728.88
1761788937,276056.99,1.326913E+08,288459.29,24600.00,1.182400E+07,25704.34
1761788947,279443.99,1.354858E+08,288267.47,24900.00,1.207300E+07,25687.23
1761788957,307483.00,1.385606E+08,288667.80,27400.00,1.234700E+07,25722.91
1761788967,313100.00,1.416916E+08,289166.41,27900.00,1.262600E+07,25767.34
1761788977,320955.02,1.449011E+08,289802.19,28600.00,1.291200E+07,25823.99
1761788987,314217.98,1.480433E+08,290280.93,28000.00,1.319200E+07,25866.66
1761788997,303000.01,1.510733E+08,290525.52,27000.00,1.346200E+07,25888.46
1761789007,274969.00,1.538230E+08,290232.00,24500.00,1.370700E+07,25862.26
1761789017,270431.00,1.565273E+08,289865.32,24100.00,1.394800E+07,25829.62
1761789027,259243.00,1.591197E+08,289308.55,23100.00,1.417900E+07,25779.99
1761789037,276057.01,1.618803E+08,289071.92,24600.00,1.442500E+07,25758.92
1761789047,274969.00,1.646300E+08,288824.50,24500.00,1.467000E+07,25736.84
1761789057,265956.89,1.672896E+08,288430.23,23699.99,1.490700E+07,25701.72
1761789067,297374.12,1.702633E+08,288581.82,26500.01,1.517200E+07,25715.25
1761789077,324326.98,1.735066E+08,289177.57,28900.00,1.546100E+07,25768.33
1761789087,314242.00,1.766490E+08,289588.46,28000.00,1.574100E+07,25804.91
1761789097,324321.02,1.798922E+08,290148.67,28900.00,1.603000E+07,25854.83
1761789107,316453.00,1.830567E+08,290566.19,28200.00,1.631200E+07,25892.06
1761789117,300764.98,1.860644E+08,290725.55,26800.00,1.658000E+07,25906.24
