Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761884083,435416.29,4.354180E+06,435416.29,38799.85,3.880000E+05,38799.85
1761884093,415221.00,8.506390E+06,425318.66,37000.00,7.580000E+05,37899.93
1761884103,416338.01,1.266977E+07,422325.12,37100.00,1.129000E+06,37633.28
1761884113,397254.00,1.664231E+07,416057.34,35400.00,1.483000E+06,37074.96
1761884123,337808.00,2.002039E+07,400407.49,30100.00,1.784000E+06,35679.97
1761884133,323200.00,2.325239E+07,387539.58,28800.00,2.072000E+06,34533.31
1761884143,405118.00,2.730357E+07,390050.78,36100.00,2.433000E+06,34757.12
1761884153,433157.01,3.163514E+07,395439.06,38600.00,2.819000E+06,35237.48
1761884163,423078.77,3.586593E+07,398510.14,37699.98,3.196000E+06,35511.09
1761884173,427581.00,4.014174E+07,401417.22,38100.00,3.577000E+06,35769.98
1761884183,424200.22,4.438374E+07,403488.40,37800.02,3.955000E+06,35954.53
1761884193,379326.01,4.817700E+07,401474.87,33800.00,4.293000E+06,35774.99
1761884203,389393.74,5.207094E+07,400545.55,34699.98,4.640000E+06,35692.30
1761884213,368106.22,5.575200E+07,398228.46,32800.02,4.968000E+06,35485.70
1761884223,383776.02,5.958976E+07,397264.96,34200.00,5.310000E+06,35399.99
1761884233,421954.98,6.380931E+07,398808.09,37600.00,5.686000E+06,35537.49
1761884243,412982.01,6.793913E+07,399641.85,36800.00,6.054000E+06,35611.76
1761884253,384918.02,7.178831E+07,398823.86,34300.00,6.397000E+06,35538.88
1761884263,370343.00,7.549174E+07,397324.87,33000.00,6.727000E+06,35405.26
1761884273,354620.01,7.903794E+07,395189.62,31600.00,7.043000E+06,35214.99
1761884283,390544.99,8.294339E+07,394968.45,34800.00,7.391000E+06,35195.23
1761884293,448873.97,8.743213E+07,397418.70,40000.00,7.791000E+06,35413.63
1761884303,426445.03,9.169658E+07,398680.72,38000.00,8.171000E+06,35526.08
1761884313,392773.00,9.562431E+07,398434.56,35000.00,8.521000E+06,35504.16
1761884323,405126.80,9.967558E+07,398702.25,36099.98,8.882000E+06,35527.99
1761884333,356881.15,1.032444E+08,397093.75,31800.01,9.200000E+06,35384.61
1761884343,362481.86,1.068692E+08,395811.83,32299.99,9.523000E+06,35270.36
1761884353,432037.19,1.111896E+08,397105.59,38500.02,9.908000E+06,35385.71
1761884363,417480.78,1.153644E+08,397808.18,37199.98,1.028000E+07,35448.27
1761884373,383800.19,1.192024E+08,397341.25,34200.02,1.062200E+07,35406.66
1761884383,380419.01,1.230066E+08,396795.37,33900.00,1.096100E+07,35358.06
1761884393,354621.00,1.265528E+08,395477.42,31600.00,1.127700E+07,35240.62
1761884403,392778.97,1.304806E+08,395395.65,35000.00,1.162700E+07,35233.33
1761884413,430938.03,1.347900E+08,396441.01,38400.00,1.201100E+07,35326.47
1761884423,421960.99,1.390096E+08,397170.16,37600.00,1.238700E+07,35391.42
1761884433,396137.00,1.429709E+08,397141.46,35300.00,1.274000E+07,35388.89
1761884443,374817.98,1.467191E+08,396538.12,33400.00,1.307400E+07,35335.13
1761884453,382682.02,1.505459E+08,396173.49,34100.00,1.341500E+07,35302.63
1761884463,407363.99,1.546196E+08,396460.42,36300.00,1.377800E+07,35328.20
1761884473,427581.01,1.588954E+08,397238.44,38100.00,1.415900E+07,35397.50
1761884483,432061.00,1.632160E+08,398087.77,38500.00,1.454400E+07,35473.17
1761884493,386038.99,1.670764E+08,397800.89,34400.00,1.488800E+07,35447.62
1761884503,380419.02,1.708806E+08,397396.66,33900.00,1.522700E+07,35411.62
1761884513,369215.82,1.745727E+08,396756.19,32899.98,1.555600E+07,35354.54
1761884523,357984.11,1.781526E+08,395894.59,31900.01,1.587500E+07,35277.77
1761884533,374841.89,1.819010E+08,395436.92,33399.99,1.620900E+07,35236.95
1761884543,396139.20,1.858624E+08,395451.86,35300.02,1.656200E+07,35238.29
1761884553,381539.69,1.896778E+08,395162.02,33999.97,1.690200E+07,35212.50
1761884563,387178.33,1.935496E+08,394999.09,34500.03,1.724700E+07,35197.96
1761884573,419700.98,1.977466E+08,395493.13,37400.00,1.762100E+07,35242.00
1761884583,426462.98,2.020112E+08,396100.38,38000.00,1.800100E+07,35296.08
1761884593,424199.99,2.062532E+08,396640.76,37800.00,1.837900E+07,35344.23
1761884603,434300.06,2.105962E+08,397351.31,38700.01,1.876600E+07,35407.54
