Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761885601,397255.69,3.972570E+06,397255.69,35399.88,3.540000E+05,35399.88
1761885611,387164.01,7.844210E+06,392209.86,34500.00,6.990000E+05,34949.94
1761885621,410735.98,1.195157E+07,398385.22,36600.00,1.065000E+06,35499.96
1761885631,349001.02,1.544158E+07,386039.18,31100.00,1.376000E+06,34399.97
1761885641,407380.99,1.951539E+07,390307.54,36300.00,1.739000E+06,34779.98
1761885651,412981.76,2.364521E+07,394086.58,36799.98,2.107000E+06,35116.64
1761885661,424200.22,2.788721E+07,398388.52,37800.02,2.485000E+06,35499.98
1761885671,411852.02,3.200573E+07,400071.46,36700.00,2.852000E+06,35649.99
1761885681,423057.97,3.623631E+07,402625.52,37700.00,3.229000E+06,35877.76
1761885691,368105.04,3.991736E+07,399173.47,32800.00,3.557000E+06,35569.99
1761885701,366956.99,4.358693E+07,396244.70,32700.00,3.884000E+06,35309.08
1761885711,377064.97,4.735758E+07,394646.39,33600.00,4.220000E+06,35166.66
1761885721,399518.04,5.135276E+07,395021.13,35600.00,4.576000E+06,35199.99
1761885731,421962.96,5.557239E+07,396945.55,37600.00,4.952000E+06,35371.42
1761885741,429792.01,5.987031E+07,399135.31,38300.00,5.335000E+06,35566.66
1761885751,358005.02,6.345036E+07,396564.67,31900.00,5.654000E+06,35337.49
1761885761,364721.01,6.709757E+07,394691.51,32500.00,5.979000E+06,35170.58
1761885771,364716.99,7.074474E+07,393026.26,32500.00,6.304000E+06,35022.22
1761885781,435419.88,7.509894E+07,395257.50,38799.99,6.692000E+06,35221.05
1761885791,421963.15,7.931857E+07,396592.79,37600.01,7.068000E+06,35339.99
1761885801,426436.97,8.358294E+07,398013.94,38000.00,7.448000E+06,35466.66
1761885811,373699.79,8.731994E+07,396908.75,33299.98,7.781000E+06,35368.18
1761885821,378206.21,9.110200E+07,396095.59,33700.02,8.118000E+06,35295.65
1761885831,373700.02,9.483900E+07,395162.45,33300.00,8.451000E+06,35212.50
1761885841,410713.00,9.894613E+07,395784.47,36600.00,8.817000E+06,35268.00
1761885851,417486.65,1.031210E+08,396619.17,37199.97,9.189000E+06,35342.30
1761885861,433158.37,1.074526E+08,397972.47,38600.03,9.575000E+06,35462.96
1761885871,389416.00,1.113467E+08,397666.88,34700.00,9.922000E+06,35435.71
1761885881,377057.00,1.151173E+08,396956.20,33600.00,1.025800E+07,35372.41
1761885891,388310.01,1.190004E+08,396667.99,34600.00,1.060400E+07,35346.66
1761885901,391659.00,1.229170E+08,396506.41,34900.00,1.095300E+07,35332.25
1761885911,418574.00,1.271027E+08,397196.02,37300.00,1.132600E+07,35393.75
1761885921,418598.97,1.312887E+08,397844.60,37300.00,1.169900E+07,35451.51
1761885931,375948.01,1.350482E+08,397200.58,33500.00,1.203400E+07,35394.11
1761885941,370310.02,1.387513E+08,396432.28,33000.00,1.236400E+07,35325.71
1761885951,382680.96,1.425781E+08,396050.30,34100.00,1.270500E+07,35291.66
1761885961,426446.03,1.468426E+08,396871.80,38000.00,1.308500E+07,35364.86
1761885971,416363.00,1.510062E+08,397384.73,37100.00,1.345600E+07,35410.52
1761885981,424200.01,1.552482E+08,398072.30,37800.00,1.383400E+07,35471.79
1761885991,375935.99,1.590076E+08,397518.89,33500.00,1.416900E+07,35422.50
1761886001,377056.00,1.627781E+08,397019.80,33600.00,1.450500E+07,35378.05
1761886011,389425.99,1.666724E+08,396838.99,34700.00,1.485200E+07,35361.90
1761886021,384918.01,1.705216E+08,396561.76,34300.00,1.519500E+07,35337.21
1761886031,412982.01,1.746514E+08,396934.95,36800.00,1.556300E+07,35370.45
1761886041,414100.00,1.787924E+08,397316.39,36900.00,1.593200E+07,35404.44
1761886051,384918.00,1.826416E+08,397046.86,34300.00,1.627500E+07,35380.43
1761886061,374816.99,1.863897E+08,396573.89,33400.00,1.660900E+07,35338.30
1761886071,380446.99,1.901942E+08,396237.91,33900.00,1.694800E+07,35308.33
1761886081,388273.02,1.940769E+08,396075.36,34600.00,1.729400E+07,35293.88
1761886091,436536.42,1.984423E+08,396884.58,38899.95,1.768300E+07,35366.00
1761886101,425327.52,2.026956E+08,397442.29,37900.05,1.806200E+07,35415.68
1761886111,366981.02,2.063654E+08,396856.49,32700.00,1.838900E+07,35363.46
1761886121,377055.02,2.101359E+08,396482.88,33600.00,1.872500E+07,35330.19
1761886131,390544.97,2.140414E+08,396372.92,34800.00,1.907300E+07,35320.37
1761886141,427555.01,2.183169E+08,396939.87,38100.00,1.945400E+07,35370.91
1761886151,432063.01,2.226376E+08,397567.07,38500.00,1.983900E+07,35426.78
1761886161,433182.00,2.269694E+08,398191.89,38600.00,2.022500E+07,35482.45
1761886171,374817.99,2.307176E+08,397788.89,33400.00,2.055900E+07,35446.55
1761886181,382681.97,2.345444E+08,397532.84,34100.00,2.090000E+07,35423.73
1761886191,384918.02,2.383936E+08,397322.59,34300.00,2.124300E+07,35405.00
1761886201,395019.01,2.423438E+08,397284.83,35200.00,2.159500E+07,35401.64
1761886211,428683.00,2.466306E+08,397791.25,38200.00,2.197700E+07,35446.77
1761886221,425340.98,2.508840E+08,398228.55,37900.00,2.235600E+07,35485.71
1761886231,372573.01,2.546097E+08,397827.68,33200.00,2.268800E+07,35450.00
1761886241,382658.01,2.584363E+08,397594.30,34100.00,2.302900E+07,35429.23
1761886251,398407.94,2.624204E+08,397606.63,35499.99,2.338400E+07,35430.30
1761886261,429801.06,2.667184E+08,398087.14,38300.01,2.376700E+07,35473.13
1761886271,436559.94,2.710840E+08,398652.92,38899.99,2.415600E+07,35523.53
1761886281,417457.05,2.752586E+08,398925.44,37200.00,2.452800E+07,35547.82
