Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761894627,391623.76,3.916310E+06,391623.76,34899.36,3.490000E+05,34899.36
1761894637,400643.00,7.922740E+06,396133.34,35700.00,7.060000E+05,35299.67
1761894647,419725.98,1.212000E+07,403997.51,37400.00,1.080000E+06,35999.78
1761894657,382658.02,1.594658E+07,398662.66,34100.00,1.421000E+06,35524.84
1761894667,343399.98,1.938058E+07,387610.16,30600.00,1.727000E+06,34539.87
1761894677,319836.01,2.257894E+07,376314.51,28500.00,2.012000E+06,33533.23
1761894687,399503.02,2.657397E+07,379627.14,35600.00,2.368000E+06,33828.48
1761894697,418596.98,3.075994E+07,384498.36,37300.00,2.741000E+06,34262.42
1761894707,423080.02,3.499074E+07,388785.20,37700.00,3.118000E+06,34644.37
1761894717,423081.96,3.922156E+07,392214.87,37700.00,3.495000E+06,34949.94
1761894727,430944.01,4.353100E+07,395735.70,38400.00,3.879000E+06,35263.58
1761894737,374820.83,4.727921E+07,393992.79,33399.99,4.213000E+06,35108.28
1761894747,362479.16,5.090400E+07,391568.67,32300.01,4.536000E+06,34892.26
1761894757,375939.01,5.466339E+07,390452.27,33500.00,4.871000E+06,34792.81
1761894767,388274.02,5.854613E+07,390307.05,34600.00,5.217000E+06,34779.96
1761894777,410743.95,6.265357E+07,391584.36,36600.00,5.583000E+06,34893.71
1761894787,414100.06,6.679457E+07,392908.81,36900.01,5.952000E+06,35011.73
1761894797,387155.98,7.066613E+07,392589.21,34500.00,6.297000E+06,34983.30
1761894807,360243.94,7.426857E+07,390886.83,32099.99,6.618000E+06,34831.54
1761894817,372582.06,7.799439E+07,389971.59,33200.01,6.950000E+06,34749.97
1761894827,401760.76,8.201200E+07,390532.98,35799.98,7.308000E+06,34799.97
1761894837,415220.99,8.616421E+07,391655.16,37000.00,7.678000E+06,34899.97
1761894847,429792.25,9.046213E+07,393313.29,38300.02,8.061000E+06,35047.80
1761894857,378208.01,9.424421E+07,392683.91,33700.00,8.398000E+06,34991.64
1761894867,363599.82,9.788021E+07,391520.54,32399.98,8.722000E+06,34887.97
1761894877,369192.16,1.015721E+08,390661.76,32900.01,9.051000E+06,34811.51
1761894887,389426.04,1.054664E+08,390615.99,34700.00,9.398000E+06,34807.38
1761894897,410733.98,1.095737E+08,391334.49,36600.00,9.764000E+06,34871.41
1761894907,425327.00,1.138270E+08,392506.65,37900.00,1.014300E+07,34975.84
1761894917,374820.99,1.175752E+08,391917.12,33400.00,1.047700E+07,34923.31
1761894927,360219.01,1.211774E+08,390894.61,32100.00,1.079800E+07,34832.24
1761894937,365859.98,1.248360E+08,390112.27,32600.00,1.112400E+07,34762.48
1761894947,382657.99,1.286626E+08,389886.39,34100.00,1.146500E+07,34742.40
1761894957,419715.78,1.328597E+08,390763.72,37399.98,1.183900E+07,34820.57
1761894967,450026.27,1.373600E+08,392456.94,40100.02,1.224000E+07,34971.41
1761894977,393899.96,1.412990E+08,392497.02,35100.00,1.259100E+07,34974.98
1761894987,365839.04,1.449574E+08,391776.53,32600.00,1.291700E+07,34910.79
1761894997,370318.99,1.486606E+08,391211.86,33000.00,1.324700E+07,34860.51
1761895007,425311.93,1.529137E+08,392086.22,37899.99,1.362600E+07,34938.44
1761895017,425350.85,1.571672E+08,392917.84,37899.99,1.400500E+07,35012.48
1761895027,419692.23,1.613641E+08,393570.87,37400.02,1.437900E+07,35070.72
1761895037,377086.99,1.651350E+08,393178.40,33600.00,1.471500E+07,35035.70
1761895047,360213.98,1.687371E+08,392411.78,32100.00,1.503600E+07,34967.43
1761895057,366986.00,1.724070E+08,391833.93,32700.00,1.536300E+07,34915.89
1761895067,370313.01,1.761101E+08,391355.68,33000.00,1.569300E+07,34873.32
1761895077,362480.99,1.797349E+08,390727.97,32300.00,1.601600E+07,34817.38
1761895087,390545.01,1.836404E+08,390724.08,34800.00,1.636400E+07,34817.01
1761895097,380419.00,1.874446E+08,390509.39,33900.00,1.670300E+07,34797.90
1761895107,398398.92,1.914286E+08,390670.40,35499.99,1.705800E+07,34812.23
1761895117,427556.08,1.957041E+08,391408.12,38100.01,1.743900E+07,34877.99
1761895127,411860.74,1.998227E+08,391809.15,36699.98,1.780600E+07,34913.71
1761895137,417457.27,2.039973E+08,392302.38,37200.02,1.817800E+07,34957.68
1761895147,435427.01,2.083516E+08,393116.05,38800.00,1.856600E+07,35030.18
1761895157,393899.96,2.122906E+08,393130.57,35100.00,1.891700E+07,35031.47
1761895167,351255.04,2.158031E+08,392369.20,31300.00,1.923000E+07,34963.62
1761895177,365844.81,2.194616E+08,391895.55,32599.98,1.955600E+07,34921.42
1761895187,363615.15,2.230977E+08,391399.40,32400.01,1.988000E+07,34877.18
1761895197,354627.04,2.266440E+08,390765.39,31600.00,2.019600E+07,34820.68
1761895207,393899.98,2.305830E+08,390818.52,35100.00,2.054700E+07,34825.41
1761895217,424200.00,2.348250E+08,391374.88,37800.00,2.092500E+07,34874.99
1761895227,414099.99,2.389660E+08,391747.42,36900.00,2.129400E+07,34908.19
1761895237,421939.85,2.431854E+08,392234.40,37599.99,2.167000E+07,34951.60
1761895247,421953.98,2.474049E+08,392706.14,37600.00,2.204600E+07,34993.64
1761895257,416337.18,2.515683E+08,393075.37,37100.02,2.241700E+07,35026.55
1761895267,420842.77,2.557767E+08,393502.56,37499.98,2.279200E+07,35064.61
1761895277,401765.11,2.597944E+08,393627.75,35800.01,2.315000E+07,35075.75
1761895287,347874.11,2.632731E+08,392944.86,31000.01,2.346000E+07,35014.92
1761895297,356887.00,2.668420E+08,392414.60,31800.00,2.377800E+07,34967.64
1761895307,369193.97,2.705339E+08,392078.07,32900.00,2.410700E+07,34937.67
1761895317,360245.00,2.741364E+08,391623.31,32100.00,2.442800E+07,34897.13
1761895327,378174.02,2.779181E+08,391433.88,33700.00,2.476500E+07,34880.27
1761895337,439926.01,2.823174E+08,392107.39,39200.00,2.515700E+07,34940.27
1761895347,412981.98,2.864472E+08,392393.34,36800.00,2.552500E+07,34965.74
1761895357,417453.00,2.906217E+08,392731.98,37200.00,2.589700E+07,34995.94
1761895367,428684.00,2.949086E+08,393211.34,38200.00,2.627900E+07,35038.66
1761895377,410736.03,2.990159E+08,393441.93,36600.00,2.664500E+07,35059.20
1761895387,415218.96,3.031681E+08,393724.75,37000.00,2.701500E+07,35084.41
1761895397,391661.01,3.070847E+08,393698.29,34900.00,2.736400E+07,35082.04
1761895407,356857.00,3.106533E+08,393231.95,31800.00,2.768200E+07,35040.50
1761895417,360243.01,3.142557E+08,392819.58,32100.00,2.800300E+07,35003.74
1761895427,387156.95,3.181273E+08,392749.68,34500.00,2.834800E+07,34997.52
1761895437,405127.04,3.221786E+08,392900.62,36100.00,2.870900E+07,35010.97
1761895447,404000.01,3.262186E+08,393034.35,36000.00,2.906900E+07,35022.88
1761895457,377080.84,3.299894E+08,392844.42,33599.99,2.940500E+07,35005.94
1761895467,359092.14,3.335803E+08,392447.34,32000.01,2.972500E+07,34970.58
1761895477,378208.02,3.373624E+08,392281.76,33700.00,3.006200E+07,34955.81
1761895487,419701.00,3.415594E+08,392596.93,37400.00,3.043600E+07,34983.90
1761895497,410734.00,3.456667E+08,392803.03,36600.00,3.080200E+07,35002.27
1761895507,425319.79,3.499199E+08,393168.39,37899.98,3.118100E+07,35034.82
1761895517,390543.97,3.538254E+08,393139.23,34800.00,3.152900E+07,35032.21
1761895527,350120.18,3.573266E+08,392666.49,31200.02,3.184100E+07,34990.10
1761895537,371455.01,3.610411E+08,392435.93,33100.00,3.217200E+07,34969.56
1761895547,366986.99,3.647110E+08,392162.29,32700.00,3.249900E+07,34945.15
1761895557,375939.00,3.684704E+08,391989.70,33500.00,3.283400E+07,34929.78
1761895567,419692.03,3.726673E+08,392281.30,37400.00,3.320800E+07,34955.78
1761895577,395026.98,3.766176E+08,392309.90,35200.00,3.356000E+07,34958.33
1761895587,424199.77,3.808596E+08,392638.67,37799.98,3.393800E+07,34987.62
1761895597,428699.24,3.851466E+08,393006.63,38200.02,3.432000E+07,35020.40
1761895607,417456.01,3.893211E+08,393253.59,37200.00,3.469200E+07,35042.42
1761895617,402880.99,3.933499E+08,393349.87,35900.00,3.505100E+07,35050.99
1761895627,419726.99,3.975472E+08,393611.03,37400.00,3.542500E+07,35074.25
1761895637,373700.01,4.012842E+08,393415.82,33300.00,3.575800E+07,35056.86
1761895647,366952.99,4.049537E+08,393158.90,32700.00,3.608500E+07,35033.97
1761895657,377066.00,4.087244E+08,393004.16,33600.00,3.642100E+07,35020.19
1761895667,373691.01,4.124613E+08,392820.23,33300.00,3.675400E+07,35003.80
1761895677,411863.00,4.165799E+08,392999.87,36700.00,3.712100E+07,35019.81
1761895687,432062.01,4.209006E+08,393364.94,38500.00,3.750600E+07,35052.33
1761895697,379301.78,4.246936E+08,393234.73,33799.98,3.784400E+07,35040.73
1761895707,357999.21,4.282736E+08,392911.47,31900.02,3.816300E+07,35011.92
1761895717,375936.99,4.320329E+08,392757.15,33500.00,3.849800E+07,34998.18
1761895727,428706.01,4.363200E+08,393081.02,38200.00,3.888000E+07,35027.02
1761895737,414099.99,4.404610E+08,393268.69,36900.00,3.924900E+07,35043.74
1761895747,412957.79,4.445906E+08,393442.92,36799.98,3.961700E+07,35059.29
1761895757,389416.21,4.484847E+08,393407.60,34700.02,3.996400E+07,35056.13
1761895767,371465.00,4.521994E+08,393216.80,33100.00,4.029500E+07,35039.12
1761895777,418574.00,4.563851E+08,393435.39,37300.00,4.066800E+07,35058.62
1761895787,423080.99,4.606159E+08,393688.78,37700.00,4.104500E+07,35081.19
1761895797,415219.00,4.647681E+08,393871.23,37000.00,4.141500E+07,35097.45
1761895807,418608.01,4.689542E+08,394079.11,37300.00,4.178800E+07,35115.96
1761895817,393899.99,4.728932E+08,394077.61,35100.00,4.213900E+07,35115.83
1761895827,370310.00,4.765963E+08,393881.19,33000.00,4.246900E+07,35098.34
1761895837,364727.01,4.802436E+08,393642.22,32500.00,4.279400E+07,35077.04
1761895847,366981.00,4.839134E+08,393425.46,32700.00,4.312100E+07,35057.72
1761895857,406234.97,4.879757E+08,393528.76,36200.00,4.348300E+07,35066.93
1761895867,414100.03,4.921167E+08,393693.33,36900.00,4.385200E+07,35081.59
1761895877,373703.00,4.958538E+08,393534.68,33300.00,4.418500E+07,35067.46
1761895887,370343.85,4.995572E+08,393352.08,32999.99,4.451500E+07,35051.18
1761895897,388272.12,5.034399E+08,393312.39,34600.01,4.486100E+07,35047.65
1761895907,417465.02,5.076146E+08,393499.62,37200.00,4.523300E+07,35064.34
1761895917,414100.00,5.117556E+08,393658.08,36900.00,4.560200E+07,35078.46
1761895927,423073.02,5.159863E+08,393882.62,37700.00,4.597900E+07,35098.47
1761895937,388307.69,5.198694E+08,393840.39,34599.97,4.632500E+07,35094.69

Summary:
loaded 523584000 metrics in 1329.957sec with 8 workers (mean rate 393684.80 metrics/sec)
loaded 46656000 rows in 1329.957sec with 8 workers (mean rate 35080.82 rows/sec)
