Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761897654,487027.66,4.870390E+06,487027.66,43398.99,4.340000E+05,43398.99
1761897664,507235.02,9.942740E+06,497131.22,45200.00,8.860000E+05,44299.48
1761897674,512865.02,1.507139E+07,502375.78,45700.00,1.343000E+06,44766.32
1761897684,417453.98,1.924593E+07,481145.45,37200.00,1.715000E+06,42874.75
1761897694,436537.97,2.361131E+07,472224.00,38900.00,2.104000E+06,42079.80
1761897704,501643.06,2.862774E+07,477127.15,44700.01,2.551000E+06,42516.50
1761897714,517339.00,3.380113E+07,482871.68,46100.00,3.012000E+06,43028.43
1761897724,508386.98,3.888500E+07,486061.09,45300.00,3.465000E+06,43312.37
1761897734,513957.99,4.402458E+07,489160.73,45800.00,3.923000E+06,43588.78
1761897744,512855.01,4.915313E+07,491530.16,45700.00,4.380000E+06,43799.90
1761897754,528587.00,5.443900E+07,494898.95,47100.00,4.851000E+06,44099.91
1761897764,475821.01,5.919721E+07,493309.13,42400.00,5.275000E+06,43958.25
1761897774,460090.99,6.379812E+07,490753.89,41000.00,5.685000E+06,43730.69
1761897784,487061.00,6.866873E+07,490490.11,43400.00,6.119000E+06,43707.07
1761897794,527448.00,7.394321E+07,492953.97,47000.00,6.589000E+06,43926.60
1761897804,516217.79,7.910539E+07,494407.96,45999.98,7.049000E+06,44056.18
1761897814,515096.20,8.425635E+07,495624.91,45900.02,7.508000E+06,44164.65
1761897824,480296.00,8.905931E+07,494773.30,42800.00,7.936000E+06,44088.83
1761897834,462363.01,9.368294E+07,493067.50,41200.00,8.348000E+06,43936.79
1761897844,488163.57,9.856458E+07,492822.31,43499.96,8.783000E+06,43914.95
1761897854,526342.47,1.038280E+08,494418.50,46900.04,9.252000E+06,44057.09
1761897864,526320.67,1.090912E+08,495868.60,46899.97,9.721000E+06,44186.32
1761897874,522937.28,1.143206E+08,497045.50,46600.03,1.018700E+07,44291.26
1761897884,492655.04,1.192471E+08,496862.56,43900.00,1.062600E+07,44274.96
1761897894,476945.00,1.240166E+08,496065.86,42500.00,1.105100E+07,44203.96
1761897904,480315.98,1.288197E+08,495460.09,42800.00,1.147900E+07,44149.96
1761897914,530820.03,1.341279E+08,496769.72,47300.00,1.195200E+07,44266.63
1761897924,528562.99,1.394136E+08,497905.19,47100.00,1.242300E+07,44367.82
1761897934,493781.98,1.443514E+08,497763.01,44000.00,1.286300E+07,44355.14
1761897944,482561.02,1.491770E+08,497256.28,43000.00,1.329300E+07,44309.97
1761897954,464599.97,1.538230E+08,496202.85,41400.00,1.370700E+07,44216.10
1761897964,466839.01,1.584914E+08,495285.23,41600.00,1.412300E+07,44134.34
1761897974,513982.01,1.636312E+08,495851.80,45800.00,1.458100E+07,44184.82
1761897984,524079.02,1.688720E+08,496682.01,46700.00,1.504800E+07,44258.79
1761897994,520693.00,1.740789E+08,497368.04,46400.00,1.551200E+07,44319.97
1761898004,494900.74,1.790279E+08,497299.50,44099.98,1.595300E+07,44313.86
1761898014,478064.27,1.838086E+08,496779.63,42600.02,1.637900E+07,44267.54
1761898024,524072.99,1.890493E+08,497497.88,46700.00,1.684600E+07,44331.55
1761898034,517369.01,1.942230E+08,498007.40,46100.00,1.730700E+07,44376.90
1761898044,520693.98,1.994299E+08,498574.56,46400.00,1.777100E+07,44427.47
1761898054,516219.01,2.045921E+08,499004.91,46000.00,1.823100E+07,44465.83
1761898064,470226.02,2.092944E+08,498319.70,41900.00,1.865000E+07,44404.74
1761898074,482560.98,2.141200E+08,497953.22,43000.00,1.908000E+07,44372.07
1761898084,462339.99,2.187434E+08,497143.83,41200.00,1.949200E+07,44299.98
1761898094,481434.01,2.235577E+08,496794.72,42900.00,1.992100E+07,44268.87
1761898104,490404.99,2.284618E+08,496655.81,43700.00,2.035800E+07,44256.50
1761898114,507260.01,2.335344E+08,496881.44,45200.00,2.081000E+07,44276.57
1761898124,483681.99,2.383712E+08,496606.45,43100.00,2.124100E+07,44252.06
1761898134,512837.03,2.434996E+08,496937.68,45700.00,2.169800E+07,44281.61
1761898144,517362.74,2.486732E+08,497346.18,46099.98,2.215900E+07,44317.98
1761898154,512837.24,2.538016E+08,497649.93,45700.02,2.261600E+07,44345.08
1761898164,528581.01,2.590874E+08,498244.76,47100.00,2.308700E+07,44398.06
1761898174,515099.99,2.642384E+08,498562.78,45900.00,2.354600E+07,44426.40
1761898184,471319.01,2.689516E+08,498058.27,42000.00,2.396600E+07,44381.46
1761898194,470218.99,2.736538E+08,497552.10,41900.00,2.438500E+07,44336.34
1761898204,489296.00,2.785467E+08,497404.67,43600.00,2.482100E+07,44323.20
1761898214,462339.73,2.831701E+08,496789.49,41199.98,2.523300E+07,44268.40
1761898224,517345.06,2.883436E+08,497143.90,46100.00,2.569400E+07,44299.98
1761898234,524073.24,2.935843E+08,497600.33,46700.02,2.616100E+07,44340.66
1761898244,509508.02,2.986794E+08,497798.79,45400.00,2.661500E+07,44358.32
1761898254,498255.00,3.036619E+08,497806.27,44400.00,2.705900E+07,44359.00
1761898264,520726.99,3.088692E+08,498175.96,46400.00,2.752300E+07,44391.92
1761898274,522936.71,3.140986E+08,498568.99,46599.97,2.798900E+07,44426.97
1761898284,515100.28,3.192496E+08,498827.29,45900.02,2.844800E+07,44449.98
1761898294,510615.98,3.243557E+08,499008.65,45500.00,2.890300E+07,44466.14
1761898304,485920.02,3.292149E+08,498810.34,43300.00,2.933600E+07,44448.47
1761898314,453380.00,3.337487E+08,498132.27,40400.00,2.974000E+07,44388.04
1761898324,476939.00,3.385181E+08,497820.61,42500.00,3.016500E+07,44360.28
1761898334,485921.01,3.433773E+08,497648.15,43300.00,3.059800E+07,44344.91
1761898344,497165.96,3.483490E+08,497641.26,44300.00,3.104100E+07,44344.27
1761898354,536421.05,3.537132E+08,498187.46,47800.00,3.151900E+07,44392.94
1761898364,475818.01,3.584714E+08,497876.77,42400.00,3.194300E+07,44365.26
1761898374,500492.00,3.634763E+08,497912.59,44600.00,3.238900E+07,44368.48
1761898384,520725.98,3.686836E+08,498220.88,46400.00,3.285300E+07,44395.93
1761898394,530825.04,3.739918E+08,498655.61,47300.00,3.332600E+07,44434.65
1761898404,508356.99,3.790754E+08,498783.26,45300.00,3.377900E+07,44446.04
1761898414,512860.97,3.842040E+08,498966.08,45700.00,3.423600E+07,44462.32
1761898424,449994.00,3.887039E+08,498338.24,40100.00,3.463700E+07,44406.40
1761898434,469106.03,3.933950E+08,497968.21,41800.00,3.505500E+07,44373.40
1761898444,454500.00,3.979400E+08,497424.86,40500.00,3.546000E+07,44324.99
1761898454,516220.99,4.031022E+08,497656.91,46000.00,3.592000E+07,44345.67
1761898464,513978.74,4.082420E+08,497855.95,45799.98,3.637800E+07,44363.40
1761898474,505000.00,4.132920E+08,497942.03,45000.00,3.682800E+07,44371.07
1761898484,478056.24,4.180726E+08,497705.29,42600.02,3.725400E+07,44349.99
1761898494,470202.01,4.227746E+08,497381.72,41900.00,3.767300E+07,44321.16
1761898504,521834.99,4.279929E+08,497666.06,46500.00,3.813800E+07,44346.50
1761898514,527446.99,4.332674E+08,498008.37,47000.00,3.860800E+07,44377.00
1761898524,511730.31,4.383847E+08,498164.30,45599.67,3.906400E+07,44390.89
1761898534,507242.68,4.434571E+08,498266.31,45200.33,3.951600E+07,44399.99
1761898544,454499.98,4.480021E+08,497780.02,40500.00,3.992100E+07,44356.66
1761898554,489308.00,4.528952E+08,497686.92,43600.00,4.035700E+07,44348.34
1761898564,465717.77,4.575524E+08,497339.43,41499.98,4.077200E+07,44317.38
1761898574,482561.20,4.623780E+08,497180.52,43000.02,4.120200E+07,44303.21
