Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761908666,483656.44,4.836580E+06,483656.44,43099.86,4.310000E+05,43099.86
1761908676,511735.97,9.953940E+06,497696.18,45600.00,8.870000E+05,44349.93
1761908686,575699.94,1.571094E+07,523697.41,51299.99,1.400000E+06,46666.61
1761908696,487046.09,2.058140E+07,514534.58,43400.01,1.834000E+06,45849.96
1761908706,426439.01,2.484579E+07,496915.48,38000.00,2.214000E+06,44279.97
1761908716,448894.98,2.933474E+07,488912.07,40000.00,2.614000E+06,43566.64
1761908726,522965.00,3.456439E+07,493776.77,46600.00,3.080000E+06,43999.98
1761908736,540892.00,3.997331E+07,499666.17,48200.00,3.562000E+06,44524.98
1761908746,533061.89,4.530394E+07,503376.81,47499.90,4.037000E+06,44855.53
1761908756,549907.11,5.080300E+07,508029.83,49000.10,4.527000E+06,45269.99
1761908766,537538.78,5.617839E+07,510712.46,47899.98,5.006000E+06,45509.08
1761908776,488154.22,6.105993E+07,508832.61,43500.02,5.441000E+06,45341.65
1761908786,465719.99,6.571713E+07,505516.26,41500.00,5.856000E+06,45046.14
1761908796,510625.98,7.082339E+07,505881.24,45500.00,6.311000E+06,45078.56
1761908806,511718.99,7.594058E+07,506270.42,45600.00,6.767000E+06,45113.32
1761908816,528580.75,8.122639E+07,507664.82,47099.98,7.238000E+06,45237.49
1761908826,534182.31,8.656821E+07,509224.67,47600.03,7.714000E+06,45376.46
1761908836,508352.98,9.165174E+07,509176.24,45300.00,8.167000E+06,45372.21
1761908846,476938.82,9.642113E+07,507479.53,42499.98,8.592000E+06,45221.04
1761908856,478066.18,1.012018E+08,506008.87,42600.02,9.018000E+06,45089.99
1761908866,535321.02,1.065550E+08,507404.68,47700.00,9.495000E+06,45214.28
1761908876,547638.99,1.120314E+08,509233.52,48800.00,9.983000E+06,45377.27
1761908886,518454.98,1.172159E+08,509634.45,46200.00,1.044500E+07,45413.04
1761908896,520727.01,1.224232E+08,510096.64,46400.00,1.090900E+07,45454.16
1761908906,487035.98,1.272936E+08,509174.21,43400.00,1.134300E+07,45371.99
1761908916,464600.03,1.319396E+08,507459.82,41400.00,1.175700E+07,45219.23
1761908926,521842.83,1.371580E+08,507992.53,46499.99,1.222200E+07,45266.66
1761908936,533031.17,1.424883E+08,508886.76,47500.02,1.269700E+07,45346.42
1761908946,543163.01,1.479199E+08,510068.70,48400.00,1.318100E+07,45451.72
1761908956,501644.65,1.529364E+08,509787.90,44699.97,1.362800E+07,45426.66
1761908966,471319.30,1.576496E+08,508546.98,42000.03,1.404800E+07,45316.12
1761908976,487063.01,1.625202E+08,507875.60,43400.00,1.448200E+07,45256.25
1761908986,534179.01,1.678620E+08,508672.68,47600.00,1.495800E+07,45327.27
1761908996,521812.99,1.730801E+08,509059.16,46500.00,1.542300E+07,45361.76
1761909006,530825.75,1.783884E+08,509681.06,47299.98,1.589600E+07,45417.14
