Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761900098,493746.87,4.937580E+06,493746.87,43999.01,4.400000E+05,43999.01
1761900108,498281.01,9.920390E+06,496013.91,44400.00,8.840000E+05,44199.50
1761900118,510591.98,1.502631E+07,500873.23,45500.00,1.339000E+06,44633.00
1761900128,434309.03,1.936940E+07,484232.28,38700.00,1.726000E+06,43149.76
1761900138,455617.98,2.392558E+07,478509.44,40600.00,2.132000E+06,42639.81
1761900148,494899.90,2.887458E+07,481241.18,44099.99,2.573000E+06,42883.17
1761900158,515100.09,3.402558E+07,486078.15,45900.01,3.032000E+06,43314.15
1761900168,539798.74,3.942357E+07,492793.20,48099.98,3.513000E+06,43912.37
1761900178,518462.98,4.460820E+07,495645.39,46200.00,3.975000E+06,44166.55
1761900188,529701.20,4.990521E+07,499050.97,47200.02,4.447000E+06,44469.90
1761900198,492636.81,5.483158E+07,498467.86,43899.98,4.886000E+06,44418.09
1761900208,444400.26,5.927558E+07,493962.24,39600.02,5.282000E+06,44016.58
1761900218,469099.00,6.396657E+07,492049.69,41800.00,5.700000E+06,43846.08
1761900228,513981.97,6.910639E+07,493616.28,45800.00,6.158000E+06,43985.64
1761900238,522960.78,7.433600E+07,495572.57,46599.98,6.624000E+06,44159.93
1761900248,528557.25,7.962157E+07,497634.11,47100.02,7.095000E+06,44343.69
1761900258,478056.03,8.440213E+07,496482.46,42600.00,7.521000E+06,44241.12
1761900268,473580.98,8.913794E+07,495210.16,42200.00,7.943000E+06,44127.72
1761900278,463479.99,9.377274E+07,493540.15,41300.00,8.356000E+06,43978.90
1761900288,515099.97,9.892374E+07,494618.14,45900.00,8.815000E+06,44074.95
1761900298,549884.02,1.044226E+08,497249.85,49000.00,9.305000E+06,44309.48
1761900308,537563.01,1.097982E+08,499082.26,47900.00,9.784000E+06,44472.68
1761900318,499373.00,1.147919E+08,499094.90,44500.00,1.022900E+07,44473.87
1761900328,470223.98,1.194942E+08,497891.95,41900.00,1.064800E+07,44366.62
1761900338,492655.03,1.244207E+08,497682.47,43900.00,1.108700E+07,44347.96
1761900348,504985.02,1.294706E+08,497963.34,45000.00,1.153700E+07,44373.04
1761900358,524072.98,1.347113E+08,498930.36,46700.00,1.200400E+07,44459.22
1761900368,531943.00,1.400307E+08,500109.38,47400.00,1.247800E+07,44564.25
1761900378,496020.00,1.449909E+08,499968.37,44200.00,1.292000E+07,44551.69
1761900388,470227.00,1.496932E+08,498976.99,41900.00,1.333900E+07,44463.30
1761900398,488152.99,1.545747E+08,498627.83,43500.00,1.377400E+07,44432.23
1761900408,506120.02,1.596359E+08,498861.96,45100.00,1.422500E+07,44453.09
1761900418,512862.97,1.647646E+08,499286.23,45700.00,1.468200E+07,44490.88
1761900428,525199.79,1.700166E+08,500048.40,46799.98,1.515000E+07,44558.79
1761900438,509474.21,1.751113E+08,500317.71,45400.02,1.560400E+07,44582.83
1761900448,465726.99,1.797686E+08,499356.85,41500.00,1.601900E+07,44497.19
1761900458,493772.97,1.847063E+08,499205.94,44000.00,1.645900E+07,44483.76
1761900468,537569.04,1.900820E+08,500215.49,47900.00,1.693800E+07,44573.66
1761900478,507238.80,1.951544E+08,500395.58,45199.98,1.739000E+07,44589.72
1761900488,531919.23,2.004736E+08,501183.67,47400.02,1.786400E+07,44659.97
1761900498,499397.77,2.054676E+08,501140.11,44499.98,1.830900E+07,44656.07
1761900508,464601.20,2.101136E+08,500270.14,41400.02,1.872300E+07,44578.55
1761900518,465717.01,2.147707E+08,499466.58,41500.00,1.913800E+07,44506.95
1761900528,475820.01,2.195289E+08,498929.15,42400.00,1.956200E+07,44459.07
1761900538,503879.98,2.245677E+08,499039.17,44900.00,2.001100E+07,44468.87
1761900548,534183.00,2.299096E+08,499803.17,47600.00,2.048700E+07,44536.93
1761900558,498256.03,2.348921E+08,499770.25,44400.00,2.093100E+07,44534.02
1761900568,463478.96,2.395269E+08,499014.18,41300.00,2.134400E+07,44466.65
1761900578,525201.92,2.447789E+08,499548.63,46799.99,2.181200E+07,44514.27
1761900588,524083.09,2.500198E+08,500039.31,46700.01,2.227900E+07,44557.98
1761900598,517336.00,2.551931E+08,500378.47,46100.00,2.274000E+07,44588.22
1761900608,522960.99,2.604227E+08,500812.74,46600.00,2.320600E+07,44626.90
1761900618,500526.01,2.654280E+08,500807.33,44600.00,2.365200E+07,44626.40
1761900628,475821.00,2.701862E+08,500344.62,42400.00,2.407600E+07,44585.17
1761900638,461210.01,2.747983E+08,499633.09,41100.00,2.448700E+07,44521.80
1761900648,481442.97,2.796127E+08,499308.26,42900.00,2.491600E+07,44492.84
1761900658,516220.00,2.847749E+08,499604.96,46000.00,2.537600E+07,44519.28
1761900668,504999.00,2.898249E+08,499697.96,45000.00,2.582600E+07,44527.57
1761900678,503881.00,2.948637E+08,499768.86,44900.00,2.627500E+07,44533.88
1761900688,461247.01,2.994762E+08,499126.83,41100.00,2.668600E+07,44476.65
1761900698,509472.51,3.045709E+08,499296.43,45399.96,2.714000E+07,44491.79
1761900708,516219.49,3.097331E+08,499569.38,46000.04,2.760000E+07,44516.11
1761900718,519608.01,3.149292E+08,499887.46,46300.00,2.806300E+07,44544.43
1761900728,508353.00,3.200127E+08,500019.73,45300.00,2.851600E+07,44556.23
1761900738,500525.98,3.250180E+08,500027.52,44600.00,2.896200E+07,44556.91
1761900748,478057.00,3.297986E+08,499694.63,42600.00,2.938800E+07,44527.26
1761900758,498256.01,3.347811E+08,499673.16,44400.00,2.983200E+07,44525.36
1761900768,535299.98,3.401341E+08,500197.08,47700.00,3.030900E+07,44572.04
1761900778,519604.91,3.453302E+08,500478.36,46299.99,3.077200E+07,44597.09
1761900788,513982.12,3.504700E+08,500671.27,45800.01,3.123000E+07,44614.27
1761900798,499373.99,3.554637E+08,500653.00,44500.00,3.167500E+07,44612.66
1761900808,480326.01,3.602670E+08,500370.68,42800.00,3.210300E+07,44587.49
1761900818,446639.00,3.647334E+08,499634.63,39800.00,3.250100E+07,44521.90
1761900828,466834.98,3.694017E+08,499191.39,41600.00,3.291700E+07,44482.42
1761900838,466845.02,3.740702E+08,498760.10,41600.00,3.333300E+07,44443.99
1761900848,475812.01,3.788283E+08,498458.16,42400.00,3.375700E+07,44417.09
1761900858,485927.00,3.836876E+08,498295.41,43300.00,3.419000E+07,44402.58
1761900868,494900.00,3.886366E+08,498251.88,44100.00,3.463100E+07,44398.71
1761900878,528580.98,3.939224E+08,498635.79,47100.00,3.510200E+07,44432.90
1761900888,521819.00,3.991406E+08,498925.58,46500.00,3.556700E+07,44458.74
1761900898,534173.00,4.044823E+08,499360.74,47600.00,3.604300E+07,44497.52
1761900908,526327.00,4.097456E+08,499689.59,46900.00,3.651200E+07,44526.82
1761900918,493772.99,4.146833E+08,499618.31,44000.00,3.695200E+07,44520.47
1761900928,483681.97,4.195201E+08,499428.59,43100.00,3.738300E+07,44503.56
1761900938,498286.76,4.245030E+08,499415.16,44399.98,3.782700E+07,44502.34
1761900948,469074.15,4.291937E+08,499062.36,41800.01,3.824500E+07,44470.92
1761900958,534183.13,4.345356E+08,499466.04,47600.01,3.872100E+07,44506.89
1761900968,525200.01,4.397876E+08,499758.47,46800.00,3.918900E+07,44532.94
1761900978,485916.99,4.446467E+08,499602.95,43300.00,3.962200E+07,44519.09
1761900988,479184.00,4.494386E+08,499376.07,42700.00,4.004900E+07,44498.88
1761900998,505000.00,4.544886E+08,499437.88,45000.00,4.049900E+07,44504.38
1761901008,521835.71,4.597069E+08,499681.33,46499.97,4.096400E+07,44526.08
1761901018,517337.31,4.648803E+08,499871.18,46100.03,4.142500E+07,44543.00
1761901028,497168.98,4.698520E+08,499842.43,44300.00,4.186800E+07,44540.41
1761901038,509474.03,4.749467E+08,499943.82,45400.00,4.232200E+07,44549.46
1761901048,464599.98,4.795927E+08,499575.65,41400.00,4.273600E+07,44516.66
1761901058,472462.01,4.843174E+08,499296.13,42100.00,4.315700E+07,44491.74
1761901068,491521.99,4.892326E+08,499216.80,43800.00,4.359500E+07,44484.68
1761901078,473582.01,4.939684E+08,498957.87,42200.00,4.401700E+07,44461.61
1761901088,481433.77,4.987827E+08,498782.63,42899.98,4.444600E+07,44445.99
1761901098,464599.94,5.034287E+08,498444.18,41399.99,4.486000E+07,44415.83
1761901108,466848.27,5.080972E+08,498134.42,41600.02,4.527600E+07,44388.23
1761901118,489299.00,5.129902E+08,498048.64,43600.00,4.571200E+07,44380.57
1761901128,517336.01,5.181636E+08,498234.09,46100.00,4.617300E+07,44397.11
1761901138,531942.98,5.234830E+08,498555.13,47400.00,4.664700E+07,44425.70

Summary:
loaded 523584000 metrics in 1050.208sec with 8 workers (mean rate 498552.56 metrics/sec)
loaded 46656000 rows in 1050.208sec with 8 workers (mean rate 44425.48 rows/sec)
