Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761901321,484784.07,4.848000E+06,484784.07,43198.58,4.320000E+05,43198.58
1761901331,488157.14,9.729570E+06,486470.58,43500.01,8.670000E+05,43349.29
1761901341,476936.99,1.449894E+07,483292.75,42500.00,1.292000E+06,43066.20
1761901351,501645.00,1.951539E+07,487880.77,44700.00,1.739000E+06,43474.65
1761901361,490392.00,2.441931E+07,488383.02,43700.00,2.176000E+06,43519.72
1761901371,503882.01,2.945813E+07,490966.17,44900.00,2.625000E+06,43749.76
1761901381,519608.00,3.465421E+07,495057.84,46300.00,3.088000E+06,44114.08
1761901391,512837.00,3.978258E+07,497280.22,45700.00,3.545000E+06,44312.32
1761901401,471333.98,4.449592E+07,494397.32,42000.00,3.965000E+06,44055.40
1761901411,463482.04,4.913074E+07,491305.80,41300.00,4.378000E+06,43779.86
1761901421,525199.96,5.438274E+07,494387.08,46800.00,4.846000E+06,44054.41
1761901431,524082.76,5.962357E+07,496861.71,46699.98,5.313000E+06,44274.88
1761901441,512861.22,6.475218E+07,498092.44,45700.02,5.770000E+06,44384.50
1761901451,521813.06,6.997031E+07,499786.77,46500.00,6.235000E+06,44535.61
1761901461,478089.97,7.475121E+07,498340.32,42600.00,6.661000E+06,44406.57
1761901471,462337.02,7.937458E+07,496090.12,41200.00,7.073000E+06,44206.16
1761901481,507263.00,8.444721E+07,496747.34,45200.00,7.525000E+06,44264.62
1761901491,552109.63,8.996831E+07,499823.02,49199.97,8.017000E+06,44538.81
1761901501,521843.33,9.518674E+07,500981.98,46500.03,8.482000E+06,44642.03
1761901511,512865.00,1.003154E+08,501576.13,45700.00,8.939000E+06,44694.93
1761901521,475818.01,1.050736E+08,500349.56,42400.00,9.363000E+06,44585.65
1761901531,478055.78,1.098541E+08,499336.20,42599.98,9.789000E+06,44495.39
1761901541,513980.73,1.149939E+08,499972.92,45799.98,1.024700E+07,44552.11
1761901551,531945.49,1.203134E+08,501305.11,47400.04,1.072100E+07,44670.77
1761901561,530791.91,1.256213E+08,502484.58,47299.99,1.119400E+07,44775.94
1761901571,505009.14,1.306714E+08,502581.68,45000.01,1.164400E+07,44784.56
1761901581,479198.98,1.354634E+08,501715.65,42700.00,1.207100E+07,44707.35
1761901591,469074.01,1.401541E+08,500549.88,41800.00,1.248900E+07,44603.52
1761901601,485918.00,1.450133E+08,500045.33,43300.00,1.292200E+07,44558.57
1761901611,542045.98,1.504338E+08,501445.35,48300.00,1.340500E+07,44683.28
1761901621,519580.77,1.556296E+08,502030.37,46299.98,1.386800E+07,44735.44
1761901631,518478.23,1.608144E+08,502544.36,46200.02,1.433000E+07,44781.20
1761901641,472464.00,1.655390E+08,501632.84,42100.00,1.475100E+07,44699.96
