Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761902542,493752.40,4.937580E+06,493752.40,43999.50,4.400000E+05,43999.50
1761902552,482555.01,9.763130E+06,488153.74,43000.00,8.700000E+05,43499.75
1761902562,476944.79,1.453258E+07,484417.43,42499.98,1.295000E+06,43166.50
1761902572,470216.21,1.923474E+07,480867.14,41900.02,1.714000E+06,42849.88
1761902582,446638.00,2.370112E+07,474021.33,39800.00,2.112000E+06,42239.90
1761902592,519608.66,2.889721E+07,481619.20,46299.97,2.575000E+06,42916.58
1761902602,512837.35,3.402558E+07,486078.93,45700.03,3.032000E+06,43314.22
1761902612,522955.00,3.925513E+07,490688.43,46600.00,3.498000E+06,43724.94
1761902622,529707.99,4.455221E+07,495023.93,47200.00,3.970000E+06,44111.06
1761902632,498253.00,4.953474E+07,495346.84,44400.00,4.414000E+06,44139.95
1761902642,456739.01,5.410213E+07,491837.04,40700.00,4.821000E+06,43827.23
1761902652,469107.98,5.879321E+07,489942.95,41800.00,5.239000E+06,43658.29
1761902662,478056.02,6.357377E+07,489028.57,42600.00,5.665000E+06,43576.89
1761902672,517335.99,6.874713E+07,491050.53,46100.00,6.126000E+06,43757.11
1761902682,534180.01,7.408893E+07,493925.83,47600.00,6.602000E+06,44013.30
1761902692,512864.00,7.921757E+07,495109.46,45700.00,7.059000E+06,44118.72
1761902702,472464.00,8.394221E+07,493777.38,42100.00,7.480000E+06,43999.97
1761902712,491517.98,8.885739E+07,493651.86,43800.00,7.918000E+06,43988.86
1761902722,510618.01,9.396357E+07,494544.81,45500.00,8.373000E+06,44068.39
1761902732,526317.01,9.922674E+07,496133.42,46900.00,8.842000E+06,44209.98
1761902742,534183.00,1.045686E+08,497945.30,47600.00,9.318000E+06,44371.40
1761902752,496016.98,1.095287E+08,497857.65,44200.00,9.760000E+06,44363.61
1761902762,446637.98,1.139951E+08,495630.71,39800.00,1.015800E+07,44165.20
1761902772,463482.04,1.186299E+08,494291.18,41300.00,1.057100E+07,44045.81
1761902782,487036.98,1.235003E+08,494001.02,43400.00,1.100500E+07,44019.98
1761902792,512863.01,1.286289E+08,494726.48,45700.00,1.146200E+07,44084.60
1761902802,528563.98,1.339146E+08,495979.72,47100.00,1.193300E+07,44196.28
1761902812,530819.03,1.392228E+08,497223.98,47300.00,1.240600E+07,44307.12
1761902822,441041.01,1.436332E+08,495286.63,39300.00,1.279900E+07,44134.47
1761902832,474698.97,1.483802E+08,494600.38,42300.00,1.322200E+07,44073.32
1761902842,493783.03,1.533180E+08,494574.01,44000.00,1.366200E+07,44070.95
1761902852,533030.76,1.586483E+08,495775.79,47499.98,1.413700E+07,44178.11
