Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761903789,491510.25,4.915130E+06,491510.25,43799.76,4.380000E+05,43799.76
1761903799,522961.00,1.014474E+07,507235.58,46600.00,9.040000E+05,45199.87
1761903809,483683.02,1.498157E+07,499384.74,43100.00,1.335000E+06,44499.92
1761903819,445517.00,1.943674E+07,485917.83,39700.00,1.732000E+06,43299.94
1761903829,457856.99,2.401531E+07,480305.66,40800.00,2.140000E+06,42799.95
1761903839,492663.01,2.894194E+07,482365.22,43900.00,2.579000E+06,42983.29
1761903849,521841.99,3.416036E+07,488004.75,46500.00,3.044000E+06,43485.68
1761903859,539799.01,3.955835E+07,494479.03,48100.00,3.525000E+06,44062.47
1761903869,525178.03,4.481013E+07,497890.03,46800.00,3.993000E+06,44366.64
1761903879,501643.97,4.982657E+07,498265.42,44700.00,4.440000E+06,44399.98
1761903889,503882.01,5.486539E+07,498776.02,44900.00,4.889000E+06,44445.43
1761903899,478054.99,5.964594E+07,497049.27,42600.00,5.315000E+06,44291.65
1761903909,479206.02,6.443800E+07,495676.71,42700.00,5.742000E+06,44169.21
1761903919,544258.01,6.988058E+07,499146.80,48500.00,6.227000E+06,44478.55
1761903929,538680.97,7.526739E+07,501782.41,48000.00,6.707000E+06,44713.32
1761903939,515100.00,8.041839E+07,502614.76,45900.00,7.166000E+06,44787.48
1761903949,484800.02,8.526639E+07,501566.84,43200.00,7.598000E+06,44694.10
1761903959,489274.00,9.015913E+07,500883.90,43600.00,8.034000E+06,44633.32
1761903969,464607.97,9.480521E+07,498974.64,41400.00,8.448000E+06,44463.14
1761903979,521835.69,1.000236E+08,500117.70,46499.97,8.913000E+06,44564.99
