Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761905016,501611.15,5.016130E+06,501611.15,44699.84,4.470000E+05,44699.84
1761905026,518478.00,1.020091E+07,510044.56,46200.00,9.090000E+05,45449.92
1761905036,480300.99,1.500392E+07,500130.05,42800.00,1.337000E+06,44566.61
1761905046,425320.73,1.925713E+07,481427.73,37899.98,1.716000E+06,42899.95
1761905056,467966.04,2.393679E+07,478735.39,41700.00,2.133000E+06,42659.96
1761905066,493794.25,2.887473E+07,481245.20,44000.02,2.573000E+06,42883.31
1761905076,526327.03,3.413800E+07,487685.46,46900.00,3.042000E+06,43457.12
1761905086,533031.02,3.946831E+07,493353.65,47500.00,3.517000E+06,43962.48
1761905096,517347.96,4.464179E+07,496019.68,46100.00,3.978000E+06,44199.98
1761905106,506141.72,4.970321E+07,497031.89,45099.97,4.429000E+06,44289.98
1761905116,490392.31,5.460713E+07,496428.29,43700.03,4.866000E+06,44236.35
1761905126,447765.99,5.908479E+07,492373.10,39900.00,5.265000E+06,43874.99
1761905136,473579.01,6.382058E+07,490927.40,42200.00,5.687000E+06,43746.14
1761905146,531935.99,6.913994E+07,493856.59,47400.00,6.161000E+06,44007.13
1761905156,515100.03,7.429094E+07,495272.81,45900.00,6.620000E+06,44133.32
1761905166,518463.97,7.947558E+07,496722.26,46200.00,7.082000E+06,44262.49
1761905176,478081.01,8.425639E+07,495625.72,42600.00,7.508000E+06,44164.70
1761905186,474699.97,8.900339E+07,494463.18,42300.00,7.931000E+06,44061.10
1761905196,448874.03,9.349213E+07,492063.75,40000.00,8.331000E+06,43847.36
1761905206,510625.75,9.859839E+07,492991.85,45499.98,8.786000E+06,43929.99
1761905216,518477.22,1.037832E+08,494205.44,46200.02,9.248000E+06,44038.09
1761905226,521823.03,1.090014E+08,495460.78,46500.00,9.713000E+06,44149.99
1761905236,483682.00,1.138382E+08,494948.66,43100.00,1.014400E+07,44104.34
1761905246,457855.01,1.184168E+08,493403.09,40800.00,1.055200E+07,43966.66
1761905256,482562.98,1.232424E+08,492969.49,43000.00,1.098200E+07,43927.99
1761905266,524078.98,1.284832E+08,494166.01,46700.00,1.144900E+07,44034.61
1761905276,513984.02,1.336230E+08,494900.01,45800.00,1.190700E+07,44099.99
1761905286,521811.02,1.388411E+08,495861.11,46500.00,1.237200E+07,44185.71
1761905296,487044.99,1.437116E+08,495557.11,43400.00,1.280600E+07,44158.62
1761905306,471335.14,1.484249E+08,494749.71,41999.92,1.322600E+07,44086.66
1761905316,464600.86,1.530709E+08,493777.17,41400.08,1.364000E+07,43999.99
1761905326,518463.88,1.582556E+08,494548.63,46199.99,1.410200E+07,44068.74
1761905336,520716.12,1.634627E+08,495341.58,46400.01,1.456600E+07,44139.39
1761905346,516221.98,1.686250E+08,495955.71,46000.00,1.502600E+07,44194.11
1761905356,489304.00,1.735180E+08,495765.66,43600.00,1.546200E+07,44177.14
1761905366,465721.01,1.781752E+08,494931.09,41500.00,1.587700E+07,44102.77
1761905376,476935.00,1.829446E+08,494444.71,42500.00,1.630200E+07,44059.46
1761905386,530801.76,1.882526E+08,495401.47,47299.98,1.677500E+07,44144.73
1761905396,511736.23,1.933699E+08,495820.31,45600.02,1.723100E+07,44182.05
1761905406,531944.99,1.986894E+08,496723.43,47400.00,1.770500E+07,44262.50
1761905416,503881.84,2.037282E+08,496898.02,44899.99,1.815400E+07,44278.04
1761905426,454500.16,2.082732E+08,495888.55,40500.01,1.855900E+07,44188.09
1761905436,472431.00,2.129975E+08,495343.03,42100.00,1.898000E+07,44139.53
1761905446,488186.99,2.178794E+08,495180.39,43500.00,1.941500E+07,44125.00
1761905456,484800.00,2.227274E+08,494949.72,43200.00,1.984700E+07,44104.44
1761905466,520691.99,2.279343E+08,495509.33,46400.00,2.031100E+07,44154.34
1761905476,500526.04,2.329396E+08,495616.07,44600.00,2.075700E+07,44163.83
1761905486,462363.99,2.375632E+08,494923.32,41200.00,2.116900E+07,44102.08
1761905496,512837.01,2.426916E+08,495288.90,45700.00,2.162600E+07,44134.69
1761905506,519598.70,2.478876E+08,495775.10,46299.97,2.208900E+07,44178.00
1761905516,503882.27,2.529264E+08,495934.06,44900.02,2.253800E+07,44192.15
1761905526,511719.01,2.580436E+08,496237.62,45600.00,2.299400E+07,44219.23
1761905536,473572.99,2.627793E+08,495809.98,42200.00,2.341600E+07,44181.13
1761905546,456769.00,2.673470E+08,495087.00,40700.00,2.382300E+07,44116.66
1761905556,481412.99,2.721611E+08,494838.39,42900.00,2.425200E+07,44094.54
1761905566,494907.76,2.771102E+08,494839.62,44099.98,2.469300E+07,44094.64
1761905576,504992.01,2.821601E+08,495017.74,45000.00,2.514300E+07,44110.52
1761905586,518486.98,2.873450E+08,495422.38,46200.00,2.560500E+07,44146.55
1761905596,472431.24,2.920693E+08,495032.70,42100.02,2.602600E+07,44111.86
1761905606,478089.78,2.968502E+08,494750.32,42599.98,2.645200E+07,44086.66
1761905616,535300.27,3.022032E+08,495415.07,47700.02,2.692900E+07,44145.90
1761905626,518452.73,3.073877E+08,495786.64,46199.98,2.739100E+07,44179.03
1761905636,509484.25,3.124826E+08,496004.07,45400.02,2.784500E+07,44198.41
1761905646,522954.83,3.177121E+08,496425.17,46599.99,2.831100E+07,44235.93
1761905656,490426.16,3.226164E+08,496332.88,43700.01,2.874800E+07,44227.69
1761905666,480300.00,3.274194E+08,496089.96,42800.00,2.917600E+07,44206.06
1761905676,454501.01,3.319644E+08,495469.23,40500.00,2.958100E+07,44150.74
1761905686,506117.73,3.370256E+08,495625.82,45099.98,3.003200E+07,44164.70
1761905696,501636.24,3.420419E+08,495712.93,44700.02,3.047900E+07,44172.46
1761905706,515099.22,3.471929E+08,495989.88,45899.93,3.093800E+07,44197.14
1761905716,475817.72,3.519511E+08,495705.76,42400.06,3.136200E+07,44171.83
1761905726,482565.01,3.567768E+08,495523.25,43000.00,3.179200E+07,44155.55
1761905736,549881.74,3.622756E+08,496267.89,48999.98,3.228200E+07,44221.92
1761905746,510616.23,3.673817E+08,496461.79,45500.02,3.273700E+07,44239.19
1761905756,524082.98,3.726226E+08,496830.07,46700.00,3.320400E+07,44272.00
1761905766,520701.02,3.778296E+08,497144.16,46400.00,3.366800E+07,44300.00
1761905776,470215.73,3.825317E+08,496794.44,41899.98,3.408700E+07,44268.83
1761905786,465720.28,3.871889E+08,496396.05,41500.03,3.450200E+07,44233.33
1761905796,446636.99,3.916553E+08,495766.19,39800.00,3.490000E+07,44177.21
1761905806,508389.98,3.967392E+08,495923.99,45300.00,3.535300E+07,44191.25
1761905816,517334.98,4.019126E+08,496188.32,46100.00,3.581400E+07,44214.81
1761905826,519583.77,4.071084E+08,496473.63,46299.98,3.627700E+07,44240.24
1761905836,485918.24,4.119676E+08,496346.46,43300.02,3.671000E+07,44228.91
1761905846,439916.01,4.163667E+08,495674.67,39200.00,3.710200E+07,44169.05
1761905856,488164.95,4.212484E+08,495586.32,43500.00,3.753700E+07,44161.17
1761905866,485919.03,4.261076E+08,495473.91,43300.00,3.797000E+07,44151.16
1761905876,520716.02,4.313147E+08,495764.05,46400.00,3.843400E+07,44177.01
1761905886,513982.98,4.364546E+08,495971.08,45800.00,3.889200E+07,44195.45
1761905896,481443.00,4.412690E+08,495807.84,42900.00,3.932100E+07,44180.90
1761905906,443258.01,4.457016E+08,495223.96,39500.00,3.971600E+07,44128.89
1761905916,465741.98,4.503590E+08,494899.98,41500.00,4.013100E+07,44100.00
1761905926,508357.03,4.554426E+08,495046.25,45300.00,4.058400E+07,44113.04
1761905936,515099.84,4.605936E+08,495261.88,45899.99,4.104300E+07,44132.26
1761905946,519583.03,4.657894E+08,495520.62,46300.00,4.150600E+07,44155.32
1761905956,460116.91,4.703906E+08,495147.95,40999.99,4.191600E+07,44122.10
1761905966,461243.22,4.750030E+08,494794.77,41100.02,4.232700E+07,44090.62
1761905976,517338.97,4.801764E+08,495027.19,46100.00,4.278800E+07,44111.34
1761905986,511722.01,4.852936E+08,495197.54,45600.00,4.324400E+07,44126.53
1761905996,515120.99,4.904448E+08,495398.79,45900.00,4.370300E+07,44144.44
1761906006,521813.04,4.956630E+08,495662.93,46500.00,4.416800E+07,44168.00
1761906016,496017.98,5.006231E+08,495666.45,44200.00,4.461000E+07,44168.32
1761906026,497145.00,5.055946E+08,495680.94,44300.00,4.505300E+07,44169.61
1761906036,484800.02,5.104426E+08,495575.30,43200.00,4.548500E+07,44160.19
1761906046,520715.97,5.156497E+08,495817.04,46400.00,4.594900E+07,44181.73
1761906056,505002.78,5.206998E+08,495904.52,44999.98,4.639900E+07,44189.52

Summary:
loaded 523584000 metrics in 1055.349sec with 8 workers (mean rate 496123.86 metrics/sec)
loaded 46656000 rows in 1055.349sec with 8 workers (mean rate 44209.06 rows/sec)
