Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761906247,494876.50,4.948790E+06,494876.50,44099.78,4.410000E+05,44099.78
1761906257,500514.73,9.953940E+06,497695.61,44599.98,8.870000E+05,44349.88
1761906267,500527.25,1.495921E+07,498639.49,44600.02,1.333000E+06,44433.26
1761906277,473545.89,1.969467E+07,492366.09,42199.99,1.755000E+06,43874.94
1761906287,443306.11,2.412773E+07,482554.11,39500.01,2.150000E+06,42999.96
1761906297,457866.02,2.870639E+07,478439.43,40800.00,2.558000E+06,42633.30
1761906307,525200.00,3.395839E+07,485119.51,46800.00,3.026000E+06,43228.54
1761906317,518454.98,3.914294E+07,489286.44,46200.00,3.488000E+06,43599.97
1761906327,527437.00,4.441731E+07,493525.39,47000.00,3.958000E+06,43977.75
1761906337,543163.02,4.984894E+07,498489.15,48400.00,4.442000E+06,44419.98
1761906347,507244.96,5.492139E+07,499285.13,45200.00,4.894000E+06,44490.89
1761906357,473573.05,5.965712E+07,497142.46,42200.00,5.316000E+06,44299.98
1761906367,470226.98,6.435939E+07,495072.04,41900.00,5.735000E+06,44115.37
1761906377,455618.01,6.891557E+07,492253.89,40600.00,6.141000E+06,43864.27
1761906387,518456.00,7.410013E+07,494000.70,46200.00,6.603000E+06,44019.99
1761906397,527459.98,7.937473E+07,496091.91,47000.00,7.073000E+06,44206.24
1761906407,516227.04,8.453700E+07,497276.32,46000.00,7.533000E+06,44311.75
1761906417,471312.96,8.925013E+07,495833.92,42000.00,7.953000E+06,44183.32
1761906427,463481.00,9.388494E+07,494131.13,41300.00,8.366000E+06,44031.57
1761906437,485919.02,9.874413E+07,493720.53,43300.00,8.799000E+06,43994.99
1761906447,501645.98,1.037606E+08,494097.93,44700.00,9.246000E+06,44028.56
1761906457,518453.99,1.089451E+08,495205.02,46200.00,9.708000E+06,44127.26
1761906467,544281.00,1.143879E+08,497338.76,48500.00,1.019300E+07,44317.38
1761906477,465719.00,1.190451E+08,496021.27,41500.00,1.060800E+07,44199.99
1761906487,475817.80,1.238033E+08,495213.13,42399.98,1.103200E+07,44127.99
1761906497,471343.21,1.285167E+08,494295.06,42000.02,1.145200E+07,44046.15
1761906507,528566.00,1.338024E+08,495564.35,47100.00,1.192300E+07,44159.25
1761906517,534173.01,1.391441E+08,496943.23,47600.00,1.239900E+07,44282.13
1761906527,524080.98,1.443849E+08,497879.02,46700.00,1.286600E+07,44365.51
1761906537,461245.03,1.489974E+08,496657.88,41100.00,1.327700E+07,44256.66
1761906547,471318.98,1.537106E+08,495840.50,42000.00,1.369700E+07,44183.86
1761906557,481436.01,1.585249E+08,495390.36,42900.00,1.412600E+07,44143.74
1761906567,499406.00,1.635190E+08,495512.05,44500.00,1.457100E+07,44154.54
1761906577,520693.95,1.687259E+08,496252.69,46400.00,1.503500E+07,44220.58
1761906587,531945.03,1.740454E+08,497272.47,47400.00,1.550900E+07,44311.42
1761906597,472461.02,1.787700E+08,496583.26,42100.00,1.593000E+07,44249.99
1761906607,475820.98,1.835282E+08,496022.12,42400.00,1.635400E+07,44199.99
1761906617,516218.02,1.886904E+08,496553.59,46000.00,1.681400E+07,44247.36
1761906627,511719.01,1.938076E+08,496942.45,45600.00,1.727000E+07,44282.05
1761906637,526341.68,1.990710E+08,497677.43,46899.97,1.773900E+07,44347.49
1761906647,524058.29,2.043116E+08,498320.86,46700.03,1.820600E+07,44404.87
1761906657,475842.01,2.090700E+08,497785.65,42400.00,1.863000E+07,44357.14
1761906667,462330.90,2.136933E+08,496961.12,41199.99,1.904200E+07,44283.72
1761906677,480326.07,2.184966E+08,496583.06,42800.01,1.947000E+07,44249.99
1761906687,472464.04,2.232212E+08,496047.08,42100.00,1.989100E+07,44202.22
1761906697,462337.02,2.278446E+08,495314.25,41200.00,2.030300E+07,44136.95
1761906707,510615.97,2.329507E+08,495639.82,45500.00,2.075800E+07,44165.95
1761906717,493783.02,2.378886E+08,495601.14,44000.00,2.119800E+07,44162.50
1761906727,520701.01,2.430956E+08,496113.38,46400.00,2.166200E+07,44208.16
1761906737,508381.00,2.481794E+08,496358.73,45300.00,2.211500E+07,44230.00
1761906747,518455.00,2.533639E+08,496791.99,46200.00,2.257700E+07,44268.62
1761906757,518487.97,2.585488E+08,497209.22,46200.00,2.303900E+07,44305.76
1761906767,521812.04,2.637669E+08,497673.42,46500.00,2.350400E+07,44347.17
1761906777,478078.97,2.685477E+08,497310.56,42600.00,2.393000E+07,44314.81
1761906787,467966.02,2.732274E+08,496777.03,41700.00,2.434700E+07,44267.27
1761906797,487035.01,2.780977E+08,496603.06,43400.00,2.478100E+07,44251.78
1761906807,456738.99,2.826651E+08,495903.69,40700.00,2.518800E+07,44189.47
1761906817,471344.01,2.873786E+08,495480.25,42000.00,2.560800E+07,44151.72
1761906827,518455.99,2.925631E+08,495869.67,46200.00,2.607000E+07,44186.44
1761906837,519608.02,2.977592E+08,496265.31,46300.00,2.653300E+07,44221.66
1761906847,519572.99,3.029549E+08,496647.40,46300.00,2.699600E+07,44255.73
1761906857,518463.99,3.081396E+08,496999.28,46200.00,2.745800E+07,44287.09
1761906867,515100.00,3.132906E+08,497286.59,45900.00,2.791700E+07,44312.69
1761906877,535300.01,3.186436E+08,497880.55,47700.00,2.839400E+07,44365.62
1761906887,513972.97,3.237833E+08,498128.13,45800.00,2.885200E+07,44387.69
