Current status: 
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761907458,492619.03,4.926310E+06,492619.03,43898.93,4.390000E+05,43898.93
1761907468,503881.21,9.965120E+06,498250.05,44900.02,8.880000E+05,44399.47
1761907478,508388.01,1.504900E+07,501629.34,45300.00,1.341000E+06,44699.64
1761907488,491511.99,1.996412E+07,499100.02,43800.00,1.779000E+06,44474.73
1761907498,429826.98,2.426239E+07,485245.48,38300.00,2.162000E+06,43239.79
1761907508,424200.00,2.850439E+07,475071.27,37800.00,2.540000E+06,42333.16
1761907518,521819.03,3.372258E+07,481749.50,46500.00,3.005000E+06,42928.43
1761907528,526341.81,3.898600E+07,487323.52,46899.98,3.474000E+06,43424.87
1761907538,540893.84,4.439494E+07,493275.77,48199.99,3.956000E+06,43955.44
1761907548,526319.35,4.965813E+07,496580.11,46900.03,4.425000E+06,44249.89
1761907558,534180.98,5.499994E+07,499998.37,47600.00,4.901000E+06,44554.45
1761907568,491545.00,5.991539E+07,499293.92,43800.00,5.339000E+06,44491.58
1761907578,465718.00,6.457257E+07,496711.16,41500.00,5.754000E+06,44261.46
1761907588,465717.02,6.922974E+07,494497.30,41500.00,6.169000E+06,44064.21
1761907598,511746.76,7.434721E+07,495647.26,45599.98,6.625000E+06,44166.60
1761907608,506118.21,7.940839E+07,496301.70,45100.02,7.076000E+06,44224.93
1761907618,512861.00,8.453700E+07,497275.77,45700.00,7.533000E+06,44311.70
1761907628,494879.00,8.948579E+07,497142.62,44100.00,7.974000E+06,44299.94
1761907638,469094.97,9.417674E+07,495666.43,41800.00,8.392000E+06,44168.37
1761907648,471344.00,9.889018E+07,494450.31,42000.00,8.812000E+06,44059.95
1761907658,521812.73,1.041083E+08,495753.28,46499.98,9.277000E+06,44176.14
