Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761909887,502728.77,5.027310E+06,502728.77,44799.80,4.480000E+05,44799.80
1761909897,499408.00,1.002139E+07,501068.39,44500.00,8.930000E+05,44649.90
1761909907,508354.99,1.510494E+07,503497.25,45300.00,1.346000E+06,44866.60
1761909917,485919.03,1.996413E+07,499102.70,43300.00,1.779000E+06,44474.95
1761909927,488186.86,2.484600E+07,496919.54,43499.99,2.214000E+06,44279.96
1761909937,526321.12,3.010921E+07,501819.79,46900.01,2.683000E+06,44716.63
1761909947,535300.01,3.546221E+07,506602.68,47700.00,3.160000E+06,45142.83
1761909957,533052.00,4.079273E+07,509908.84,47500.00,3.635000E+06,45437.47
1761909967,543140.00,4.622413E+07,513601.19,48400.00,4.119000E+06,45766.64
1761909977,534180.87,5.156594E+07,515659.16,47599.99,4.595000E+06,45949.98
1761909987,528564.10,5.685158E+07,516832.33,47100.01,5.066000E+06,46054.53
1761909997,529699.02,6.214857E+07,517904.56,47200.00,5.538000E+06,46149.98
1761910007,519573.99,6.734431E+07,518032.98,46300.00,6.001000E+06,46161.52
1761910017,538690.03,7.273121E+07,519508.48,48000.00,6.481000E+06,46292.84
1761910027,536417.99,7.809539E+07,520635.78,47800.00,6.959000E+06,46393.32
1761910037,515100.00,8.324639E+07,520289.79,45900.00,7.418000E+06,46362.49
