Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761920225,493756.78,4.937580E+06,493756.78,43999.89,4.400000E+05,43999.89
1761920235,506120.82,9.998790E+06,499938.79,45099.98,8.910000E+05,44549.94
1761920245,511734.20,1.511613E+07,503870.59,45600.02,1.347000E+06,44899.96
1761920255,451143.81,1.962757E+07,490688.90,40199.98,1.749000E+06,43724.97
1761920265,494900.20,2.457657E+07,491531.16,44100.02,2.190000E+06,43799.98
1761920275,528555.97,2.986213E+07,497701.96,47100.00,2.661000E+06,44349.98
1761920285,528587.05,3.514800E+07,502114.11,47100.00,3.132000E+06,44742.84
1761920295,559973.97,4.074774E+07,509346.59,49900.00,3.631000E+06,45387.49
1761920305,531947.05,4.606721E+07,511857.75,47400.00,4.105000E+06,45611.10
1761920315,521809.70,5.128531E+07,512852.95,46499.97,4.570000E+06,45699.99
1761920325,555500.31,5.684031E+07,516729.98,49500.03,5.065000E+06,46045.44
1761920335,522962.98,6.206994E+07,517249.40,46600.00,5.531000E+06,46091.66
1761920345,528563.88,6.735558E+07,518119.74,47099.99,6.002000E+06,46169.22
1761920355,539798.82,7.275357E+07,519668.25,48099.98,6.483000E+06,46307.13
1761920365,551001.29,7.826358E+07,521757.11,49100.03,6.974000E+06,46493.33
1761920375,540915.82,8.367274E+07,522954.53,48199.98,7.456000E+06,46599.99
1761920385,533065.19,8.900339E+07,523549.28,47500.02,7.931000E+06,46652.93
1761920395,529673.99,9.430013E+07,523889.54,47200.00,8.403000E+06,46683.33
1761920405,536427.00,9.966440E+07,524549.41,47800.00,8.881000E+06,46742.10
1761920415,524073.02,1.049051E+08,524525.59,46700.00,9.348000E+06,46739.99
1761920425,544280.99,1.103479E+08,525466.32,48500.00,9.833000E+06,46823.80
1761920435,530827.03,1.156562E+08,525709.99,47300.00,1.030600E+07,46845.45
1761920445,520691.97,1.208631E+08,525491.81,46400.00,1.077000E+07,46826.08
1761920455,529684.01,1.261600E+08,525666.49,47200.00,1.124200E+07,46841.66
1761920465,498273.43,1.311427E+08,524570.76,44399.68,1.168600E+07,46743.98
1761920475,519587.51,1.363386E+08,524379.10,46300.31,1.214900E+07,46726.92
