Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761911039,487036.99,4.870390E+06,487036.99,43399.82,4.340000E+05,43399.82
1761911049,512861.02,9.999000E+06,499948.98,45700.00,8.910000E+05,44549.91
1761911059,524057.97,1.523958E+07,507985.30,46700.00,1.358000E+06,45266.60
1761911069,482554.81,2.006513E+07,501627.68,42999.98,1.788000E+06,44699.95
1761911079,475818.19,2.482331E+07,496465.79,42400.02,2.212000E+06,44239.96
1761911089,539808.00,3.022139E+07,503689.49,48100.00,2.693000E+06,44883.30
1761911099,525200.02,3.547339E+07,506762.42,46800.00,3.161000E+06,45157.12
1761911109,533061.02,4.080400E+07,510049.74,47500.00,3.636000E+06,45449.98
1761911119,555499.97,4.635900E+07,515099.77,49500.00,4.131000E+06,45899.98
1761911129,521821.01,5.157721E+07,515771.89,46500.00,4.596000E+06,45959.98
1761911139,536409.73,5.694131E+07,517648.06,47799.98,5.074000E+06,46127.25
1761911149,534182.26,6.228313E+07,519025.91,47600.02,5.550000E+06,46249.98
1761911159,515100.00,6.743413E+07,518723.91,45900.00,6.009000E+06,46223.06
1761911169,531943.83,7.275357E+07,519668.19,47399.99,6.483000E+06,46307.13
1761911179,536416.92,7.811774E+07,520784.77,47799.99,6.961000E+06,46406.65
1761911189,531947.23,8.343721E+07,521482.43,47400.02,7.435000E+06,46468.74
1761911199,549873.03,8.893594E+07,523152.46,49000.00,7.925000E+06,46617.64
1761911209,536418.99,9.430013E+07,523889.49,47800.00,8.403000E+06,46683.32
1761911219,535300.02,9.965313E+07,524490.05,47700.00,8.880000E+06,46736.83
1761911229,535299.98,1.050061E+08,525030.54,47700.00,9.357000E+06,46784.99
1761911239,540926.02,1.104154E+08,525787.47,48200.00,9.839000E+06,46852.37
1761911249,528554.59,1.157009E+08,525913.25,47099.96,1.031000E+07,46863.63
1761911259,528564.37,1.209866E+08,526028.51,47100.03,1.078100E+07,46873.90
1761911269,538681.03,1.263734E+08,526555.70,48000.00,1.126100E+07,46920.83
1761911279,528554.99,1.316589E+08,526635.67,47100.00,1.173200E+07,46927.99
1761911289,524079.99,1.368997E+08,526537.38,46700.00,1.219900E+07,46919.22
1761911299,552146.87,1.424212E+08,527485.88,49199.99,1.269100E+07,47003.70
1761911309,540892.15,1.478301E+08,527964.67,48200.01,1.317300E+07,47046.42
1761911319,525199.73,1.530821E+08,527869.33,46799.98,1.364100E+07,47037.92
1761911329,540926.24,1.584914E+08,528304.56,48200.02,1.412300E+07,47076.66
1761911339,520692.00,1.636983E+08,528058.99,46400.00,1.458700E+07,47054.83
1761911349,522963.01,1.689279E+08,527899.74,46600.00,1.505300E+07,47040.62
1761911359,535300.02,1.742809E+08,528124.00,47700.00,1.553000E+07,47060.60
1761911369,530827.00,1.795892E+08,528203.50,47300.00,1.600300E+07,47067.64
1761911379,534178.99,1.849310E+08,528374.22,47600.00,1.647900E+07,47082.85
1761911389,525200.00,1.901830E+08,528286.05,46800.00,1.694700E+07,47074.99
1761911399,531912.70,1.955021E+08,528384.07,47399.97,1.742100E+07,47083.78
1761911409,517345.27,2.006756E+08,528093.57,46100.02,1.788200E+07,47057.89
1761911419,544273.01,2.061183E+08,528508.43,48500.00,1.836700E+07,47094.87
1761911429,527469.02,2.113930E+08,528482.45,47000.00,1.883700E+07,47092.50
1761911439,540893.71,2.168019E+08,528785.16,48199.97,1.931900E+07,47119.51
1761911449,524080.26,2.220427E+08,528673.14,46700.02,1.978600E+07,47109.52
1761911459,508356.98,2.271263E+08,528200.67,45300.00,2.023900E+07,47067.44
1761911469,544281.74,2.325691E+08,528566.15,48499.98,2.072400E+07,47100.00
1761911479,522961.22,2.377987E+08,528441.60,46600.02,2.119000E+07,47088.88
1761911489,518457.04,2.429833E+08,528224.54,46200.00,2.165200E+07,47069.56
1761911499,537568.97,2.483590E+08,528423.36,47900.00,2.213100E+07,47087.23
1761911509,536421.02,2.537232E+08,528589.98,47800.00,2.260900E+07,47102.08
1761911519,522960.99,2.589528E+08,528475.10,46600.00,2.307500E+07,47091.83
1761911529,544249.02,2.643953E+08,528790.58,48500.00,2.356000E+07,47120.00
