Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761912213,500491.64,5.004940E+06,500491.64,44599.79,4.460000E+05,44599.79
1761912223,528563.98,1.029058E+07,514527.78,47100.00,9.170000E+05,45849.89
1761912233,515100.03,1.544158E+07,514718.53,45900.00,1.376000E+06,45866.59
1761912243,494900.00,2.039058E+07,509763.90,44100.00,1.817000E+06,45424.95
1761912253,506142.00,2.545200E+07,509039.52,45100.00,2.268000E+06,45359.96
1761912263,501613.02,3.046813E+07,507801.77,44700.00,2.715000E+06,45249.96
1761912273,531944.00,3.578757E+07,511250.66,47400.00,3.189000E+06,45557.11
1761912283,552143.00,4.130900E+07,516362.20,49200.00,3.681000E+06,46012.47
1761912293,540893.01,4.671793E+07,519087.84,48200.00,4.163000E+06,46255.53
1761912303,533064.00,5.204857E+07,520485.46,47500.00,4.638000E+06,46379.98
1761912313,547636.99,5.752494E+07,522953.78,48800.00,5.126000E+06,46599.98
1761912323,528564.01,6.281058E+07,523421.30,47100.00,5.597000E+06,46641.65
1761912333,529698.75,6.810757E+07,523904.18,47199.98,6.069000E+06,46684.60
1761912343,548756.25,7.359513E+07,525679.32,48900.02,6.558000E+06,46842.84
1761912353,545399.99,7.904913E+07,526994.03,48600.00,7.044000E+06,46959.99
1761912363,521844.01,8.426757E+07,526672.16,46500.00,7.509000E+06,46931.24
1761912373,549873.87,8.976631E+07,528036.96,48999.99,7.999000E+06,47052.93
1761912383,520725.83,9.497357E+07,527630.79,46399.98,8.463000E+06,47016.65
1761912393,555500.32,1.005286E+08,529097.61,49500.03,8.958000E+06,47147.36
1761912403,543164.02,1.059602E+08,529800.93,48400.00,9.442000E+06,47209.99
1761912413,550991.97,1.114701E+08,530810.02,49100.00,9.933000E+06,47299.99
1761912423,546517.71,1.169353E+08,531524.01,48699.97,1.042000E+07,47363.63
1761912433,518490.29,1.221202E+08,530957.33,46200.03,1.088200E+07,47313.03
1761912443,545399.97,1.275742E+08,531559.10,48600.00,1.136800E+07,47366.66
1761912453,524079.00,1.328150E+08,531259.90,46700.00,1.183500E+07,47339.99
1761912463,539774.02,1.382127E+08,531587.37,48100.00,1.231600E+07,47369.22
1761912473,540926.00,1.436220E+08,531933.24,48200.00,1.279800E+07,47399.99
1761912483,545378.86,1.490758E+08,532413.44,48599.99,1.328400E+07,47442.85
1761912493,530815.14,1.543839E+08,532358.33,47300.01,1.375700E+07,47437.92
1761912503,539805.98,1.597820E+08,532606.58,48100.00,1.423800E+07,47459.99
1761912513,534158.00,1.651236E+08,532656.63,47600.00,1.471400E+07,47464.51
1761912523,542036.01,1.705439E+08,532949.73,48300.00,1.519700E+07,47490.62
1761912533,545399.98,1.759979E+08,533327.01,48600.00,1.568300E+07,47524.24
1761912543,531945.02,1.813174E+08,533286.37,47400.00,1.615700E+07,47520.58
1761912553,520691.97,1.865243E+08,532926.53,46400.00,1.662100E+07,47488.57
1761912563,528589.80,1.918102E+08,532806.06,47099.98,1.709200E+07,47477.77
1761912573,547636.21,1.972866E+08,533206.88,48800.02,1.758000E+07,47513.51
1761912583,556617.03,2.028527E+08,533822.93,49600.00,1.807600E+07,47568.42
1761912593,524082.99,2.080936E+08,533573.19,46700.00,1.854300E+07,47546.15
1761912603,555499.85,2.136486E+08,534121.36,49499.99,1.903800E+07,47594.99
1761912613,538656.18,2.190351E+08,534231.96,48000.02,1.951800E+07,47604.87
1761912623,524080.94,2.242759E+08,533990.27,46699.99,1.998500E+07,47583.33
1761912633,538664.03,2.296626E+08,534098.97,48000.00,2.046500E+07,47593.02
1761912643,554373.00,2.352063E+08,534559.74,49400.00,2.095900E+07,47634.09
1761912653,530825.01,2.405146E+08,534476.74,47300.00,2.143200E+07,47626.66
1761912663,528556.74,2.458001E+08,534348.05,47099.98,2.190300E+07,47615.21
1761912673,540926.13,2.512094E+08,534488.01,48200.01,2.238500E+07,47627.65
1761912683,510615.90,2.563156E+08,533990.67,45499.99,2.284000E+07,47583.33
1761912693,520702.22,2.615226E+08,533719.48,46400.02,2.330400E+07,47559.18
1761912703,561101.00,2.671336E+08,534267.11,50000.00,2.380400E+07,47608.00
1761912713,531935.71,2.724529E+08,534221.40,47399.97,2.427800E+07,47603.92
1761912723,537537.32,2.778283E+08,534285.16,47900.03,2.475700E+07,47609.61
1761912733,540927.98,2.832376E+08,534410.50,48200.00,2.523900E+07,47620.75
1761912743,525197.75,2.884896E+08,534239.89,46799.98,2.570700E+07,47605.55
1761912753,551001.24,2.939996E+08,534544.64,49100.02,2.619800E+07,47632.72
1761912763,531936.04,2.993189E+08,534498.06,47400.00,2.667200E+07,47628.57
1761912773,531944.00,3.046384E+08,534453.25,47400.00,2.714600E+07,47624.56
1761912783,535301.00,3.099914E+08,534467.87,47700.00,2.762300E+07,47625.86
1761912793,521812.95,3.152095E+08,534253.38,46500.00,2.808800E+07,47606.78
1761912803,536448.07,3.205740E+08,534289.96,47800.01,2.856600E+07,47610.00
1761912813,537538.99,3.259494E+08,534343.22,47900.00,2.904500E+07,47614.75
1761912823,542018.99,3.313696E+08,534467.02,48300.00,2.952800E+07,47625.80
1761912833,533055.00,3.367001E+08,534444.61,47500.00,3.000300E+07,47623.81
1761912843,546518.01,3.421653E+08,534633.26,48700.00,3.049000E+07,47640.62
1761912853,519607.73,3.473614E+08,534402.10,46299.98,3.095300E+07,47620.00
1761912863,536418.26,3.527256E+08,534432.64,47800.02,3.143100E+07,47622.72
1761912873,526316.98,3.579887E+08,534311.51,46900.00,3.190000E+07,47611.94
1761912883,551005.03,3.634988E+08,534557.01,49100.00,3.239100E+07,47633.82
1761912893,538677.98,3.688856E+08,534616.73,48000.00,3.287100E+07,47639.13
1761912903,524081.75,3.741264E+08,534466.23,46699.98,3.333800E+07,47625.71
1761912913,538655.22,3.795129E+08,534525.23,48000.02,3.381800E+07,47630.98
1761912923,507237.04,3.845853E+08,534146.23,45200.00,3.427000E+07,47597.22
1761912933,522963.00,3.898149E+08,533993.03,46600.00,3.473600E+07,47583.56
1761912943,545399.99,3.952689E+08,534147.18,48600.00,3.522200E+07,47597.29
1761912953,529706.01,4.005660E+08,534087.97,47200.00,3.569400E+07,47592.00
1761912963,530793.99,4.058739E+08,534044.62,47300.00,3.616700E+07,47588.15
1761912973,527435.62,4.111483E+08,533958.79,46999.88,3.663700E+07,47580.51
1761912983,509509.34,4.162434E+08,533645.34,45400.12,3.709100E+07,47552.56
1761912993,530792.01,4.215513E+08,533609.22,47300.00,3.756400E+07,47549.36
1761913003,521845.99,4.267698E+08,533462.18,46500.00,3.802900E+07,47536.25
1761913013,528556.99,4.320553E+08,533401.62,47100.00,3.850000E+07,47530.86
1761913023,533060.00,4.373859E+08,533397.46,47500.00,3.897500E+07,47530.49
1761913033,530826.95,4.426942E+08,533366.49,47300.00,3.944800E+07,47527.71
1761913043,507236.02,4.477666E+08,533055.41,45200.00,3.990000E+07,47500.00
1761913053,535299.06,4.531196E+08,533081.81,47700.00,4.037700E+07,47502.35
1761913063,534182.95,4.584614E+08,533094.61,47600.00,4.085300E+07,47503.49
1761913073,540892.00,4.638703E+08,533184.24,48200.00,4.133500E+07,47511.49
1761913083,531942.70,4.691897E+08,533170.13,47399.97,4.180900E+07,47510.22
1761913093,527439.29,4.744641E+08,533105.74,47000.03,4.227900E+07,47504.49
1761913103,543161.02,4.798957E+08,533217.46,48400.00,4.276300E+07,47514.44
1761913113,549883.99,4.853946E+08,533400.61,49000.00,4.325300E+07,47530.77
1761913123,530815.99,4.907027E+08,533372.52,47300.00,4.372600E+07,47528.26
1761913133,537539.02,4.960781E+08,533417.32,47900.00,4.420500E+07,47532.26
1761913143,539807.99,5.014762E+08,533485.30,48100.00,4.468600E+07,47538.30
1761913153,524078.99,5.067170E+08,533386.29,46700.00,4.515300E+07,47529.47
1761913163,534158.05,5.120586E+08,533394.33,47600.00,4.562900E+07,47530.21
1761913173,519598.70,5.172546E+08,533252.11,46299.97,4.609200E+07,47517.52
1761913183,527437.27,5.225289E+08,533192.77,47000.02,4.656200E+07,47512.24

Summary:
loaded 523584000 metrics in 981.927sec with 8 workers (mean rate 533220.66 metrics/sec)
loaded 46656000 rows in 981.927sec with 8 workers (mean rate 47514.71 rows/sec)
