Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761913340,496018.81,4.960210E+06,496018.81,44199.80,4.420000E+05,44199.80
1761913350,508353.21,1.004374E+07,502185.99,45300.02,8.950000E+05,44749.91
1761913360,537539.03,1.541913E+07,513970.32,47900.00,1.374000E+06,45799.94
1761913370,487044.69,2.028958E+07,507238.92,43399.97,1.808000E+06,45199.95
1761913380,500516.33,2.529474E+07,505894.40,44600.03,2.254000E+06,45079.96
1761913390,509483.80,3.038958E+07,506492.63,45399.98,2.708000E+06,45133.30
1761913400,515100.22,3.554058E+07,507722.29,45900.02,3.167000E+06,45242.83
1761913410,543154.98,4.097213E+07,512151.37,48400.00,3.651000E+06,45637.48
1761913420,547644.98,4.644858E+07,516095.11,48800.00,4.139000E+06,45988.87
1761913430,506141.99,5.151000E+07,515099.79,45100.00,4.590000E+06,45899.98
1761913440,516221.02,5.667221E+07,515201.72,46000.00,5.050000E+06,45909.07
1761913450,537536.01,6.204757E+07,517062.91,47900.00,5.529000E+06,46074.98
1761913460,533063.85,6.737821E+07,518293.75,47499.99,6.004000E+06,46184.60
1761913470,538653.15,7.276474E+07,519748.00,48000.01,6.484000E+06,46314.27
1761913480,547639.01,7.824113E+07,521607.40,48800.00,6.972000E+06,46479.99
1761913490,519608.01,8.343721E+07,521482.43,46300.00,7.435000E+06,46468.74
1761913500,530791.99,8.874513E+07,522030.06,47300.00,7.908000E+06,46517.64
1761913510,529705.00,9.404218E+07,522456.44,47200.00,8.380000E+06,46555.55
1761913520,536420.99,9.940639E+07,523191.42,47800.00,8.858000E+06,46621.04
1761913530,529674.01,1.047031E+08,523515.55,47200.00,9.330000E+06,46649.99
1761913540,528587.00,1.099890E+08,523757.04,47100.00,9.801000E+06,46671.42
1761913550,540892.82,1.153979E+08,524535.94,48199.98,1.028300E+07,46740.90
1761913560,505001.16,1.204479E+08,523686.61,45000.01,1.073300E+07,46665.21
1761913570,531944.99,1.257674E+08,524030.71,47400.00,1.120700E+07,46695.83
1761913580,516218.03,1.309296E+08,523718.20,46000.00,1.166700E+07,46667.99
1761913590,536417.00,1.362937E+08,524206.61,47800.00,1.214500E+07,46711.53
1761913600,542022.99,1.417140E+08,524866.48,48300.00,1.262800E+07,46770.36
1761913610,517360.00,1.468876E+08,524598.39,46100.00,1.308900E+07,46746.42
1761913620,510624.86,1.519938E+08,524116.54,45499.99,1.354400E+07,46703.44
1761913630,537539.14,1.573692E+08,524563.96,47900.01,1.402300E+07,46743.33
1761913640,540892.02,1.627781E+08,525090.68,48200.00,1.450500E+07,46790.32
1761913650,521843.99,1.679966E+08,524989.22,46500.00,1.497000E+07,46781.24
1761913660,537537.01,1.733719E+08,525369.45,47900.00,1.544900E+07,46815.15
1761913670,529706.02,1.786690E+08,525497.00,47200.00,1.592100E+07,46826.47
1761913680,508356.74,1.837526E+08,525007.28,45299.98,1.637400E+07,46782.85
1761913690,543164.28,1.891842E+08,525511.64,48400.02,1.685800E+07,46827.77
1761913700,556617.91,1.947504E+08,526352.35,49599.99,1.735400E+07,46902.70
1761913710,520692.08,1.999573E+08,526203.39,46400.01,1.781800E+07,46889.47
1761913720,520725.99,2.051646E+08,526062.95,46400.00,1.828200E+07,46876.92
1761913730,538654.99,2.105511E+08,526377.75,48000.00,1.876200E+07,46905.00
1761913740,517346.02,2.157246E+08,526157.46,46100.00,1.922300E+07,46885.36
1761913750,539799.01,2.211226E+08,526482.26,48100.00,1.970400E+07,46914.28
1761913760,536416.98,2.264867E+08,526713.30,47800.00,2.018200E+07,46934.88
1761913770,531946.97,2.318062E+08,526832.25,47400.00,2.065600E+07,46945.45
1761913780,521810.02,2.370243E+08,526720.64,46500.00,2.112100E+07,46935.55
1761913790,551026.02,2.425346E+08,527249.02,49100.00,2.161200E+07,46982.60
1761913800,522963.99,2.477642E+08,527157.85,46600.00,2.207800E+07,46974.46
1761913810,533036.99,2.530946E+08,527280.33,47500.00,2.255300E+07,46985.41
1761913820,524073.00,2.583353E+08,527214.88,46700.00,2.302000E+07,46979.59
1761913830,537569.02,2.637110E+08,527421.96,47900.00,2.349900E+07,46998.00
1761913840,534157.98,2.690526E+08,527554.04,47600.00,2.397500E+07,47009.80
1761913850,539799.00,2.744506E+08,527789.52,48100.00,2.445600E+07,47030.77
1761913860,540901.02,2.798596E+08,528036.90,48200.00,2.493800E+07,47052.83
1761913870,521835.99,2.850779E+08,527922.07,46500.00,2.540300E+07,47042.59
1761913880,536418.98,2.904421E+08,528076.56,47800.00,2.588100E+07,47056.36
1761913890,538687.01,2.958290E+08,528266.03,48000.00,2.636100E+07,47073.21
1761913900,533031.01,3.011593E+08,528349.63,47500.00,2.683600E+07,47080.70
1761913910,538689.96,3.065462E+08,528527.91,48000.00,2.731600E+07,47096.55
1761913920,524079.02,3.117870E+08,528452.51,46700.00,2.778300E+07,47089.83
1761913930,513958.00,3.169266E+08,528210.93,45800.00,2.824100E+07,47068.33
1761913940,540916.00,3.223357E+08,528419.21,48200.00,2.872300E+07,47086.88
1761913950,556619.98,3.279019E+08,528874.06,49600.00,2.921900E+07,47127.42
1761913960,542045.04,3.333224E+08,529083.13,48300.00,2.970200E+07,47146.03
1761913970,538655.00,3.387089E+08,529232.69,48000.00,3.018200E+07,47159.37
1761913980,549905.97,3.442080E+08,529550.74,49000.00,3.067200E+07,47187.69
1761913990,542013.00,3.496281E+08,529739.56,48300.00,3.115500E+07,47204.54
1761914000,540926.01,3.550374E+08,529906.52,48200.00,3.163700E+07,47219.40
1761914010,542019.03,3.604576E+08,530084.65,48300.00,3.212000E+07,47235.29
1761914020,538680.99,3.658444E+08,530209.23,48000.00,3.260000E+07,47246.37
1761914030,533060.97,3.711750E+08,530249.97,47500.00,3.307500E+07,47250.00
