Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761914484,502738.68,5.027400E+06,502738.68,44799.88,4.480000E+05,44799.88
1761914494,509498.00,1.012238E+07,506118.34,45400.00,9.020000E+05,45099.94
1761914504,509474.98,1.521713E+07,507237.22,45400.00,1.356000E+06,45199.96
1761914514,490426.03,2.012139E+07,503034.42,43700.00,1.793000E+06,44824.97
1761914524,478054.00,2.490193E+07,498038.34,42600.00,2.219000E+06,44379.98
1761914534,537546.99,3.027740E+07,504623.11,47900.00,2.698000E+06,44966.65
1761914544,534172.99,3.561913E+07,508844.52,47600.00,3.174000E+06,45342.84
1761914554,553262.96,4.115176E+07,514396.83,49300.00,3.667000E+06,45837.48
1761914564,570082.03,4.685258E+07,520584.07,50800.00,4.175000E+06,46388.88
1761914574,531935.70,5.217194E+07,521719.23,47399.97,4.649000E+06,46489.99
1761914584,538664.31,5.755858E+07,523259.69,48000.03,5.129000E+06,46627.26
1761914594,533055.03,6.288913E+07,524075.97,47500.00,5.604000E+06,46699.99
1761914604,520725.96,6.809639E+07,523818.28,46400.00,6.068000E+06,46676.91
1761914614,536418.02,7.346057E+07,524718.26,47800.00,6.546000E+06,46757.13
1761914624,536417.00,7.882474E+07,525498.17,47800.00,7.024000E+06,46826.66
1761914634,522964.99,8.405439E+07,525339.85,46600.00,7.490000E+06,46812.49
1761914644,542019.00,8.947458E+07,526320.98,48300.00,7.973000E+06,46899.99
1761914654,522955.05,9.470413E+07,526133.98,46600.00,8.439000E+06,46883.33
1761914664,519607.99,9.990021E+07,525790.51,46300.00,8.902000E+06,46852.63
1761914674,534178.97,1.052420E+08,526209.93,47600.00,9.378000E+06,46889.99
1761914684,564458.04,1.108866E+08,528031.27,50300.00,9.881000E+06,47052.38
1761914694,529698.95,1.161836E+08,528107.07,47200.00,1.035300E+07,47059.09
1761914704,526320.01,1.214468E+08,528029.37,46900.00,1.082200E+07,47052.17
1761914714,547635.99,1.269231E+08,528846.32,48800.00,1.131000E+07,47124.99
1761914724,509507.76,1.320182E+08,528072.77,45399.98,1.176400E+07,47055.99
1761914734,515097.26,1.371692E+08,527573.72,45900.02,1.222300E+07,47011.53
1761914744,544281.98,1.426120E+08,528192.54,48500.00,1.270800E+07,47066.66
1761914754,538657.04,1.479986E+08,528566.27,48000.00,1.318800E+07,47100.00
1761914764,525196.23,1.532506E+08,528450.06,46799.66,1.365600E+07,47089.64
1761914774,542046.87,1.586710E+08,528903.29,48300.35,1.413900E+07,47130.00
1761914784,512830.99,1.637993E+08,528384.83,45700.00,1.459600E+07,47083.87
1761914794,537569.02,1.691750E+08,528671.83,47900.00,1.507500E+07,47109.37
1761914804,538656.99,1.745616E+08,528974.41,48000.00,1.555500E+07,47136.36
1761914814,548753.99,1.800491E+08,529556.16,48900.00,1.604400E+07,47188.23
1761914824,524083.02,1.852899E+08,529399.79,46700.00,1.651100E+07,47174.28
1761914834,517337.00,1.904633E+08,529064.71,46100.00,1.697200E+07,47144.44
1761914844,529708.00,1.957604E+08,529082.10,47200.00,1.744400E+07,47145.94
1761914854,517335.00,2.009337E+08,528772.96,46100.00,1.790500E+07,47118.42
1761914864,555499.95,2.064887E+08,529458.27,49500.00,1.840000E+07,47179.48
1761914874,552147.02,2.120102E+08,530025.49,49200.00,1.889200E+07,47230.00
1761914884,529673.02,2.173069E+08,530016.89,47200.00,1.936400E+07,47229.27
1761914894,537544.98,2.226824E+08,530196.13,47900.00,1.984300E+07,47245.24
1761914904,529699.45,2.279794E+08,530184.58,47199.95,2.031500E+07,47244.18
1761914914,540892.29,2.333883E+08,530427.94,48200.03,2.079700E+07,47265.91
1761914924,526342.28,2.386517E+08,530337.15,46900.02,2.126600E+07,47257.78
1761914934,516226.97,2.438140E+08,530030.40,46000.00,2.172600E+07,47230.43
1761914944,546520.64,2.492792E+08,530381.26,48699.97,2.221300E+07,47261.70
1761914954,525200.40,2.545312E+08,530273.33,46800.04,2.268100E+07,47252.08
1761914964,544278.99,2.599740E+08,530559.16,48500.00,2.316600E+07,47277.55
1761914974,539773.97,2.653717E+08,530743.45,48100.00,2.364700E+07,47294.00
1761914984,524083.04,2.706126E+08,530612.86,46700.00,2.411400E+07,47282.35
1761914994,530801.01,2.759206E+08,530616.47,47300.00,2.458700E+07,47282.69
1761915004,543154.99,2.813521E+08,530853.05,48400.00,2.507100E+07,47303.77
1761915014,513980.70,2.864919E+08,530540.60,45799.97,2.552900E+07,47275.92
1761915024,528588.31,2.917778E+08,530505.10,47100.03,2.600000E+07,47272.73
1761915034,530791.99,2.970857E+08,530510.23,47300.00,2.647300E+07,47273.21
1761915044,520725.95,3.022930E+08,530338.57,46400.00,2.693700E+07,47257.89
1761915054,533031.06,3.076233E+08,530384.99,47500.01,2.741200E+07,47262.07
1761915064,528586.99,3.129092E+08,530354.52,47100.00,2.788300E+07,47259.32
1761915074,524082.01,3.181500E+08,530249.98,46700.00,2.835000E+07,47250.00
1761915084,530793.98,3.234579E+08,530258.90,47300.00,2.882300E+07,47250.82
1761915094,531945.02,3.287774E+08,530286.09,47400.00,2.929700E+07,47253.22
1761915104,539773.98,3.341751E+08,530436.69,48100.00,2.977800E+07,47266.66
1761915114,520725.70,3.393824E+08,530284.96,46399.97,3.024200E+07,47253.12
1761915124,531919.32,3.447016E+08,530310.10,47400.03,3.071600E+07,47255.38
1761915134,533054.99,3.500321E+08,530351.69,47500.00,3.119100E+07,47259.09
1761915144,516217.75,3.551943E+08,530140.74,45999.98,3.165100E+07,47240.30
1761915154,528590.23,3.604802E+08,530117.93,47100.02,3.212200E+07,47238.23
1761915164,517335.76,3.656536E+08,529932.69,46099.98,3.258300E+07,47221.74
1761915174,516217.26,3.708157E+08,529736.75,46000.02,3.304300E+07,47204.28
1761915184,529684.01,3.761126E+08,529736.01,47200.00,3.351500E+07,47204.22
1761915194,539798.96,3.815106E+08,529875.77,48100.00,3.399600E+07,47216.66
1761915204,536417.04,3.868747E+08,529965.38,47800.00,3.447400E+07,47224.66
1761915214,524083.00,3.921156E+08,529885.89,46700.00,3.494100E+07,47217.57
1761915224,542021.99,3.975358E+08,530047.70,48300.00,3.542400E+07,47232.00
1761915234,534178.97,4.028776E+08,530102.06,47600.00,3.590000E+07,47236.84
1761915244,526342.04,4.081410E+08,530053.23,46900.00,3.636900E+07,47232.47
1761915254,530794.01,4.134489E+08,530062.73,47300.00,3.684200E+07,47233.33
1761915264,492662.72,4.183756E+08,529589.31,43899.98,3.728100E+07,47191.14
1761915274,528556.29,4.236611E+08,529576.40,47100.03,3.775200E+07,47190.00
1761915284,518486.96,4.288460E+08,529439.49,46200.00,3.821400E+07,47177.78
1761915294,531912.73,4.341651E+08,529469.65,47399.98,3.868800E+07,47180.49
1761915304,526318.32,4.394283E+08,529431.68,46900.03,3.915700E+07,47177.11
1761915314,554382.00,4.449721E+08,529728.71,49400.00,3.965100E+07,47203.57
1761915324,533060.97,4.503027E+08,529767.91,47500.00,4.012600E+07,47207.06
1761915334,548756.97,4.557903E+08,529988.72,48900.00,4.061500E+07,47226.74
1761915344,565600.03,4.614463E+08,530398.04,50400.00,4.111900E+07,47263.22
1761915354,556627.01,4.670126E+08,530696.10,49600.00,4.161500E+07,47289.77
1761915364,529699.01,4.723096E+08,530684.89,47200.00,4.208700E+07,47288.76
1761915374,556616.99,4.778757E+08,530973.03,49600.00,4.258300E+07,47314.44
1761915384,520725.87,4.830830E+08,530860.42,46399.99,4.304700E+07,47304.39
1761915394,535276.11,4.884358E+08,530908.42,47700.01,4.352400E+07,47308.69
1761915404,549898.04,4.939347E+08,531112.61,49000.00,4.401400E+07,47326.88
1761915414,549883.98,4.994336E+08,531312.30,49000.00,4.450400E+07,47344.68
1761915424,516242.03,5.045960E+08,531153.67,46000.00,4.496400E+07,47330.53
1761915434,555499.97,5.101510E+08,531407.28,49500.00,4.545900E+07,47353.12
1761915444,533031.01,5.154813E+08,531424.02,47500.00,4.593400E+07,47354.64
1761915454,545399.99,5.209353E+08,531566.63,48600.00,4.642000E+07,47367.35

Summary:
loaded 523584000 metrics in 984.858sec with 8 workers (mean rate 531633.80 metrics/sec)
loaded 46656000 rows in 984.858sec with 8 workers (mean rate 47373.31 rows/sec)
