Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761916777,519560.43,5.195740E+06,519560.43,46298.79,4.630000E+05,46298.79
1761916787,545399.99,1.064974E+07,532480.04,48600.00,9.490000E+05,47449.38
1761916797,563365.00,1.628339E+07,542774.94,50200.00,1.451000E+06,48366.25
1761916807,508355.00,2.136694E+07,534170.01,45300.00,1.904000E+06,47599.69
1761916817,527437.02,2.664131E+07,532823.42,47000.00,2.374000E+06,47479.75
1761916827,574580.99,3.238712E+07,539782.98,51200.00,2.886000E+06,48099.79
1761916837,567845.98,3.806558E+07,543791.97,50600.00,3.392000E+06,48456.96
1761916847,582436.04,4.388994E+07,548622.46,51900.00,3.911000E+06,48887.34
1761916857,592544.98,4.981539E+07,553502.73,52800.00,4.439000E+06,49322.08
1761916867,601491.54,5.583031E+07,558301.60,53599.96,4.975000E+06,49749.87
1761916877,591426.49,6.174457E+07,561312.94,52700.04,5.502000E+06,50018.06
1761916887,538655.97,6.713113E+07,559424.87,48000.00,5.982000E+06,49849.89
1761916897,551026.01,7.264139E+07,558778.80,49100.00,6.473000E+06,49792.21
1761916907,592518.99,7.856658E+07,561188.81,52800.00,7.001000E+06,50007.05
1761916917,562235.00,8.418893E+07,561258.56,50100.00,7.502000E+06,50013.25
1761916927,544284.00,8.963177E+07,560197.65,48500.00,7.987000E+06,49918.67
1761916937,547635.91,9.510813E+07,559458.72,48799.99,8.475000E+06,49852.86
1761916947,554381.10,1.006519E+08,559176.63,49400.01,8.969000E+06,49827.71
1761916957,531944.99,1.059714E+08,557743.39,47400.00,9.443000E+06,49699.93
1761916967,549873.02,1.114701E+08,557349.87,49000.00,9.933000E+06,49664.94
1761916977,557761.00,1.170477E+08,557369.45,49700.00,1.043000E+07,49666.60
1761916987,568965.99,1.227374E+08,557896.56,50700.00,1.093700E+07,49713.58
1761916997,545399.78,1.281914E+08,557353.23,48599.98,1.142300E+07,49665.16
1761917007,533040.07,1.335218E+08,556340.18,47500.01,1.189800E+07,49574.95
1761917017,543160.84,1.389534E+08,555813.01,48399.99,1.238200E+07,49527.95
1761917027,552134.29,1.444747E+08,555671.52,49200.03,1.287400E+07,49515.33
1761917037,567838.03,1.501531E+08,556122.13,50600.00,1.338000E+07,49555.51
1761917047,580208.96,1.559552E+08,556982.37,51700.00,1.389700E+07,49632.10
1761917057,574558.04,1.617008E+08,557588.43,51200.00,1.440900E+07,49686.16
1761917067,553251.97,1.672333E+08,557443.88,49300.00,1.490200E+07,49673.29
1761917077,572343.01,1.729567E+08,557924.50,51000.00,1.541200E+07,49716.09
1761917087,536420.02,1.783209E+08,557252.48,47800.00,1.589000E+07,49656.21
1761917097,577937.02,1.841003E+08,557879.29,51500.00,1.640500E+07,49712.08
1761917107,582442.85,1.899247E+08,558601.74,51899.99,1.692400E+07,49776.43
1761917117,576819.12,1.956929E+08,559122.24,51400.01,1.743800E+07,49822.82
1761917127,543163.98,2.011246E+08,558678.96,48400.00,1.792200E+07,49783.30
1761917137,561101.01,2.067356E+08,558744.42,50000.00,1.842200E+07,49789.15
1761917147,565600.02,2.123916E+08,558924.83,50400.00,1.892600E+07,49805.23
1761917157,520715.99,2.175987E+08,557945.11,46400.00,1.939000E+07,49717.92
1761917167,548765.96,2.230864E+08,557715.63,48900.00,1.987900E+07,49697.47
1761917177,570099.01,2.287874E+08,558017.67,50800.00,2.038700E+07,49724.36
1761917187,505000.02,2.338374E+08,556755.34,45000.00,2.083700E+07,49611.87
1761917197,526318.02,2.391006E+08,556047.50,46900.00,2.130600E+07,49548.81
1761917207,539773.99,2.444983E+08,555677.65,48100.00,2.178700E+07,49515.88
1761917217,536426.98,2.498626E+08,555249.85,47800.00,2.226500E+07,49477.75
1761917227,536442.02,2.552270E+08,554840.99,47800.00,2.274300E+07,49441.28
1761917237,557739.02,2.608044E+08,554902.65,49700.00,2.324000E+07,49446.78
1761917247,524081.65,2.660452E+08,554260.55,46699.97,2.370700E+07,49389.56
1761917257,535300.34,2.713982E+08,553873.60,47700.03,2.418400E+07,49355.08
1761917267,554379.00,2.769420E+08,553883.71,49400.00,2.467800E+07,49355.97
1761917277,527438.99,2.822164E+08,553365.19,47000.00,2.514800E+07,49309.78
1761917287,533061.00,2.875470E+08,552974.72,47500.00,2.562300E+07,49274.98
1761917297,549874.02,2.930457E+08,552916.22,49000.00,2.611300E+07,49269.79
1761917307,504999.99,2.980957E+08,552028.88,45000.00,2.656300E+07,49190.72
1761917317,536420.00,3.034599E+08,551745.08,47800.00,2.704100E+07,49165.43
1761917327,530822.98,3.087682E+08,551371.47,47299.64,2.751400E+07,49132.11
1761917337,502740.79,3.137956E+08,550518.31,44800.34,2.796200E+07,49056.12
1761917347,537563.02,3.191712E+08,550294.94,47900.00,2.844100E+07,49036.18
1761917357,529672.99,3.244679E+08,549945.42,47200.00,2.891300E+07,49005.06
1761917367,537536.99,3.298433E+08,549738.61,47900.00,2.939200E+07,48986.65
1761917377,534182.04,3.351851E+08,549483.58,47600.00,2.986800E+07,48963.91
1761917387,535300.02,3.405381E+08,549254.82,47700.00,3.034500E+07,48943.53
1761917397,534180.97,3.458799E+08,549015.55,47600.00,3.082100E+07,48922.20
1761917407,536418.80,3.512441E+08,548818.73,47799.98,3.129900E+07,48904.67
1761917417,543161.18,3.566757E+08,548731.69,48400.02,3.178300E+07,48896.90
1761917427,529684.01,3.619726E+08,548443.09,47200.00,3.225500E+07,48871.19
1761917437,490415.98,3.668767E+08,547577.01,43700.00,3.269200E+07,48794.01
1761917447,544283.02,3.723196E+08,547528.57,48500.00,3.317700E+07,48789.69
1761917457,537537.00,3.776949E+08,547383.76,47900.00,3.365600E+07,48776.79
1761917467,528579.01,3.829807E+08,547115.12,47100.00,3.412700E+07,48752.84
1761917477,543139.99,3.884121E+08,547059.14,48400.00,3.461100E+07,48747.87
1761917487,505000.03,3.934621E+08,546474.98,45000.00,3.506100E+07,48695.82
1761917497,522960.98,3.986917E+08,546152.87,46600.00,3.552700E+07,48667.11
1761917507,537539.01,4.040671E+08,546036.47,47900.00,3.600600E+07,48656.74
1761917517,518486.99,4.092520E+08,545669.14,46200.00,3.646800E+07,48623.98
1761917527,519573.97,4.144477E+08,545325.79,46300.00,3.693100E+07,48593.40
1761917537,540926.02,4.198570E+08,545268.65,48200.00,3.741300E+07,48588.30
1761917547,518457.02,4.250416E+08,544924.91,46200.00,3.787500E+07,48557.68
1761917557,524080.97,4.302824E+08,544661.06,46700.00,3.834200E+07,48534.16
1761917567,535300.97,4.356354E+08,544544.06,47700.00,3.881900E+07,48523.73
1761917577,535300.04,4.409884E+08,544429.94,47700.00,3.929600E+07,48513.56
1761917587,543161.01,4.464200E+08,544414.46,48400.00,3.978000E+07,48512.18
1761917597,528555.99,4.517056E+08,544223.39,47100.00,4.025100E+07,48495.17
1761917607,513983.02,4.568454E+08,543863.39,45800.00,4.070900E+07,48463.08
1761917617,538654.76,4.622319E+08,543802.11,47999.98,4.118900E+07,48457.63
1761917627,530827.23,4.675402E+08,543651.24,47300.02,4.166200E+07,48444.17
1761917637,526317.99,4.728034E+08,543452.01,46900.00,4.213100E+07,48426.42
1761917647,545400.01,4.782574E+08,543474.15,48600.00,4.261700E+07,48428.39
1761917657,535300.01,4.836104E+08,543382.30,47700.00,4.309400E+07,48420.21
1761917667,526316.98,4.888736E+08,543192.69,46900.00,4.356300E+07,48403.32
1761917677,530801.70,4.941816E+08,543056.52,47299.97,4.403600E+07,48391.19
1761917687,535300.29,4.995346E+08,542972.22,47700.03,4.451300E+07,48383.68
1761917697,539798.21,5.049326E+08,542938.09,48099.93,4.499400E+07,48380.63
1761917707,552143.79,5.104540E+08,543036.02,49200.07,4.548600E+07,48389.35
1761917717,540894.03,5.158629E+08,543013.47,48200.00,4.596800E+07,48387.36
1761917727,589163.91,5.217546E+08,543494.21,52499.99,4.649300E+07,48430.20

Summary:
loaded 523584000 metrics in 963.266sec with 8 workers (mean rate 543551.06 metrics/sec)
loaded 46656000 rows in 963.266sec with 8 workers (mean rate 48435.24 rows/sec)
