Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761917914,513955.96,5.139580E+06,513955.96,45799.82,4.580000E+05,45799.82
1761917924,530815.99,1.044774E+07,522385.96,47300.00,9.310000E+05,46549.91
1761917934,510602.02,1.555376E+07,518457.98,45500.00,1.386000E+06,46199.94
1761917944,460117.99,2.015494E+07,503873.00,41000.00,1.796000E+06,44899.96
1761917954,522963.00,2.538457E+07,507691.00,46600.00,2.262000E+06,45239.96
1761917964,526316.99,3.064774E+07,510795.33,46900.00,2.731000E+06,45516.64
1761917974,521844.02,3.586618E+07,512373.71,46500.00,3.196000E+06,45657.12
1761917984,538655.96,4.125274E+07,515658.99,48000.00,3.676000E+06,45949.98
1761917994,551026.01,4.676300E+07,519588.66,49100.00,4.167000E+06,46299.98
1761918004,533031.00,5.209331E+07,520932.89,47500.00,4.642000E+06,46419.98
1761918014,529707.25,5.739039E+07,521730.56,47199.93,5.114000E+06,46490.89
1761918024,517337.73,6.256376E+07,521364.49,46100.06,5.575000E+06,46458.32
1761918034,522963.03,6.779339E+07,521487.46,46600.00,6.041000E+06,46469.22
1761918044,549872.99,7.329212E+07,523514.99,49000.00,6.531000E+06,46649.99
1761918054,537546.01,7.866758E+07,524450.39,47900.00,7.010000E+06,46733.32
1761918064,522953.96,8.389712E+07,524356.87,46600.00,7.476000E+06,46724.99
1761918074,537546.03,8.927258E+07,525132.70,47900.00,7.955000E+06,46794.11
1761918084,515100.02,9.442358E+07,524575.33,45900.00,8.414000E+06,46744.43
1761918094,518481.01,9.960839E+07,524254.57,46200.00,8.876000E+06,46715.78
1761918104,533039.99,1.049388E+08,524693.85,47500.00,9.351000E+06,46754.99
1761918114,537559.99,1.103144E+08,525306.52,47900.00,9.830000E+06,46809.51
1761918124,527434.81,1.155887E+08,525403.26,46999.98,1.030000E+07,46818.17
1761918134,524083.17,1.208296E+08,525345.86,46700.02,1.076700E+07,46813.04
1761918144,531922.05,1.261488E+08,525619.87,47400.00,1.124100E+07,46837.49
1761918154,518477.95,1.313336E+08,525334.20,46200.00,1.170300E+07,46811.99
1761918164,544282.01,1.367764E+08,526062.96,48500.00,1.218800E+07,46876.92
