Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761919061,489272.39,4.892740E+06,489272.39,43599.86,4.360000E+05,43599.86
1761919071,519584.01,1.008858E+07,504428.17,46300.00,8.990000E+05,44949.93
1761919081,513980.81,1.522839E+07,507612.38,45799.98,1.357000E+06,45233.28
1761919091,496019.15,2.018858E+07,504714.08,44200.01,1.799000E+06,44974.96
1761919101,505000.02,2.523858E+07,504771.27,45000.00,2.249000E+06,44979.97
1761919111,519598.98,3.043457E+07,507242.55,46300.00,2.712000E+06,45199.97
1761919121,503882.00,3.547339E+07,506762.47,44900.00,3.161000E+06,45157.12
1761919131,533061.03,4.080400E+07,510049.79,47500.00,3.636000E+06,45449.98
1761919141,525200.01,4.605600E+07,511733.15,46800.00,4.104000E+06,45599.98
1761919151,531912.97,5.137513E+07,513751.13,47400.00,4.578000E+06,45779.98
1761919161,539808.01,5.677321E+07,516119.94,48100.00,5.059000E+06,45990.90
1761919171,538656.01,6.215977E+07,517997.94,48000.00,5.539000E+06,46158.32
1761919181,546516.80,6.762494E+07,520191.70,48699.98,6.026000E+06,46353.83
1761919191,517337.16,7.279831E+07,519987.81,46100.01,6.487000E+06,46335.70
1761919201,534182.00,7.814013E+07,520934.09,47600.00,6.963000E+06,46419.99
1761919211,527444.98,8.341458E+07,521341.02,47000.00,7.433000E+06,46456.24
1761919221,533054.79,8.874513E+07,522030.06,47499.98,7.908000E+06,46517.64
1761919231,531944.23,9.406457E+07,522580.85,47400.02,8.382000E+06,46566.66
1761919241,539774.00,9.946231E+07,523485.75,48100.00,8.863000E+06,46647.36
1761919251,543163.00,1.048939E+08,524469.61,48400.00,9.347000E+06,46734.99
1761919261,520727.00,1.101012E+08,524291.39,46400.00,9.811000E+06,46719.04
1761919271,518455.97,1.152858E+08,524026.15,46200.00,1.027300E+07,46695.45
1761919281,546517.05,1.207509E+08,525004.01,48700.00,1.076000E+07,46782.60
1761919291,531944.99,1.260704E+08,525293.22,47400.00,1.123400E+07,46808.33
1761919301,530791.75,1.313783E+08,525513.16,47299.98,1.170700E+07,46827.99
1761919311,530826.24,1.366866E+08,525717.51,47300.02,1.218000E+07,46846.15
1761919321,533063.75,1.420172E+08,525989.59,47499.98,1.265500E+07,46870.36
1761919331,537536.23,1.473926E+08,526401.97,47900.02,1.313400E+07,46907.14
1761919341,531922.02,1.527118E+08,526592.32,47400.00,1.360800E+07,46924.13
1761919351,536441.71,1.580762E+08,526920.63,47799.97,1.408600E+07,46953.33
1761919361,540892.27,1.634851E+08,527371.33,48200.02,1.456800E+07,46993.54
1761919371,521844.02,1.687036E+08,527198.60,46500.00,1.503300E+07,46978.12
1761919381,520700.99,1.739106E+08,527001.70,46400.00,1.549700E+07,46960.60
