Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761859634,214338.47,2.143390E+06,214338.47,19099.95,1.910000E+05,19099.95
1761859644,202000.00,4.163390E+06,208169.25,18000.00,3.710000E+05,18549.98
1761859654,180681.99,5.970210E+06,199006.83,16100.00,5.320000E+05,17733.32
1761859664,208710.01,8.057310E+06,201432.63,18600.00,7.180000E+05,17949.99
1761859674,199762.99,1.005494E+07,201098.70,17800.00,8.960000E+05,17919.99
1761859684,200880.01,1.206374E+07,201062.25,17900.00,1.075000E+06,17916.66
1761859694,215457.00,1.421831E+07,203118.64,19200.00,1.267000E+06,18099.99
1761859704,200881.98,1.622713E+07,202839.06,17900.00,1.446000E+06,18074.99
1761859714,171700.01,1.794413E+07,199379.17,15300.00,1.599000E+06,17766.66
1761859724,175087.00,1.969500E+07,196949.95,15600.00,1.755000E+06,17550.00
1761859734,172820.99,2.142321E+07,194756.41,15400.00,1.909000E+06,17354.54
1761859744,170578.92,2.312900E+07,192741.62,15199.99,2.061000E+06,17175.00
1761859754,208711.10,2.521611E+07,193970.04,18600.01,2.247000E+06,17284.61
1761859764,203120.00,2.724731E+07,194623.61,18100.00,2.428000E+06,17342.85
1761859774,181800.00,2.906531E+07,193768.70,16200.00,2.590000E+06,17266.66
1761859784,178445.02,3.084976E+07,192810.97,15900.00,2.749000E+06,17181.25
1761859794,179562.98,3.264539E+07,192031.68,16000.00,2.909000E+06,17111.76
1761859804,187400.91,3.451940E+07,191774.41,16699.99,3.076000E+06,17088.89
1761859814,214339.09,3.666279E+07,192962.03,19100.01,3.267000E+06,17194.73
1761859824,198634.02,3.864913E+07,193245.63,17700.00,3.444000E+06,17220.00
1761859834,184044.98,4.048958E+07,192807.50,16400.00,3.608000E+06,17180.95
1761859844,185180.90,4.234139E+07,192460.84,16499.99,3.773000E+06,17150.00
1761859854,189661.12,4.423800E+07,192339.11,16900.01,3.942000E+06,17139.13
