Current status: 
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761836301,196370.07,1.963740E+06,196370.07,17499.65,1.750000E+05,17499.65
1761836311,193020.00,3.893940E+06,194695.05,17200.00,3.470000E+05,17349.83
1761836321,170580.01,5.599740E+06,186656.75,15200.00,4.990000E+05,16633.22
1761836331,208746.99,7.687210E+06,192179.29,18600.00,6.850000E+05,17124.91
1761836341,205356.00,9.740770E+06,194814.62,18300.00,8.680000E+05,17359.93
1761836351,217702.00,1.191779E+07,198629.17,19400.00,1.062000E+06,17699.94
1761836361,207614.91,1.399394E+07,199912.84,18499.99,1.247000E+06,17814.23
1761836371,191900.01,1.591294E+07,198911.24,17100.00,1.418000E+06,17724.95
1761836381,171700.06,1.762994E+07,195887.79,15300.01,1.571000E+06,17455.52
1761836391,172818.97,1.935813E+07,193580.91,15400.00,1.725000E+06,17249.97
1761836401,162718.03,2.098531E+07,190775.20,14500.00,1.870000E+06,16999.97
1761836411,203127.00,2.301658E+07,191804.51,18100.00,2.051000E+06,17091.64
1761836421,209855.00,2.511513E+07,193193.01,18700.00,2.238000E+06,17215.36
1761836431,200890.00,2.712403E+07,193742.79,17900.00,2.417000E+06,17264.26
1761836441,188536.00,2.900939E+07,193395.67,16800.00,2.585000E+06,17233.31
1761836451,194136.00,3.095075E+07,193441.94,17300.00,2.758000E+06,17237.48
1761836461,178446.00,3.273521E+07,192559.83,15900.00,2.917000E+06,17158.80
1761836471,190778.99,3.464300E+07,192460.90,17000.00,3.087000E+06,17149.98
1761836481,224439.01,3.688739E+07,194143.95,20000.00,3.287000E+06,17299.98
