Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761839203,207593.10,2.075940E+06,207593.10,18499.92,1.850000E+05,18499.92
1761839213,206506.00,4.141000E+06,207049.55,18400.00,3.690000E+05,18449.96
1761839223,198613.00,6.127130E+06,204237.37,17700.00,5.460000E+05,18199.97
1761839233,194145.01,8.068580E+06,201714.28,17300.00,7.190000E+05,17974.98
1761839243,175081.00,9.819390E+06,196387.63,15600.00,8.750000E+05,17499.98
1761839253,166074.00,1.148013E+07,191335.36,14800.00,1.023000E+06,17049.99
1761839263,179560.96,1.327574E+07,189653.30,16000.00,1.183000E+06,16899.99
1761839273,213220.06,1.540794E+07,192599.15,19000.01,1.373000E+06,17162.49
1761839283,205363.98,1.746158E+07,194017.46,18300.00,1.556000E+06,17288.88
1761839293,212100.01,1.958258E+07,195825.72,18900.00,1.745000E+06,17449.99
1761839303,205380.99,2.163639E+07,196694.38,18300.00,1.928000E+06,17527.27
1761839313,176172.01,2.339811E+07,194984.18,15700.00,2.085000E+06,17374.99
1761839323,172819.92,2.512631E+07,193279.24,15399.99,2.239000E+06,17223.07
1761839333,170582.07,2.683213E+07,191658.01,15200.01,2.391000E+06,17078.57
1761839343,175087.00,2.858300E+07,190553.28,15600.00,2.547000E+06,16980.00
1761839353,201978.99,3.060279E+07,191267.39,18000.00,2.727000E+06,17043.75
1761839363,208734.01,3.269013E+07,192294.83,18600.00,2.913000E+06,17135.29
1761839373,177325.99,3.446339E+07,191463.23,15800.00,3.071000E+06,17061.11
1761839383,186273.00,3.632612E+07,191190.06,16600.00,3.237000E+06,17036.84
1761839393,178444.93,3.811057E+07,190552.81,15899.99,3.396000E+06,16980.00
1761839403,194137.07,4.005194E+07,190723.48,17300.01,3.569000E+06,16995.23
1761839413,210980.00,4.216174E+07,191644.24,18800.00,3.757000E+06,17077.27
1761839423,206483.93,4.422658E+07,192289.44,18399.99,3.941000E+06,17134.78
1761839433,197519.06,4.620177E+07,192507.34,17600.01,4.117000E+06,17154.16
1761839443,189662.00,4.809839E+07,192393.53,16900.00,4.286000E+06,17144.00
1761839453,195255.00,5.005094E+07,192503.58,17400.00,4.460000E+06,17153.84
1761839463,213219.01,5.218313E+07,193270.82,19000.00,4.650000E+06,17222.22
1761839473,213218.00,5.431531E+07,193983.22,19000.00,4.840000E+06,17285.71
1761839483,219962.00,5.651493E+07,194879.04,19600.00,5.036000E+06,17365.51
1761839493,178445.77,5.829939E+07,194331.26,15899.98,5.195000E+06,17316.66
1761839503,189661.25,6.019600E+07,194180.62,16900.02,5.364000E+06,17303.22
1761839513,186277.00,6.205877E+07,193933.63,16600.00,5.530000E+06,17281.25
1761839523,182917.00,6.388794E+07,193599.79,16300.00,5.693000E+06,17251.51
1761839533,185179.00,6.573973E+07,193352.12,16500.00,5.858000E+06,17229.41
1761839543,200858.00,6.774831E+07,193566.58,17900.00,6.037000E+06,17248.57
1761839553,187426.00,6.962257E+07,193396.00,16700.00,6.204000E+06,17233.33
1761839563,188543.01,7.150800E+07,193264.84,16800.00,6.372000E+06,17221.62
1761839573,207593.99,7.358394E+07,193641.93,18500.00,6.557000E+06,17255.26
1761839583,210980.00,7.569374E+07,194086.49,18800.00,6.745000E+06,17294.87
1761839593,223320.01,7.792694E+07,194817.33,19900.00,6.944000E+06,17360.00
1761839603,218844.99,8.011539E+07,195403.37,19500.00,7.139000E+06,17412.19
1761839613,184035.00,8.195574E+07,195132.69,16400.00,7.303000E+06,17388.09
1761839623,188547.01,8.384121E+07,194979.54,16800.00,7.471000E+06,17374.42
1761839633,178417.80,8.562539E+07,194603.13,15899.98,7.630000E+06,17340.91
1761839643,184040.21,8.746579E+07,194368.40,16400.02,7.794000E+06,17320.00
1761839653,191921.01,8.938500E+07,194315.20,17100.00,7.965000E+06,17315.22
1761839663,186276.00,9.124776E+07,194144.15,16600.00,8.131000E+06,17300.00
1761839673,173936.99,9.298713E+07,193723.17,15500.00,8.286000E+06,17262.50
1761839683,213218.01,9.511931E+07,194121.02,19000.00,8.476000E+06,17297.96
1761839693,223327.00,9.735258E+07,194705.14,19900.00,8.675000E+06,17350.00
1761839703,208735.99,9.943994E+07,194980.26,18600.00,8.861000E+06,17374.51
1761839713,218845.00,1.016284E+08,195439.20,19500.00,9.056000E+06,17415.38
1761839723,208733.97,1.037157E+08,195690.04,18600.00,9.242000E+06,17437.73
1761839733,187401.03,1.055897E+08,195536.54,16700.00,9.409000E+06,17424.07
1761839743,188547.00,1.074752E+08,195409.46,16800.00,9.577000E+06,17412.73
1761839753,189637.00,1.093716E+08,195306.38,16900.00,9.746000E+06,17403.57
1761839763,193042.00,1.113020E+08,195266.65,17200.00,9.918000E+06,17400.00
1761839773,196376.01,1.132658E+08,195285.78,17500.00,1.009300E+07,17401.72
1761839783,188540.99,1.151512E+08,195171.46,16800.00,1.026100E+07,17391.52
1761839793,171704.00,1.168682E+08,194780.34,15300.00,1.041400E+07,17356.67
1761839803,222200.01,1.190902E+08,195229.84,19800.00,1.061200E+07,17396.72
1761839813,216572.99,1.212559E+08,195574.08,19300.00,1.080500E+07,17427.42
1761839823,209863.00,1.233546E+08,195800.89,18700.00,1.099200E+07,17447.62
1761839833,221082.00,1.255654E+08,196195.91,19700.00,1.118900E+07,17482.81
1761839843,210982.00,1.276752E+08,196423.39,18800.00,1.137700E+07,17503.08
1761839853,179537.00,1.294706E+08,196167.53,16000.00,1.153700E+07,17480.30
1761839863,189655.01,1.313671E+08,196070.33,16900.00,1.170600E+07,17471.64
1761839873,180682.00,1.331740E+08,195844.03,16100.00,1.186700E+07,17451.47
1761839883,189662.00,1.350706E+08,195754.44,16900.00,1.203600E+07,17443.48
1761839893,207600.97,1.371466E+08,195923.67,18500.00,1.222100E+07,17458.57
1761839903,223342.02,1.393800E+08,196309.85,19900.00,1.242000E+07,17492.96
1761839913,194139.01,1.413214E+08,196279.70,17300.00,1.259300E+07,17490.28
1761839923,216574.00,1.434871E+08,196557.70,19300.00,1.278600E+07,17515.07
1761839933,219961.00,1.456867E+08,196873.96,19600.00,1.298200E+07,17543.24
1761839943,225556.92,1.479423E+08,197256.40,20099.99,1.318300E+07,17577.33
1761839953,235690.07,1.502992E+08,197762.11,21000.01,1.339300E+07,17622.37
1761839963,212100.00,1.524202E+08,197948.31,18900.00,1.358200E+07,17638.96
1761839973,187392.00,1.542941E+08,197812.98,16700.00,1.374900E+07,17626.92
1761839983,195287.02,1.562470E+08,197781.00,17400.00,1.392300E+07,17624.05
1761839993,208712.89,1.583341E+08,197917.65,18599.99,1.410900E+07,17636.25
1761840003,186308.08,1.601972E+08,197774.32,16600.01,1.427500E+07,17623.46
1761840013,194135.00,1.621386E+08,197729.94,17300.00,1.444800E+07,17619.51
1761840023,209865.01,1.642372E+08,197876.15,18700.00,1.463500E+07,17632.53
1761840033,189637.00,1.661336E+08,197778.06,16900.00,1.480400E+07,17623.81
1761840043,191899.99,1.680526E+08,197708.91,17100.00,1.497500E+07,17617.65
1761840053,190773.00,1.699603E+08,197628.26,17000.00,1.514500E+07,17610.46
1761840063,222199.87,1.721823E+08,197910.69,19799.99,1.534300E+07,17635.63
1761840073,222200.03,1.744043E+08,198186.71,19800.00,1.554100E+07,17660.23
1761840083,213227.08,1.765366E+08,198355.70,19000.01,1.573100E+07,17675.28
1761840093,190773.00,1.784443E+08,198271.45,17000.00,1.590100E+07,17667.78
1761840103,199762.01,1.804419E+08,198287.83,17800.00,1.607900E+07,17669.23
1761840113,179563.92,1.822376E+08,198084.30,15999.99,1.623900E+07,17651.09
1761840123,179564.06,1.840332E+08,197885.16,16000.01,1.639900E+07,17633.33
1761840133,188519.02,1.859184E+08,197785.52,16800.00,1.656700E+07,17624.47
1761840143,188534.01,1.878037E+08,197688.14,16800.00,1.673500E+07,17615.79
1761840153,159364.99,1.893974E+08,197288.94,14200.00,1.687700E+07,17580.21
1761840163,185154.86,1.912489E+08,197163.85,16499.99,1.704200E+07,17569.07
1761840173,191900.14,1.931679E+08,197110.13,17100.01,1.721300E+07,17564.28
1761840183,208745.01,1.952554E+08,197227.66,18600.00,1.739900E+07,17574.75
1761840193,216574.00,1.974211E+08,197421.12,19300.00,1.759200E+07,17592.00
1761840203,218843.00,1.996096E+08,197633.22,19500.00,1.778700E+07,17610.89
1761840213,182917.99,2.014387E+08,197488.95,16300.00,1.795000E+07,17598.04
1761840223,187426.01,2.033130E+08,197391.25,16700.00,1.811700E+07,17589.32
1761840233,188520.00,2.051982E+08,197305.95,16800.00,1.828500E+07,17581.73
1761840243,200874.00,2.072069E+08,197339.93,17900.00,1.846400E+07,17584.76
1761840253,223319.00,2.094401E+08,197585.02,19900.00,1.866300E+07,17606.60
1761840263,218844.00,2.116286E+08,197783.70,19500.00,1.885800E+07,17624.30
1761840273,188518.99,2.135138E+08,197697.92,16800.00,1.902600E+07,17616.67
1761840283,199755.01,2.155113E+08,197716.79,17800.00,1.920400E+07,17618.35
1761840293,181799.99,2.173293E+08,197572.09,16200.00,1.936600E+07,17605.45
1761840303,204269.02,2.193720E+08,197632.42,18200.00,1.954800E+07,17610.81
1761840313,215456.98,2.215266E+08,197791.57,19200.00,1.974000E+07,17625.00
1761840323,214337.01,2.236699E+08,197937.99,19100.00,1.993100E+07,17638.05
1761840333,195263.91,2.256226E+08,197914.54,17399.99,2.010500E+07,17635.96
1761840343,185181.08,2.274744E+08,197803.81,16500.01,2.027000E+07,17626.09
1761840353,207615.99,2.295506E+08,197888.40,18500.00,2.045500E+07,17633.62
1761840363,213203.00,2.316826E+08,198019.29,19000.00,2.064500E+07,17645.30
1761840373,218836.00,2.338709E+08,198195.70,19500.00,2.084000E+07,17661.02
1761840383,212100.00,2.359919E+08,198312.55,18900.00,2.102900E+07,17671.43
1761840393,189663.01,2.378886E+08,198240.47,16900.00,2.119800E+07,17665.00
1761840403,196383.00,2.398524E+08,198225.12,17500.00,2.137300E+07,17663.64
1761840413,191900.00,2.417714E+08,198173.27,17100.00,2.154400E+07,17659.02
1761840423,176198.99,2.435334E+08,197994.62,15700.00,2.170100E+07,17643.09
1761840433,185154.97,2.453849E+08,197891.07,16500.00,2.186600E+07,17633.87
1761840443,186306.03,2.472480E+08,197798.39,16600.00,2.203200E+07,17625.60
1761840453,169431.00,2.489423E+08,197573.26,15100.00,2.218300E+07,17605.55
1761840463,191900.00,2.508613E+08,197528.58,17100.00,2.235400E+07,17601.57
1761840473,180682.00,2.526681E+08,197396.97,16100.00,2.251500E+07,17589.84
1761840483,177326.00,2.544414E+08,197241.38,15800.00,2.267300E+07,17575.97
1761840493,195255.00,2.563939E+08,197226.10,17400.00,2.284700E+07,17574.61
1761840503,215464.00,2.585486E+08,197365.32,19200.00,2.303900E+07,17587.02
1761840513,184039.00,2.603890E+08,197264.36,16400.00,2.320300E+07,17578.03
1761840523,214360.00,2.625326E+08,197392.90,19100.00,2.339400E+07,17589.47
1761840533,218843.00,2.647210E+08,197552.98,19500.00,2.358900E+07,17603.73
1761840543,217693.93,2.668979E+08,197702.17,19399.99,2.378300E+07,17617.04
1761840553,214337.06,2.690413E+08,197824.49,19100.01,2.397400E+07,17627.94
1761840563,213227.02,2.711736E+08,197936.91,19000.00,2.416400E+07,17637.96
