Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761842079,200852.87,2.008580E+06,200852.87,17899.54,1.790000E+05,17899.54
1761842089,210982.00,4.118400E+06,205917.37,18800.00,3.670000E+05,18349.77
1761842099,224459.99,6.363000E+06,212098.19,20000.00,5.670000E+05,18899.84
1761842109,185156.00,8.214560E+06,205362.69,16500.00,7.320000E+05,18299.88
1761842119,188544.00,1.010000E+07,201998.97,16800.00,9.000000E+05,17999.91
1761842129,186273.99,1.196274E+07,199378.15,16600.00,1.066000E+06,17766.59
1761842139,209864.99,1.406139E+07,200876.26,18700.00,1.253000E+06,17899.93
1761842149,217692.02,1.623831E+07,202978.23,19400.00,1.447000E+06,18087.44
1761842159,210981.99,1.834813E+07,203867.53,18800.00,1.635000E+06,18166.62
1761842169,205387.00,2.040200E+07,204019.48,18300.00,1.818000E+06,18179.95
1761842179,193021.01,2.233221E+07,203019.62,17200.00,1.990000E+06,18090.87
1761842189,176172.00,2.409393E+07,200782.32,15700.00,2.147000E+06,17891.63
1761842199,179566.00,2.588959E+07,199150.30,16000.00,2.307000E+06,17746.12
1761842209,176172.00,2.765131E+07,197509.00,15700.00,2.464000E+06,17599.97
1761842219,179562.98,2.944694E+07,196312.60,16000.00,2.624000E+06,17493.30
1761842229,216606.02,3.161300E+07,197580.93,19300.00,2.817000E+06,17606.22
1761842239,206475.93,3.367776E+07,198104.17,18399.99,3.001000E+06,17652.91
1761842249,185155.06,3.552931E+07,197384.78,16500.01,3.166000E+06,17588.86
1761842259,186308.01,3.739239E+07,196801.79,16600.00,3.332000E+06,17536.82
1761842269,189660.98,3.928900E+07,196444.75,16900.00,3.501000E+06,17504.98
1761842279,184039.01,4.112939E+07,195854.00,16400.00,3.665000E+06,17452.36
1761842289,218819.00,4.331758E+07,196897.86,19500.00,3.860000E+06,17545.43
1761842299,205380.99,4.537139E+07,197266.69,18300.00,4.043000E+06,17578.24
1761842309,181799.99,4.718939E+07,196622.25,16200.00,4.205000E+06,17520.81
1761842319,177299.00,4.896238E+07,195849.32,15800.00,4.363000E+06,17451.98
1761842329,182920.01,5.079158E+07,195352.04,16300.00,4.526000E+06,17407.68
