Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761850889,198612.10,1.986130E+06,198612.10,17699.92,1.770000E+05,17699.92
1761850899,199761.00,3.983740E+06,199186.55,17800.00,3.550000E+05,17749.96
1761850909,207625.99,6.060000E+06,201999.69,18500.00,5.400000E+05,17999.97
1761850919,181800.00,7.878000E+06,196949.77,16200.00,7.020000E+05,17549.98
1761850929,178413.00,9.662130E+06,193242.42,15900.00,8.610000E+05,17219.98
1761850939,181800.01,1.148013E+07,191335.35,16200.00,1.023000E+06,17049.99
1761850949,194144.99,1.342158E+07,191736.73,17300.00,1.196000E+06,17085.70
1761850959,205381.00,1.547539E+07,193442.26,18300.00,1.379000E+06,17237.49
1761850969,209837.00,1.757376E+07,195263.90,18700.00,1.566000E+06,17399.99
1761850979,205381.01,1.962757E+07,196275.61,18300.00,1.749000E+06,17489.99
1761850989,199763.99,2.162521E+07,196592.74,17800.00,1.927000E+06,17518.17
1761850999,178410.01,2.340931E+07,195077.51,15900.00,2.086000E+06,17383.33
1761851009,169462.94,2.510394E+07,193107.16,15099.99,2.237000E+06,17207.69
1761851019,170580.06,2.680974E+07,191498.08,15200.01,2.389000E+06,17064.28
1761851029,181803.00,2.862777E+07,190851.74,16200.00,2.551000E+06,17006.66
1761851039,198643.97,3.061421E+07,191338.76,17700.00,2.728000E+06,17049.99
1761851049,210979.04,3.272400E+07,192494.07,18800.00,2.916000E+06,17152.94
1761851059,187394.00,3.459794E+07,192210.73,16700.00,3.083000E+06,17127.77
1761851069,178445.00,3.638239E+07,191486.22,15900.00,3.242000E+06,17063.15
1761851079,178434.00,3.816673E+07,190833.61,15900.00,3.401000E+06,17005.00
1761851089,187400.92,4.004074E+07,190670.15,16699.99,3.568000E+06,16990.47
1761851099,194138.08,4.198212E+07,190827.78,17300.01,3.741000E+06,17004.54
1761851109,209862.01,4.408074E+07,191655.35,18700.00,3.928000E+06,17078.26
1761851119,185157.01,4.593231E+07,191384.59,16500.00,4.093000E+06,17054.16
1761851129,173969.00,4.767200E+07,190687.97,15500.00,4.248000E+06,16992.00
1761851139,176173.99,4.943374E+07,190129.74,15700.00,4.405000E+06,16942.30
1761851149,198647.00,5.142021E+07,190445.19,17700.00,4.582000E+06,16970.37
1761851159,215453.00,5.357474E+07,191338.33,19200.00,4.774000E+06,17050.00
1761851169,219964.99,5.577439E+07,192325.45,19600.00,4.970000E+06,17137.93
1761851179,189661.00,5.767100E+07,192236.64,16900.00,5.139000E+06,17130.00
1761851189,186273.94,5.953374E+07,192044.29,16599.99,5.305000E+06,17112.90
1761851199,176184.07,6.129558E+07,191548.66,15700.01,5.462000E+06,17068.75
1761851209,185181.00,6.314739E+07,191355.70,16500.00,5.627000E+06,17051.51
1761851219,201998.99,6.516738E+07,191668.74,18000.00,5.807000E+06,17079.41
1761851229,215455.92,6.732194E+07,192348.37,19199.99,5.999000E+06,17140.00
1761851239,180683.07,6.912877E+07,192024.34,16100.01,6.160000E+06,17111.11
1761851249,182917.01,7.095794E+07,191778.19,16300.00,6.323000E+06,17089.19
1761851259,184037.01,7.279831E+07,191574.48,16400.00,6.487000E+06,17071.05
1761851269,196408.00,7.476239E+07,191698.41,17500.00,6.662000E+06,17082.05
1761851279,209860.99,7.686100E+07,192152.48,18700.00,6.849000E+06,17122.50
1761851289,216576.99,7.902677E+07,192748.20,19300.00,7.042000E+06,17175.61
1761851299,182917.00,8.085594E+07,192514.12,16300.00,7.205000E+06,17154.76
1761851309,182919.00,8.268513E+07,192290.98,16300.00,7.368000E+06,17134.88
1761851319,180681.00,8.449194E+07,192027.12,16100.00,7.529000E+06,17111.36
1761851329,187427.00,8.636621E+07,191924.89,16700.00,7.696000E+06,17102.22
1761851339,177292.00,8.813913E+07,191606.79,15800.00,7.854000E+06,17073.91
1761851349,205387.00,9.019300E+07,191899.98,18300.00,8.037000E+06,17100.00
1761851359,186274.00,9.205574E+07,191782.77,16600.00,8.203000E+06,17089.58
1761851369,184038.99,9.389613E+07,191624.74,16400.00,8.367000E+06,17075.51
1761851379,188542.98,9.578156E+07,191563.10,16800.00,8.535000E+06,17070.00
1761851389,215457.02,9.793613E+07,192031.61,19200.00,8.727000E+06,17111.76
1761851399,208744.00,1.000236E+08,192353.00,18600.00,8.913000E+06,17140.38
1761851409,226683.01,1.022904E+08,193000.74,20200.00,9.115000E+06,17198.11
1761851419,190771.99,1.041981E+08,192959.47,17000.00,9.285000E+06,17194.44
1761851429,185188.00,1.060500E+08,192818.17,16500.00,9.450000E+06,17181.82
1761851439,191878.99,1.079688E+08,192801.39,17100.00,9.621000E+06,17180.36
1761851449,194160.01,1.099104E+08,192825.23,17300.00,9.794000E+06,17182.45
1761851459,179560.98,1.117060E+08,192596.54,16000.00,9.954000E+06,17162.07
1761851469,194139.02,1.136474E+08,192622.68,17300.00,1.012700E+07,17164.41
1761851479,196374.01,1.156111E+08,192685.20,17500.00,1.030200E+07,17170.00
1761851489,181800.00,1.174291E+08,192506.76,16200.00,1.046400E+07,17154.10
1761851499,197526.00,1.194044E+08,192587.71,17600.00,1.064000E+07,17161.29
1761851509,218818.99,1.215926E+08,193004.08,19500.00,1.083500E+07,17198.41
1761851519,206499.00,1.236576E+08,193214.94,18400.00,1.101900E+07,17217.19
1761851529,210982.01,1.257674E+08,193488.28,18800.00,1.120700E+07,17241.54
1761851539,206473.99,1.278321E+08,193685.03,18400.00,1.139100E+07,17259.09
1761851549,182918.00,1.296613E+08,193524.33,16300.00,1.155400E+07,17244.77
1761851559,194169.01,1.316030E+08,193533.81,17300.00,1.172700E+07,17245.59
1761851569,190772.99,1.335107E+08,193493.80,17000.00,1.189700E+07,17242.03
1761851579,198620.93,1.354969E+08,193567.04,17699.99,1.207400E+07,17248.57
1761851589,213219.06,1.376291E+08,193843.83,19000.01,1.226400E+07,17273.24
1761851599,196408.01,1.395932E+08,193879.45,17500.00,1.243900E+07,17276.39
1761851609,180679.00,1.414000E+08,193698.62,16100.00,1.260000E+07,17260.27
1761851619,186273.99,1.432627E+08,193598.29,16600.00,1.276600E+07,17251.35
1761851629,194139.00,1.452041E+08,193605.49,17300.00,1.293900E+07,17252.00
1761851639,212099.01,1.473251E+08,193848.83,18900.00,1.312800E+07,17273.68
1761851649,206508.91,1.493902E+08,194013.25,18399.99,1.331200E+07,17288.31
1761851659,198610.08,1.513763E+08,194072.18,17700.01,1.348900E+07,17293.59
1761851669,181800.01,1.531943E+08,193916.84,16200.00,1.365100E+07,17279.75
1761851679,196408.00,1.551584E+08,193947.98,17500.00,1.382600E+07,17282.50
1761851689,191900.00,1.570774E+08,193922.69,17100.00,1.399700E+07,17280.25
1761851699,191900.01,1.589964E+08,193898.03,17100.00,1.416800E+07,17278.05
1761851709,213218.00,1.611286E+08,194130.80,19000.00,1.435800E+07,17298.79
1761851719,189663.99,1.630252E+08,194077.62,16900.00,1.452700E+07,17294.05
1761851729,187391.00,1.648991E+08,193998.95,16700.00,1.469400E+07,17287.06
1761851739,178444.00,1.666836E+08,193818.08,15900.00,1.485300E+07,17270.93
1761851749,215456.99,1.688381E+08,194066.81,19200.00,1.504500E+07,17293.10
1761851759,207626.01,1.709144E+08,194220.89,18500.00,1.523000E+07,17306.82
1761851769,209860.99,1.730130E+08,194396.62,18700.00,1.541700E+07,17322.47
1761851779,197494.00,1.749879E+08,194431.03,17600.00,1.559300E+07,17325.55
1761851789,180680.00,1.767947E+08,194279.92,16100.00,1.575400E+07,17312.09
1761851799,180683.00,1.786016E+08,194132.13,16100.00,1.591500E+07,17298.91
1761851809,182916.99,1.804307E+08,194011.54,16300.00,1.607800E+07,17288.17
1761851819,179565.02,1.822264E+08,193857.85,16000.00,1.623800E+07,17274.47
1761851829,197491.98,1.842013E+08,193896.11,17600.00,1.641400E+07,17277.89
1761851839,186308.01,1.860644E+08,193817.06,16600.00,1.658000E+07,17270.83
1761851849,177292.01,1.878373E+08,193646.70,15800.00,1.673800E+07,17255.67
1761851859,184068.99,1.896780E+08,193548.97,16400.00,1.690200E+07,17246.94
1761851869,185157.00,1.915296E+08,193464.20,16500.00,1.706700E+07,17239.39
1761851879,204237.00,1.935719E+08,193571.93,18200.00,1.724900E+07,17249.00
1761851889,207627.00,1.956482E+08,193711.09,18500.00,1.743400E+07,17261.39
1761851899,203118.00,1.976794E+08,193803.31,18100.00,1.761500E+07,17269.61
1761851909,189661.00,1.995760E+08,193763.10,16900.00,1.778400E+07,17266.02
1761851919,208713.01,2.016631E+08,193906.85,18600.00,1.797000E+07,17278.85
1761851929,214344.99,2.038066E+08,194101.50,19100.00,1.816100E+07,17296.19
1761851939,208736.00,2.058939E+08,194239.56,18600.00,1.834700E+07,17308.49
1761851949,205364.01,2.079476E+08,194343.52,18300.00,1.853000E+07,17317.76
1761851959,195281.00,2.099004E+08,194352.20,17400.00,1.870400E+07,17318.52
1761851969,180682.01,2.117072E+08,194226.79,16100.00,1.886500E+07,17307.34
1761851979,186273.00,2.135699E+08,194154.48,16600.00,1.903100E+07,17300.91
1761851989,185163.98,2.154216E+08,194073.49,16500.00,1.919600E+07,17293.69
1761851999,185181.01,2.172734E+08,193994.09,16500.00,1.936100E+07,17286.61
