Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761853813,206472.76,2.064770E+06,206472.76,18399.62,1.840000E+05,18399.62
1761853823,207622.99,4.141000E+06,207047.87,18500.00,3.690000E+05,18449.81
1761853833,213221.01,6.273210E+06,209105.57,19000.00,5.590000E+05,18633.21
1761853843,182917.99,8.102390E+06,202558.71,16300.00,7.220000E+05,18049.91
1761853853,166072.00,9.763110E+06,195261.40,14800.00,8.700000E+05,17399.93
1761853863,187428.00,1.163739E+07,193955.84,16700.00,1.037000E+06,17283.27
1761853873,210982.00,1.374721E+07,196388.14,18800.00,1.225000E+06,17499.95
1761853883,208710.00,1.583431E+07,197928.37,18600.00,1.411000E+06,17637.45
1761853893,200881.97,1.784313E+07,198256.54,17900.00,1.590000E+06,17666.63
1761853903,214344.92,1.998658E+07,199865.38,19099.99,1.781000E+06,17809.96
1761853913,197519.11,2.196177E+07,199652.08,17600.01,1.957000E+06,17790.88
1761853923,172817.00,2.368994E+07,197415.83,15400.00,2.111000E+06,17591.64
1761853933,175064.00,2.544058E+07,195696.46,15600.00,2.267000E+06,17438.43
1761853943,181799.99,2.725858E+07,194703.86,16200.00,2.429000E+06,17349.97
1761853953,180673.01,2.906531E+07,193768.47,16100.00,2.590000E+06,17266.64
1761853963,208743.00,3.115274E+07,194704.38,18600.00,2.776000E+06,17349.98
1761853973,199764.99,3.315039E+07,195002.06,17800.00,2.954000E+06,17376.45
1761853983,181800.02,3.496839E+07,194268.61,16200.00,3.116000E+06,17311.09
1761853993,180681.99,3.677521E+07,193553.53,16100.00,3.277000E+06,17247.35
1761854003,189661.00,3.867182E+07,193358.90,16900.00,3.446000E+06,17229.98
1761854013,182918.01,4.050100E+07,192861.72,16300.00,3.609000E+06,17185.70
1761854023,208713.00,4.258813E+07,193582.23,18600.00,3.795000E+06,17249.98
1761854033,198643.91,4.457457E+07,193802.30,17699.99,3.972000E+06,17269.55
1761854043,177316.07,4.634773E+07,193115.38,15800.01,4.130000E+06,17208.32
1761854053,180657.93,4.815431E+07,192617.08,16099.99,4.291000E+06,17163.99
1761854063,178443.07,4.993874E+07,192071.93,15900.01,4.450000E+06,17115.37
1761854073,195257.00,5.189131E+07,192189.89,17400.00,4.624000E+06,17125.91
1761854083,221082.00,5.410213E+07,193221.75,19700.00,4.821000E+06,17217.84
1761854093,200880.98,5.611094E+07,193485.86,17900.00,5.000000E+06,17241.37
1761854103,182918.89,5.794013E+07,193133.63,16299.99,5.163000E+06,17209.99
1761854113,186305.12,5.980318E+07,192913.36,16600.01,5.329000E+06,17190.31
1761854123,178413.01,6.158731E+07,192460.22,15900.00,5.488000E+06,17149.99
1761854133,195289.98,6.354021E+07,192545.97,17400.00,5.662000E+06,17157.57
1761854143,221079.01,6.575100E+07,193385.18,19700.00,5.859000E+06,17232.34
1761854153,209831.00,6.784931E+07,193855.06,18700.00,6.046000E+06,17274.28
1761854163,185189.91,6.970121E+07,193614.36,16499.99,6.211000E+06,17252.77
1761854173,189661.10,7.159782E+07,193507.51,16900.01,6.380000E+06,17243.23
1761854183,177291.92,7.337074E+07,193080.79,15799.99,6.538000E+06,17205.25
1761854193,176184.08,7.513258E+07,192647.54,15700.01,6.695000E+06,17166.66
1761854203,196398.92,7.709657E+07,192741.32,17499.99,6.870000E+06,17174.99
1761854213,196374.09,7.906031E+07,192829.93,17500.01,7.045000E+06,17182.92
1761854223,176208.00,8.082239E+07,192434.17,15700.00,7.202000E+06,17147.61
1761854233,185154.99,8.267394E+07,192264.88,16500.00,7.367000E+06,17132.55
1761854243,205363.99,8.472758E+07,192562.59,18300.00,7.550000E+06,17159.08
1761854253,207616.01,8.680374E+07,192897.11,18500.00,7.735000E+06,17188.88
1761854263,219965.00,8.900339E+07,193485.54,19600.00,7.931000E+06,17241.30
1761854273,200882.00,9.101221E+07,193642.92,17900.00,8.110000E+06,17255.31
1761854283,173935.99,9.275157E+07,193232.35,15500.00,8.265000E+06,17218.74
1761854293,188521.95,9.463679E+07,193136.22,16800.00,8.433000E+06,17210.20
