Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761880554,295136.19,2.951390E+06,295136.19,26299.75,2.630000E+05,26299.75
1761880564,282800.01,5.779390E+06,288968.13,25200.00,5.150000E+05,25749.88
1761880574,287273.00,8.652120E+06,288403.09,25600.00,7.710000E+05,25699.92
1761880584,262600.99,1.127813E+07,281952.58,23400.00,1.005000E+06,25124.94
1761880594,292900.00,1.420713E+07,284142.06,26100.00,1.266000E+06,25319.95
1761880604,308626.00,1.729339E+07,288222.71,27500.00,1.541000E+06,25683.29
1761880614,301878.82,2.031218E+07,290173.58,26899.98,1.810000E+06,25857.11
1761880624,298493.18,2.329711E+07,291213.53,26600.02,2.076000E+06,25949.97
1761880634,296265.00,2.625976E+07,291774.80,26400.00,2.340000E+06,25999.97
1761880644,269336.95,2.895313E+07,289531.02,24000.00,2.580000E+06,25799.97
1761880654,270460.93,3.165774E+07,287797.38,24099.99,2.821000E+06,25645.43
1761880664,264839.12,3.430613E+07,285884.19,23600.01,3.057000E+06,25474.98
1761880674,272700.01,3.703313E+07,284870.02,24300.00,3.300000E+06,25384.60
1761880684,302999.86,4.006313E+07,286165.01,26999.99,3.570000E+06,25499.98
1761880694,307508.14,4.313821E+07,287587.88,27400.01,3.844000E+06,25626.65
1761880704,268191.92,4.582013E+07,286375.64,23899.99,4.083000E+06,25518.73
1761880714,269342.94,4.851356E+07,285373.71,23999.99,4.323000E+06,25429.40
1761880724,269344.14,5.120700E+07,284483.18,24000.01,4.563000E+06,25349.99
1761880734,270430.99,5.391131E+07,283743.59,24100.00,4.804000E+06,25284.20
1761880744,308625.86,5.699757E+07,284987.71,27499.99,5.079000E+06,25394.99
1761880754,314217.15,6.013974E+07,286379.58,28000.01,5.359000E+06,25519.04
1761880764,274938.92,6.288913E+07,285859.55,24499.99,5.604000E+06,25472.72
1761880774,267108.07,6.556021E+07,285044.27,23800.01,5.842000E+06,25399.99
1761880784,279410.01,6.835431E+07,284809.51,24900.00,6.091000E+06,25379.16
1761880794,278325.87,7.113757E+07,284550.17,24799.99,6.339000E+06,25355.99
1761880804,309742.98,7.423500E+07,285519.12,27600.00,6.615000E+06,25442.30
1761880814,319813.16,7.743313E+07,286789.27,28500.01,6.900000E+06,25555.55
1761880824,271581.00,8.014894E+07,286246.12,24200.00,7.142000E+06,25507.13
1761880834,268226.99,8.283121E+07,285624.77,23900.00,7.381000E+06,25451.72
1761880844,272699.88,8.555821E+07,285193.94,24299.99,7.624000E+06,25413.32
1761880854,273818.13,8.829639E+07,284826.98,24400.01,7.868000E+06,25380.64
1761880864,306355.01,9.135994E+07,285499.73,27300.00,8.141000E+06,25440.62
1761880874,320961.99,9.456956E+07,286574.34,28600.00,8.427000E+06,25536.36
1761880884,270462.00,9.727418E+07,286100.45,24100.00,8.668000E+06,25494.11
1761880894,267076.00,9.994494E+07,285556.89,23800.00,8.906000E+06,25445.71
1761880904,270462.00,1.026496E+08,285137.59,24100.00,9.147000E+06,25408.33
1761880914,280556.00,1.054551E+08,285013.76,25000.00,9.397000E+06,25397.29
1761880924,306361.99,1.085187E+08,285575.56,27300.00,9.670000E+06,25447.36
1761880934,319847.01,1.117172E+08,286454.31,28500.00,9.955000E+06,25525.63
1761880944,289510.00,1.146123E+08,286530.71,25800.00,1.021300E+07,25532.49
1761880954,267108.00,1.172834E+08,286056.98,23800.00,1.045100E+07,25490.24
1761880964,278292.01,1.200663E+08,285872.10,24800.00,1.069900E+07,25473.80
1761880974,287308.01,1.229394E+08,285905.49,25600.00,1.095500E+07,25476.74
1761880984,304117.99,1.259806E+08,286319.42,27100.00,1.122600E+07,25513.63
