Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761864533,292896.72,2.929000E+06,292896.72,26099.71,2.610000E+05,26099.71
1761864543,278294.01,5.711940E+06,285595.40,24800.00,5.090000E+05,25449.86
1761864553,280563.01,8.517570E+06,283917.95,25000.00,7.590000E+05,25299.91
1761864563,253616.99,1.105374E+07,276342.73,22600.00,9.850000E+05,24624.93
1761864573,276056.99,1.381431E+07,276285.58,24600.00,1.231000E+06,24619.94
1761864583,308626.01,1.690057E+07,281675.64,27500.00,1.506000E+06,25099.95
1761864593,302999.99,1.993057E+07,284721.97,27000.00,1.776000E+06,25371.39
1761864603,298500.85,2.291558E+07,286444.33,26599.99,2.042000E+06,25524.96
1761864613,295139.16,2.586697E+07,287410.42,26300.01,2.305000E+06,25611.08
1761864623,268216.00,2.854913E+07,285490.98,23900.00,2.544000E+06,25439.97
1761864633,257008.01,3.111921E+07,282901.62,22900.00,2.773000E+06,25209.07
1761864643,256972.99,3.368894E+07,280740.91,22900.00,3.002000E+06,25016.64
1761864653,265964.01,3.634858E+07,279604.22,23700.00,3.239000E+06,24915.36
1761864663,298516.00,3.933374E+07,280955.06,26600.00,3.505000E+06,25035.69
1761864673,302999.97,4.236374E+07,282424.72,27000.00,3.775000E+06,25166.65
1761864683,268226.02,4.504600E+07,281537.30,23900.00,4.014000E+06,25087.48
1761864693,254739.00,4.759339E+07,279960.93,22700.00,4.241000E+06,24947.04
1761864703,264834.99,5.024174E+07,279120.60,23600.00,4.477000E+06,24872.21
1761864713,286165.83,5.310340E+07,279491.41,25499.98,4.732000E+06,24905.25
1761864723,309734.20,5.620074E+07,281003.54,27600.02,5.008000E+06,25039.99
1761864733,326557.00,5.946631E+07,283172.75,29100.00,5.299000E+06,25233.32
1761864743,279443.00,6.226074E+07,283003.22,24900.00,5.548000E+06,25218.17
1761864753,268225.99,6.494300E+07,282360.73,23900.00,5.787000E+06,25160.86
1761864763,273821.00,6.768121E+07,282004.91,24400.00,6.031000E+06,25129.15
1761864773,270436.98,7.038558E+07,281542.19,24100.00,6.272000E+06,25087.99
1761864783,307499.03,7.346057E+07,282540.53,27400.00,6.546000E+06,25176.91
1761864793,306354.98,7.652412E+07,283422.55,27300.00,6.819000E+06,25255.55
1761864803,279444.88,7.931857E+07,283280.49,24899.99,7.068000E+06,25242.85
1761864813,271582.14,8.203439E+07,282877.10,24200.01,7.310000E+06,25206.89
1761864823,280560.98,8.484000E+07,282799.89,25000.00,7.560000E+06,25199.99
1761864833,309712.94,8.793713E+07,283668.06,27600.00,7.836000E+06,25277.41
1761864843,307508.06,9.101221E+07,284413.06,27400.01,8.110000E+06,25343.74
1761864853,313100.01,9.414321E+07,285282.36,27900.00,8.389000E+06,25421.20
