Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761866545,296255.51,2.962570E+06,296255.51,26399.87,2.640000E+05,26399.87
1761866555,294017.17,5.902740E+06,295136.34,26200.01,5.260000E+05,26299.94
1761866565,280565.00,8.708390E+06,290279.23,25000.00,7.760000E+05,25866.63
1761866575,297374.00,1.168213E+07,292052.92,26500.00,1.041000E+06,26024.97
1761866585,305245.00,1.473458E+07,294691.34,27200.00,1.313000E+06,26259.98
1761866595,316480.98,1.789939E+07,298322.94,28200.00,1.595000E+06,26583.31
1761866605,303000.01,2.092939E+07,298991.09,27000.00,1.865000E+06,26642.84
1761866615,295134.99,2.388074E+07,298509.08,26300.00,2.128000E+06,26599.98
1761866625,274939.01,2.663013E+07,295890.19,24500.00,2.373000E+06,26366.65
1761866635,253617.99,2.916631E+07,291662.97,22600.00,2.599000E+06,25989.99
1761866645,262599.90,3.179231E+07,289020.87,23399.99,2.833000E+06,25754.53
1761866655,343400.15,3.522631E+07,293552.47,30600.01,3.139000E+06,26158.32
1761866665,314226.99,3.836858E+07,295142.82,28000.00,3.419000E+06,26299.99
1761866675,292899.99,4.129758E+07,294982.62,26100.00,3.680000E+06,26285.71
1761866685,281673.01,4.411431E+07,294095.31,25100.00,3.931000E+06,26206.66
1761866695,267107.99,4.678539E+07,292408.60,23800.00,4.169000E+06,26056.24
1761866705,282802.02,4.961341E+07,291843.51,25200.00,4.421000E+06,26005.88
1761866715,314216.00,5.275557E+07,293086.43,28000.00,4.701000E+06,26116.66
1761866725,313099.97,5.588657E+07,294139.77,27900.00,4.980000E+06,26210.52
1761866735,297374.05,5.886031E+07,294301.48,26500.00,5.245000E+06,26224.99
1761866745,276086.97,6.162118E+07,293434.13,24600.00,5.491000E+06,26147.61
1761866755,277176.02,6.439294E+07,292695.12,24700.00,5.738000E+06,26081.81
1761866765,267105.99,6.706400E+07,291582.55,23800.00,5.976000E+06,25982.60
1761866775,323199.86,7.029600E+07,292899.94,28799.99,6.264000E+06,26099.99
1761866785,332173.12,7.361773E+07,294470.87,29600.01,6.560000E+06,26240.00
1761866795,298503.04,7.660276E+07,294625.95,26600.00,6.826000E+06,26253.84
1761866805,277181.94,7.937458E+07,293979.87,24699.99,7.073000E+06,26196.29
1761866815,274963.03,8.212421E+07,293300.70,24500.00,7.318000E+06,26135.71
1761866825,264836.03,8.477257E+07,292319.16,23600.00,7.554000E+06,26048.27
1761866835,288400.99,8.765658E+07,292188.56,25700.00,7.811000E+06,26036.66
1761866845,309735.98,9.075394E+07,292754.60,27600.00,8.087000E+06,26087.09
1761866855,301880.00,9.377274E+07,293039.77,26900.00,8.356000E+06,26112.50
1761866865,294019.99,9.671294E+07,293069.47,26200.00,8.618000E+06,26115.15
1761866875,270463.01,9.941757E+07,292404.58,24100.00,8.859000E+06,26055.88
1761866885,288401.01,1.023016E+08,292290.19,25700.00,9.116000E+06,26045.71
1761866895,323200.00,1.055336E+08,293148.80,28800.00,9.404000E+06,26122.22
1761866905,326581.00,1.087994E+08,294052.37,29100.00,9.695000E+06,26202.70
1761866915,305237.99,1.118518E+08,294346.73,27200.00,9.967000E+06,26228.94
1761866925,282797.01,1.146797E+08,294050.58,25200.00,1.021900E+07,26202.56
1761866935,278304.97,1.174628E+08,293656.94,24800.00,1.046700E+07,26167.50
1761866945,276078.03,1.202236E+08,293228.19,24600.00,1.071300E+07,26129.27
1761866955,274937.01,1.229729E+08,292792.68,24500.00,1.095800E+07,26090.47
1761866965,299644.99,1.259694E+08,292952.04,26700.00,1.122500E+07,26104.65
1761866975,307474.01,1.290441E+08,293282.08,27400.00,1.149900E+07,26134.09
