Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761868523,294020.40,2.940210E+06,294020.40,26199.95,2.620000E+05,26199.95
1761868533,287272.99,5.812940E+06,290646.70,25600.00,5.180000E+05,25899.97
1761868543,269345.01,8.506390E+06,283546.14,24000.00,7.580000E+05,25266.65
1761868553,263718.00,1.114357E+07,278589.11,23500.00,9.930000E+05,24824.99
1761868563,290663.99,1.405021E+07,281004.08,25900.00,1.252000E+06,25039.99
1761868573,314217.81,1.719239E+07,286539.70,27999.98,1.532000E+06,25533.32
1761868583,289519.18,2.008758E+07,286965.34,25800.02,1.790000E+06,25571.42
1761868593,307499.01,2.316257E+07,289532.05,27400.00,2.064000E+06,25799.99
1761868603,295136.99,2.611394E+07,290154.82,26300.00,2.327000E+06,25855.55
1761868613,261479.97,2.872874E+07,287287.34,23300.00,2.560000E+06,25599.99
1761868623,258126.04,3.131000E+07,284636.31,23000.00,2.790000E+06,25363.63
1761868633,255856.99,3.386857E+07,282238.03,22800.00,3.018000E+06,25150.00
1761868643,278301.00,3.665158E+07,281935.19,24800.00,3.266000E+06,25123.07
1761868653,295163.00,3.960321E+07,282880.03,26300.00,3.529000E+06,25207.14
1761868663,313100.00,4.273421E+07,284894.69,27900.00,3.808000E+06,25386.66
