Current status: 
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761870559,300729.87,3.007310E+06,300729.87,26799.90,2.680000E+05,26799.90
1761870569,302999.92,6.037310E+06,301864.89,26999.99,5.380000E+05,26899.95
1761870579,294027.05,8.977580E+06,299252.28,26200.00,8.000000E+05,26666.63
1761870589,268216.02,1.165974E+07,291493.22,23900.00,1.039000E+06,25974.98
1761870599,248026.00,1.414000E+07,282799.79,22100.00,1.260000E+06,25199.98
1761870609,272700.00,1.686700E+07,281116.49,24300.00,1.503000E+06,25049.98
1761870619,301857.99,1.988558E+07,284079.56,26900.00,1.772000E+06,25314.27
1761870629,309735.02,2.298293E+07,287286.49,27600.00,2.048000E+06,25599.99
1761870639,311980.82,2.610274E+07,290030.31,27799.98,2.326000E+06,25844.43
1761870649,301883.18,2.912157E+07,291215.59,26900.02,2.595000E+06,25949.99
1761870659,288400.99,3.200558E+07,290959.72,25700.00,2.852000E+06,25927.26
1761870669,265981.00,3.466539E+07,288878.16,23700.00,3.089000E+06,25741.66
1761870679,265954.99,3.732494E+07,287114.84,23700.00,3.326000E+06,25584.61
1761870689,265964.01,3.998458E+07,285604.07,23700.00,3.563000E+06,25449.99
1761870699,301873.00,4.300331E+07,286688.66,26900.00,3.832000E+06,25546.66
1761870709,315344.97,4.615676E+07,288479.68,28100.00,4.113000E+06,25706.24
1761870719,282824.02,4.898500E+07,288146.99,25200.00,4.365000E+06,25676.46
1761870729,276057.00,5.174557E+07,287475.33,24600.00,4.611000E+06,25616.66
1761870739,278301.01,5.452858E+07,286992.47,24800.00,4.859000E+06,25573.68
1761870749,261473.00,5.714331E+07,285716.50,23300.00,5.092000E+06,25460.00
1761870759,311980.99,6.026312E+07,286967.19,27800.00,5.370000E+06,25571.42
1761870769,310862.00,6.337174E+07,288053.31,27700.00,5.647000E+06,25668.18
1761870779,298526.01,6.635700E+07,288508.65,26600.00,5.913000E+06,25708.69
1761870789,273818.00,6.909518E+07,287896.54,24400.00,6.157000E+06,25654.16
1761870799,276055.99,7.185574E+07,287422.92,24600.00,6.403000E+06,25612.00
1761870809,264839.00,7.450413E+07,286554.30,23600.00,6.639000E+06,25534.61
1761870819,300761.01,7.751174E+07,287080.48,26800.00,6.907000E+06,25581.48
1761870829,322083.01,8.073257E+07,288330.57,28700.00,7.194000E+06,25692.85
1761870839,283916.98,8.357174E+07,288178.38,25300.00,7.447000E+06,25679.31
1761870849,270465.01,8.627639E+07,287587.93,24100.00,7.688000E+06,25626.66
1761870859,271582.00,8.899221E+07,287071.61,24200.00,7.930000E+06,25580.64
1761870869,280537.00,9.179758E+07,286867.40,25000.00,8.180000E+06,25562.50
1761870879,309735.86,9.489494E+07,287560.39,27599.99,8.456000E+06,25624.24
1761870889,313100.13,9.802594E+07,288311.56,27900.01,8.735000E+06,25691.17
1761870899,291780.02,1.009437E+08,288410.65,26000.00,8.995000E+06,25700.00
1761870909,269347.01,1.036372E+08,287881.11,24000.00,9.235000E+06,25652.78
1761870919,272699.97,1.063642E+08,287470.81,24300.00,9.478000E+06,25616.21
1761870929,268191.87,1.090461E+08,286963.47,23899.99,9.717000E+06,25571.05
1761870939,280561.15,1.118517E+08,286799.31,25000.01,9.967000E+06,25556.41
1761870949,318705.00,1.150388E+08,287596.95,28400.00,1.025100E+07,25627.50
1761870959,290651.98,1.179453E+08,287671.46,25900.00,1.051000E+07,25634.14
1761870969,272700.02,1.206723E+08,287315.00,24300.00,1.075300E+07,25602.38
