Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761874548,297367.25,2.973740E+06,297367.25,26499.40,2.650000E+05,26499.40
1761874558,295138.99,5.925130E+06,296253.13,26300.00,5.280000E+05,26399.70
1761874568,295145.02,8.876580E+06,295883.77,26300.00,7.910000E+05,26366.47
1761874578,268215.96,1.155874E+07,288966.85,23900.00,1.030000E+06,25749.85
1761874588,243520.02,1.399394E+07,279877.53,21700.00,1.247000E+06,24939.89
1761874598,252499.99,1.651894E+07,275314.62,22500.00,1.472000E+06,24533.24
1761874608,317605.86,1.969500E+07,281356.21,28299.99,1.755000E+06,25071.35
1761874618,292900.14,2.262400E+07,282799.20,26100.01,2.016000E+06,25199.93
1761874628,295138.95,2.557539E+07,284170.28,26300.00,2.279000E+06,25322.16
1761874638,299634.07,2.857173E+07,285716.65,26700.01,2.546000E+06,25459.94
1761874648,282784.99,3.139958E+07,285450.14,25200.00,2.798000E+06,25436.31
1761874658,270455.01,3.410413E+07,284200.55,24100.00,3.039000E+06,25324.95
1761874668,259245.87,3.669659E+07,282280.96,23099.99,3.270000E+06,25153.80
1761874678,263715.12,3.933374E+07,280954.83,23500.01,3.505000E+06,25035.67
1761874688,307483.86,4.240858E+07,282723.43,27399.99,3.779000E+06,25193.29
