Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761878571,292891.76,2.929000E+06,292891.76,26099.27,2.610000E+05,26099.27
1761878581,299613.00,5.925130E+06,296252.33,26700.00,5.280000E+05,26399.63
1761878591,313100.01,9.056130E+06,301868.17,27900.00,8.070000E+05,26899.75
1761878601,294018.00,1.199631E+07,299905.64,26200.00,1.069000E+06,26724.81
1761878611,258125.90,1.457757E+07,291549.74,22999.99,1.299000E+06,25979.85
1761878621,249142.99,1.706900E+07,284481.98,22200.00,1.521000E+06,25349.88
1761878631,297373.94,2.004274E+07,286323.68,26499.99,1.786000E+06,25514.18
1761878641,317584.19,2.321858E+07,290231.23,28300.02,2.069000E+06,25862.41
1761878651,310855.00,2.632713E+07,292522.75,27700.00,2.346000E+06,26066.59
1761878661,314227.00,2.946940E+07,294693.17,28000.00,2.626000E+06,26259.93
1761878671,322073.00,3.269013E+07,297182.24,28700.00,2.913000E+06,26481.75
1761878681,279444.01,3.548457E+07,295704.06,24900.00,3.162000E+06,26349.94
1761878691,285037.00,3.833494E+07,294883.52,25400.00,3.416000E+06,26276.87
1761878701,271579.97,4.105074E+07,293218.98,24200.00,3.658000E+06,26128.52
1761878711,272700.00,4.377774E+07,291851.05,24300.00,3.901000E+06,26006.62
1761878721,304120.01,4.681894E+07,292617.86,27100.00,4.172000E+06,26074.95
1761878731,307506.02,4.989400E+07,293493.63,27400.00,4.446000E+06,26152.90
1761878741,281651.88,5.271052E+07,292835.76,25099.99,4.697000E+06,26094.40
1761878751,277205.11,5.548257E+07,292013.09,24700.01,4.944000E+06,26021.01
1761878761,276055.01,5.824312E+07,291215.19,24600.00,5.190000E+06,25949.96
1761878771,280563.99,6.104876E+07,290707.99,25000.00,5.440000E+06,25904.73
1761878781,325436.99,6.430313E+07,292286.58,29000.00,5.730000E+06,26045.42
1761878791,311980.90,6.742294E+07,293142.85,27799.99,6.008000E+06,26121.71
1761878801,292900.11,7.035194E+07,293132.74,26100.01,6.269000E+06,26120.80
1761878811,280563.00,7.315757E+07,292629.95,25000.00,6.519000E+06,26075.97
1761878821,269342.99,7.585100E+07,291734.30,24000.00,6.759000E+06,25996.13
1761878831,278293.01,7.863393E+07,291236.47,24800.00,7.007000E+06,25951.82
1761878841,328827.92,8.192221E+07,292579.03,29299.99,7.300000E+06,26071.40
1761878851,316453.07,8.508674E+07,293402.27,28200.01,7.582000E+06,26144.80
1761878861,287284.00,8.795958E+07,293198.33,25600.00,7.838000E+06,26126.64
1761878871,281673.00,9.077631E+07,292826.54,25100.00,8.089000E+06,26093.52
1761878881,274948.00,9.352579E+07,292267.84,24500.00,8.334000E+06,26043.73
1761878891,291779.00,9.644358E+07,292253.02,26000.00,8.594000E+06,26042.40
1761878901,327698.99,9.972057E+07,293295.55,29200.00,8.886000E+06,26135.27
1761878911,318700.99,1.029076E+08,294021.42,28400.00,9.170000E+06,26199.98
1761878921,290655.02,1.058141E+08,293927.91,25900.00,9.429000E+06,26191.65
1761878931,290660.99,1.087207E+08,293839.61,25900.00,9.688000E+06,26183.76
1761878941,264839.00,1.113691E+08,293076.44,23600.00,9.924000E+06,26115.77
1761878951,298526.00,1.143544E+08,293216.17,26600.00,1.019000E+07,26128.19
1761878961,324318.00,1.175976E+08,293993.72,28900.00,1.047900E+07,26197.48
1761878971,318724.99,1.207848E+08,294596.92,28400.00,1.076300E+07,26251.20
1761878981,280531.01,1.235901E+08,294262.02,25000.00,1.101300E+07,26221.41
1761878991,280561.00,1.263957E+08,293943.39,25000.00,1.126300E+07,26193.01
1761879001,277208.00,1.291678E+08,293563.04,24700.00,1.151000E+07,26159.07
1761879011,276057.00,1.319284E+08,293174.02,24600.00,1.175600E+07,26124.43
1761879021,280540.00,1.347338E+08,292899.36,25000.00,1.200600E+07,26099.98
1761879031,306378.00,1.377976E+08,293186.14,27300.00,1.227900E+07,26125.52
1761879041,279443.00,1.405920E+08,292899.83,24900.00,1.252800E+07,26099.98
1761879051,286156.00,1.434536E+08,292762.20,25500.00,1.278300E+07,26087.74
1761879061,313101.01,1.465846E+08,293168.98,27900.00,1.306200E+07,26123.99
1761879071,310863.98,1.496932E+08,293515.94,27700.00,1.333900E+07,26154.89
1761879081,325435.01,1.529476E+08,294129.76,29000.00,1.362900E+07,26209.60
1761879091,306356.99,1.560111E+08,294360.47,27300.00,1.390200E+07,26230.17
1761879101,289543.99,1.589066E+08,294271.27,25800.00,1.416000E+07,26222.21
1761879111,274936.90,1.616559E+08,293919.74,24499.99,1.440500E+07,26190.90
1761879121,274937.02,1.644053E+08,293580.76,24500.00,1.465000E+07,26160.70
1761879131,271582.08,1.671211E+08,293194.82,24200.01,1.489200E+07,26126.30
1761879141,279444.01,1.699156E+08,292957.74,24900.00,1.514100E+07,26105.16
1761879151,314217.01,1.730577E+08,293318.06,28000.00,1.542100E+07,26137.28
1761879161,290664.89,1.759644E+08,293273.84,25899.99,1.568000E+07,26133.32
1761879171,288391.99,1.788483E+08,293193.81,25700.00,1.593700E+07,26126.22
1761879181,299643.11,1.818447E+08,293297.83,26700.01,1.620400E+07,26135.47
1761879191,311983.00,1.849646E+08,293594.42,27800.00,1.648200E+07,26161.89
1761879201,316455.98,1.881291E+08,293951.64,28200.00,1.676400E+07,26193.74
1761879211,319844.04,1.913276E+08,294349.98,28500.00,1.704900E+07,26229.22
1761879221,288415.98,1.942117E+08,294260.07,25700.00,1.730600E+07,26221.20
1761879231,279420.89,1.970059E+08,294038.59,24899.99,1.755500E+07,26201.48
1761879241,283919.11,1.998451E+08,293889.78,25300.01,1.780800E+07,26188.22
1761879251,290660.99,2.027517E+08,293842.98,25900.00,1.806700E+07,26184.05
1761879261,315339.01,2.059051E+08,294150.07,28100.00,1.834800E+07,26211.42
1761879271,310860.99,2.090137E+08,294385.43,27700.00,1.862500E+07,26232.38
1761879281,291782.85,2.119316E+08,294349.29,25999.99,1.888500E+07,26229.16
1761879291,274937.14,2.146809E+08,294083.37,24500.01,1.913000E+07,26205.47
1761879301,276064.01,2.174416E+08,293839.86,24600.00,1.937600E+07,26183.77
1761879311,276081.00,2.202024E+08,293603.08,24600.00,1.962200E+07,26162.66
1761879321,272699.99,2.229294E+08,293328.04,24300.00,1.986500E+07,26138.15
1761879331,273818.02,2.256676E+08,293074.66,24400.00,2.010900E+07,26115.57
1761879341,274936.98,2.284169E+08,292842.13,24500.00,2.035400E+07,26094.86
1761879351,290663.03,2.313236E+08,292814.54,25900.00,2.061300E+07,26092.40
1761879361,318700.98,2.345106E+08,293138.12,28400.00,2.089700E+07,26121.24
1761879371,315363.02,2.376642E+08,293412.50,28100.00,2.117800E+07,26145.67
1761879381,314216.99,2.408064E+08,293666.22,28000.00,2.145800E+07,26168.28
1761879391,315335.99,2.439597E+08,293927.30,28100.00,2.173900E+07,26191.56
1761879401,296257.02,2.469223E+08,293955.03,26400.00,2.200300E+07,26194.04
1761879411,283926.98,2.497616E+08,293837.06,25300.00,2.225600E+07,26183.52
1761879421,279436.01,2.525559E+08,293669.60,24900.00,2.250500E+07,26168.60
1761879431,325437.01,2.558103E+08,294034.74,29000.00,2.279500E+07,26201.14
1761879441,329942.99,2.591097E+08,294442.79,29400.00,2.308900E+07,26237.49
1761879451,322083.00,2.623306E+08,294753.36,28700.00,2.337600E+07,26265.16
1761879461,294017.00,2.652707E+08,294745.17,26200.00,2.363800E+07,26264.44
1761879471,271583.00,2.679866E+08,294490.65,24200.00,2.388000E+07,26241.75
1761879481,271582.00,2.707024E+08,294241.64,24200.00,2.412200E+07,26219.56
1761879491,281682.00,2.735192E+08,294106.59,25100.00,2.437300E+07,26207.52
1761879501,311979.00,2.766390E+08,294296.72,27800.00,2.465100E+07,26224.46
1761879511,313100.00,2.797700E+08,294494.65,27900.00,2.493000E+07,26242.10
1761879521,289513.01,2.826651E+08,294442.76,25800.00,2.518800E+07,26237.49
1761879531,286186.98,2.855270E+08,294357.65,25500.00,2.544300E+07,26229.89
1761879541,268192.01,2.882089E+08,294090.65,23900.00,2.568200E+07,26206.11
1761879551,287308.00,2.910820E+08,294022.14,25600.00,2.593800E+07,26199.99
1761879561,309712.99,2.941791E+08,294179.05,27600.00,2.621400E+07,26213.99
1761879571,315360.01,2.973327E+08,294388.76,28100.00,2.649500E+07,26232.67
1761879581,282784.99,3.001606E+08,294275.00,25200.00,2.674700E+07,26222.54
1761879591,285063.00,3.030112E+08,294185.56,25400.00,2.700100E+07,26214.56
1761879601,314218.00,3.061534E+08,294378.18,28000.00,2.728100E+07,26231.72
1761879611,332181.99,3.094752E+08,294738.22,29600.00,2.757700E+07,26263.80
1761879621,318692.01,3.126621E+08,294964.20,28400.00,2.786100E+07,26283.96
