Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761971074,388264.49,3.882740E+06,388264.49,34599.15,3.460000E+05,34599.15
1761971084,401765.02,7.900390E+06,395014.67,35800.00,7.040000E+05,35199.57
1761971094,357973.99,1.148013E+07,382667.88,31900.00,1.023000E+06,34099.72
1761971104,347904.96,1.495918E+07,373977.20,31000.00,1.333000E+06,33324.79
1761971114,396138.81,1.892057E+07,378409.50,35299.98,1.686000E+06,33719.83
1761971124,402882.20,2.294939E+07,382488.27,35900.02,2.045000E+06,34083.19
1761971134,396135.05,2.691074E+07,384437.80,35300.00,2.398000E+06,34257.02
1761971144,399525.98,3.090600E+07,386323.82,35600.00,2.754000E+06,34424.89
1761971154,412958.03,3.503558E+07,389283.16,36800.00,3.122000E+06,34688.79
1761971164,391655.99,3.895214E+07,389520.45,34900.00,3.471000E+06,34709.92
1761971174,369225.01,4.264439E+07,387675.41,32900.00,3.800000E+06,34545.38
1761971184,348992.01,4.613431E+07,384451.80,31100.00,4.111000E+06,34258.26
1761971194,353499.97,4.966931E+07,382070.90,31500.00,4.426000E+06,34046.09
1761971204,427589.89,5.394521E+07,385322.25,38099.99,4.807000E+06,34335.65
1761971214,412979.10,5.807500E+07,387166.03,36800.01,5.175000E+06,34499.94
1761971224,398374.01,6.205874E+07,387866.53,35500.00,5.530000E+06,34562.45
1761971234,364720.01,6.570594E+07,386504.97,32500.00,5.855000E+06,34441.13
1761971244,346763.98,6.917358E+07,384297.14,30900.00,6.164000E+06,34244.40
1761971254,372573.01,7.289931E+07,383680.08,33200.00,6.496000E+06,34189.43
1761971264,414100.00,7.704031E+07,385201.08,36900.00,6.865000E+06,34324.96
