Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761972635,407354.47,4.073560E+06,407354.47,36299.86,3.630000E+05,36299.86
1761972645,363600.99,7.709570E+06,385477.77,32400.00,6.870000E+05,34349.93
1761972655,389392.03,1.160349E+07,386782.52,34700.00,1.034000E+06,34466.62
1761972665,363608.98,1.523958E+07,380989.14,32400.00,1.358000E+06,33949.97
1761972675,400635.00,1.924593E+07,384918.31,35700.00,1.715000E+06,34299.97
1761972685,402880.99,2.327474E+07,387912.09,35900.00,2.074000E+06,34566.64
1761972695,405119.82,2.732594E+07,390370.33,36099.98,2.435000E+06,34785.69
1761972705,409627.17,3.142221E+07,392777.44,36500.02,2.800000E+06,34999.98
1761972715,401737.02,3.543958E+07,393772.94,35800.00,3.158000E+06,35088.87
1761972725,368099.00,3.912057E+07,391205.55,32800.00,3.486000E+06,34859.99
1761972735,369201.01,4.281258E+07,389205.14,32900.00,3.815000E+06,34681.81
1761972745,371454.99,4.652713E+07,387725.96,33100.00,4.146000E+06,34549.99
1761972755,409626.00,5.062339E+07,389410.58,36500.00,4.511000E+06,34699.99
1761972765,407355.00,5.469694E+07,390692.32,36300.00,4.874000E+06,34814.28
1761972775,407364.00,5.877058E+07,391803.77,36300.00,5.237000E+06,34913.32
1761972785,359116.00,6.236174E+07,389760.78,32000.00,5.557000E+06,34731.24
1761972795,357998.93,6.594173E+07,387892.44,31899.99,5.876000E+06,34564.70
1761972805,392758.07,6.986931E+07,388162.75,35000.01,6.226000E+06,34588.88
1761972815,416369.00,7.403300E+07,389647.29,37100.00,6.597000E+06,34721.05
1761972825,414100.01,7.817400E+07,390869.93,36900.00,6.966000E+06,34829.99
1761972835,407356.87,8.224757E+07,391655.02,36299.99,7.329000E+06,34899.99
1761972845,369200.92,8.593958E+07,390634.38,32899.99,7.658000E+06,34809.08
1761972855,360235.16,8.954193E+07,389312.67,32100.01,7.979000E+06,34691.30
1761972865,360246.02,9.314439E+07,388101.56,32100.00,8.300000E+06,34583.33
1761972875,412982.02,9.727421E+07,389096.78,36800.00,8.668000E+06,34671.99
1761972885,415217.97,1.014264E+08,390101.44,37000.00,9.038000E+06,34761.53
