Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761977192,403993.27,4.040000E+06,403993.27,35999.40,3.600000E+05,35999.40
1761977202,412957.82,8.169580E+06,408475.51,36799.98,7.280000E+05,36399.69
1761977212,404015.18,1.220973E+07,406988.74,36000.02,1.088000E+06,36266.47
1761977222,356865.84,1.577839E+07,394458.06,31799.99,1.406000E+06,35149.85
1761977232,351237.13,1.929076E+07,385813.91,31300.01,1.719000E+06,34379.89
1761977242,407381.04,2.336457E+07,389408.42,36300.00,2.082000E+06,34699.90
1761977252,407355.99,2.743813E+07,391972.35,36300.00,2.445000E+06,34928.49
1761977262,399526.00,3.143339E+07,392916.56,35600.00,2.801000E+06,35012.43
1761977272,443281.99,3.586621E+07,398512.71,39500.00,3.196000E+06,35511.05
1761977282,417452.83,4.004074E+07,400406.72,37199.98,3.568000E+06,35679.94
1761977292,381565.15,4.385639E+07,398693.85,34000.01,3.908000E+06,35527.22
1761977302,377055.02,4.762694E+07,396890.62,33600.00,4.244000E+06,35366.62
1761977312,358006.01,5.120700E+07,393899.50,31900.00,4.563000E+06,35099.96
1761977322,435420.99,5.556121E+07,396865.31,38800.00,4.951000E+06,35364.24
1761977332,439891.97,5.996013E+07,399733.75,39200.00,5.343000E+06,35619.96
1761977342,416344.26,6.412358E+07,400771.91,37099.93,5.714000E+06,35712.46
1761977352,398399.74,6.810757E+07,400632.37,35500.07,6.069000E+06,35699.97
1761977362,365837.01,7.176594E+07,398699.30,32600.00,6.395000E+06,35527.74
