Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761980224,402856.46,4.028580E+06,402856.46,35899.86,3.590000E+05,35899.86
1761980234,411854.98,8.147130E+06,407355.72,36700.00,7.260000E+05,36299.93
1761980244,393900.00,1.208613E+07,402870.48,35100.00,1.077000E+06,35899.95
1761980254,358008.01,1.566621E+07,391654.87,31900.00,1.396000E+06,34899.97
1761980264,353500.01,1.920121E+07,384023.91,31500.00,1.711000E+06,34219.97
1761980274,398372.99,2.318494E+07,386415.42,35500.00,2.066000E+06,34433.31
1761980284,403999.01,2.722493E+07,388927.36,36000.00,2.426000E+06,34657.12
1761980294,409628.00,3.132121E+07,391514.94,36500.00,2.791000E+06,34887.48
1761980304,423078.99,3.555200E+07,395022.05,37700.00,3.168000E+06,35199.99
1761980314,415220.98,3.970421E+07,397041.95,37000.00,3.538000E+06,35379.99
1761980324,388271.00,4.358692E+07,396244.59,34600.00,3.884000E+06,35309.08
1761980334,368108.00,4.726800E+07,393899.87,32800.00,4.212000E+06,35099.99
1761980344,359094.01,5.085894E+07,391222.50,32000.00,4.532000E+06,34861.53
1761980354,398406.01,5.484300E+07,391735.61,35500.00,4.887000E+06,34907.13
1761980364,430912.99,5.915213E+07,394347.43,38400.00,5.271000E+06,35139.99
1761980374,406259.99,6.321473E+07,395091.97,36200.00,5.633000E+06,35206.24
1761980384,403984.98,6.725458E+07,395615.09,36000.00,5.993000E+06,35252.93
1761980394,355763.02,7.081221E+07,393401.08,31700.00,6.310000E+06,35055.55
1761980404,366956.00,7.448177E+07,392009.24,32700.00,6.637000E+06,34931.57
1761980414,435416.99,7.883594E+07,394179.62,38800.00,7.025000E+06,35124.99
1761980424,430945.02,8.314539E+07,395930.36,38400.00,7.409000E+06,35280.95
1761980434,426435.00,8.740974E+07,397316.93,38000.00,7.789000E+06,35404.54
1761980444,379325.79,9.120300E+07,396534.71,33799.98,8.127000E+06,35334.78
1761980454,369194.21,9.489494E+07,395395.52,32900.02,8.456000E+06,35233.33
1761980464,375937.00,9.865431E+07,394617.18,33500.00,8.791000E+06,35163.99
1761980474,396168.97,1.026160E+08,394676.86,35300.00,9.144000E+06,35169.23
1761980484,421931.04,1.068353E+08,395686.28,37600.00,9.520000E+06,35259.25
1761980494,417489.98,1.110102E+08,396464.98,37200.00,9.892000E+06,35328.57
1761980504,406236.03,1.150726E+08,396801.91,36200.00,1.025400E+07,35358.62
1761980514,379300.99,1.188656E+08,396218.55,33800.00,1.059200E+07,35306.66
1761980524,372572.99,1.225913E+08,395455.79,33200.00,1.092400E+07,35238.71
1761980534,397289.99,1.265642E+08,395513.11,35400.00,1.127800E+07,35243.75
1761980544,429792.02,1.308621E+08,396551.86,38300.00,1.166100E+07,35336.36
1761980554,430943.94,1.351716E+08,397563.40,38399.99,1.204500E+07,35426.47
1761980564,387156.05,1.390431E+08,397266.04,34500.00,1.239000E+07,35400.00
1761980574,382680.99,1.428699E+08,396860.90,34100.00,1.273100E+07,35363.89
1761980584,378206.01,1.466520E+08,396356.72,33700.00,1.306800E+07,35318.92
1761980594,404000.00,1.506920E+08,396557.86,36000.00,1.342800E+07,35336.84
1761980604,412957.99,1.548216E+08,396978.37,36800.00,1.379600E+07,35374.36
1761980614,428698.99,1.591086E+08,397771.39,38200.00,1.417800E+07,35445.00
1761980624,399501.00,1.631036E+08,397813.57,35600.00,1.453400E+07,35448.78
