Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761983244,406236.40,4.062380E+06,406236.40,36199.86,3.620000E+05,36199.86
1761983254,405119.02,8.113570E+06,405677.71,36100.00,7.230000E+05,36149.93
1761983264,398374.01,1.209731E+07,403243.15,35500.00,1.078000E+06,35933.29
1761983274,355769.00,1.565500E+07,391374.62,31700.00,1.395000E+06,34874.97
1761983284,342251.96,1.907752E+07,381550.10,30500.00,1.700000E+06,33999.97
1761983294,396169.03,2.303921E+07,383986.59,35300.00,2.053000E+06,34216.64
1761983304,408471.00,2.712392E+07,387484.36,36400.00,2.417000E+06,34528.55
1761983314,407365.78,3.119758E+07,389969.54,36299.98,2.780000E+06,34749.98
1761983324,426463.22,3.546221E+07,394024.39,38000.02,3.160000E+06,35111.10
1761983334,416335.79,3.962557E+07,396255.53,37099.98,3.531000E+06,35309.98
1761983344,373700.19,4.336257E+07,394205.04,33300.02,3.864000E+06,35127.26
1761983354,359100.80,4.695358E+07,391279.69,31999.98,4.184000E+06,34866.65
1761983364,369216.20,5.064574E+07,389582.50,32900.02,4.513000E+06,34715.37
1761983374,412983.00,5.477557E+07,391253.96,36800.00,4.881000E+06,34864.28
1761983384,423081.80,5.900639E+07,393375.82,37699.98,5.258000E+06,35053.32
1761983394,432040.18,6.332679E+07,395792.34,38500.02,5.643000E+06,35268.74
1761983404,384942.03,6.717621E+07,395154.09,34300.00,5.986000E+06,35211.76
1761983414,379291.99,7.096913E+07,394272.86,33800.00,6.324000E+06,35133.33
1761983424,372580.97,7.469494E+07,393131.18,33200.00,6.656000E+06,35031.57
1761983434,423079.79,7.892574E+07,394628.61,37699.98,7.033000E+06,35164.99
1761983444,420847.24,8.313421E+07,395877.12,37500.02,7.408000E+06,35276.18
