Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761997274,497127.72,4.971390E+06,497127.72,44298.99,4.430000E+05,44298.99
1761997284,498255.00,9.953940E+06,497691.35,44400.00,8.870000E+05,44349.50
1761997294,491544.85,1.486939E+07,495642.53,43799.99,1.325000E+06,44166.33
1761997304,493782.17,1.980721E+07,495177.45,44000.02,1.765000E+06,44124.75
1761997314,435417.98,2.416139E+07,483225.61,38800.00,2.153000E+06,43059.80
1761997324,438773.84,2.854913E+07,475817.01,39099.99,2.544000E+06,42399.84
1761997334,507245.19,3.362158E+07,480306.73,45200.02,2.996000E+06,42799.86
1761997344,521836.01,3.883994E+07,485497.87,46500.00,3.461000E+06,43262.38
1761997354,522963.00,4.406957E+07,489660.66,46600.00,3.927000E+06,43633.22
1761997364,512863.98,4.919821E+07,491980.98,45700.00,4.384000E+06,43839.90
1761997374,519573.01,5.439394E+07,494489.34,46300.00,4.847000E+06,44063.55
1761997384,494899.97,5.934294E+07,494523.56,44100.00,5.288000E+06,44066.58
1761997394,485919.06,6.420213E+07,493861.68,43300.01,5.721000E+06,44007.62
1761997404,463480.97,6.883694E+07,491691.63,41300.00,6.134000E+06,43814.21
1761997414,507236.98,7.390931E+07,492727.99,45200.00,6.586000E+06,43906.60
1761997424,515099.78,7.906031E+07,494126.22,45899.98,7.045000E+06,44031.19
1761997434,520726.24,8.426757E+07,495690.93,46400.02,7.509000E+06,44170.53
1761997444,503882.01,8.930639E+07,496145.99,44900.00,7.958000E+06,44211.06
1761997454,480291.98,9.410931E+07,495311.57,42800.00,8.386000E+06,44136.79
1761997464,490426.01,9.901357E+07,495067.29,43700.00,8.823000E+06,44114.95
1761997474,515099.01,1.041646E+08,496021.18,45900.00,9.282000E+06,44199.95
1761997484,534183.00,1.095064E+08,497755.81,47600.00,9.758000E+06,44354.50
1761997494,522961.00,1.147360E+08,498851.68,46600.00,1.022400E+07,44452.13
1761997504,488156.99,1.196176E+08,498406.07,43500.00,1.065900E+07,44412.46
1761997514,480301.00,1.244206E+08,497681.87,42800.00,1.108700E+07,44347.96
1761997524,459000.62,1.290106E+08,496194.13,40899.97,1.149600E+07,44215.34
1761997534,509472.41,1.341053E+08,496685.92,45400.04,1.195000E+07,44259.22
1761997544,516226.72,1.392676E+08,497383.80,45999.98,1.241000E+07,44321.39
1761997554,521836.30,1.444859E+08,498226.99,46500.03,1.287500E+07,44396.52
1761997564,510626.97,1.495922E+08,498640.32,45500.00,1.333000E+07,44433.30
1761997574,460092.04,1.541931E+08,497396.83,41000.00,1.374000E+07,44322.55
1761997584,478086.99,1.589740E+08,496793.40,42600.00,1.416600E+07,44268.72
1761997594,488156.98,1.638556E+08,496531.69,43500.00,1.460100E+07,44245.42
1761997604,537537.00,1.692309E+08,497737.73,47900.00,1.508000E+07,44352.91
1761997614,534179.70,1.745727E+08,498778.93,47599.97,1.555600E+07,44445.68
1761997624,481447.29,1.793872E+08,498297.49,42900.03,1.598500E+07,44402.75
1761997634,484799.96,1.842352E+08,497932.69,43200.00,1.641700E+07,44370.24
1761997644,481409.79,1.890493E+08,497497.88,42899.98,1.684600E+07,44331.55
1761997654,511742.92,1.941667E+08,497863.14,45599.99,1.730200E+07,44364.08
1761997664,529684.04,1.994636E+08,498658.66,47200.00,1.777400E+07,44434.97
1761997674,528580.29,2.047494E+08,499388.46,47100.03,1.824500E+07,44499.98
1761997684,493782.97,2.096872E+08,499254.99,44000.00,1.868500E+07,44488.07
1761997694,473578.75,2.144230E+08,498657.87,42199.98,1.910700E+07,44434.86
1761997704,502731.05,2.194503E+08,498750.44,44800.00,1.955500E+07,44443.16
1761997714,459008.24,2.240404E+08,497867.28,40900.02,1.996400E+07,44364.42
1761997724,479182.00,2.288322E+08,497461.08,42700.00,2.039100E+07,44328.24
1761997734,478078.99,2.336130E+08,497048.70,42600.00,2.081700E+07,44291.47
1761997744,496016.98,2.385732E+08,497027.20,44200.00,2.125900E+07,44289.56
1761997754,521814.02,2.437913E+08,497533.06,46500.00,2.172400E+07,44334.67
1761997764,521842.98,2.490097E+08,498019.25,46500.00,2.218900E+07,44377.98
1761997774,511744.02,2.541272E+08,498288.37,45600.00,2.264500E+07,44401.94
1761997784,520695.01,2.593341E+08,498719.26,46400.00,2.310900E+07,44440.37
1761997794,518486.97,2.645190E+08,499092.24,46200.00,2.357100E+07,44473.57
1761997804,494900.04,2.694680E+08,499014.61,44100.00,2.401200E+07,44466.65
1761997814,482530.98,2.742933E+08,498714.90,43000.00,2.444200E+07,44439.98
