Current status: 
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761988679,485908.58,4.859210E+06,485908.58,43298.89,4.330000E+05,43298.89
1761988689,506118.02,9.920390E+06,496013.17,45100.00,8.840000E+05,44199.44
1761988699,510592.01,1.502631E+07,500872.74,45500.00,1.339000E+06,44632.95
1761988709,465726.97,1.968358E+07,492086.36,41500.00,1.754000E+06,43849.72
1761988719,444400.01,2.412758E+07,482549.14,39600.00,2.150000E+06,42999.78
1761988729,479199.01,2.891957E+07,481990.78,42700.00,2.577000E+06,42949.82
1761988739,515099.75,3.407057E+07,486720.62,45899.98,3.036000E+06,43371.27
1761988749,548756.26,3.955813E+07,494475.05,48900.02,3.525000E+06,44062.36
1761988759,512860.99,4.468674E+07,496517.93,45700.00,3.982000E+06,44244.32
1761988769,512864.76,4.981539E+07,498152.61,45699.98,4.439000E+06,44389.88
1761988779,529674.26,5.511213E+07,501018.20,47200.02,4.911000E+06,44645.35
1761988789,499408.00,6.010621E+07,500884.02,44500.00,5.356000E+06,44633.24
1761988799,467953.01,6.478574E+07,498350.87,41700.00,5.773000E+06,44407.61
1761988809,483681.71,6.962256E+07,497303.07,43099.97,6.204000E+06,44314.20
1761988819,548757.33,7.511013E+07,500733.35,48900.03,6.693000E+06,44619.92
1761988829,524080.99,8.035094E+07,502192.57,46700.00,7.160000E+06,44749.93
1761988839,537537.01,8.572631E+07,504271.66,47900.00,7.639000E+06,44935.23
1761988849,491542.79,9.064174E+07,503564.50,43799.98,8.077000E+06,44872.16
1761988859,465719.99,9.529894E+07,501572.68,41500.00,8.492000E+06,44694.68
1761988869,475827.21,1.000572E+08,500285.41,42400.02,8.916000E+06,44579.94
1761988879,535291.88,1.054101E+08,501952.38,47699.99,9.393000E+06,44728.52
1761988889,533061.10,1.107407E+08,503366.42,47500.01,9.868000E+06,44854.49
1761988899,515100.01,1.158917E+08,503876.57,45900.00,1.032700E+07,44899.95
1761988909,494900.01,1.208407E+08,503502.55,44100.00,1.076800E+07,44866.62
1761988919,484800.00,1.256887E+08,502754.45,43200.00,1.120000E+07,44799.95
1761988929,469084.00,1.303796E+08,501459.43,41800.00,1.161800E+07,44684.57
1761988939,535299.97,1.357326E+08,502712.78,47700.00,1.209500E+07,44796.25
1761988949,525199.76,1.409846E+08,503515.89,46799.98,1.256300E+07,44867.82
1761988959,508381.25,1.460684E+08,503683.66,45300.02,1.301600E+07,44882.72
1761988969,479174.00,1.508601E+08,502866.67,42700.00,1.344300E+07,44809.96
1761988979,470226.02,1.555624E+08,501813.75,41900.00,1.386200E+07,44716.09
1761988989,478054.90,1.603429E+08,501071.28,42599.99,1.428800E+07,44649.96
1761988999,534180.11,1.656847E+08,502074.58,47600.01,1.476400E+07,44739.36
1761989009,537538.98,1.710601E+08,503117.65,47900.00,1.524300E+07,44832.32
1761989019,527445.00,1.763346E+08,503812.72,47000.00,1.571300E+07,44894.25
1761989029,471336.02,1.810479E+08,502910.59,42000.00,1.613300E+07,44813.86
1761989039,484799.70,1.858959E+08,502421.11,43199.97,1.656500E+07,44770.24
1761989049,472462.02,1.906206E+08,501632.71,42100.00,1.698600E+07,44699.97
1761989059,516221.25,1.957828E+08,502006.77,46000.02,1.744600E+07,44733.30
1761989069,537536.02,2.011581E+08,502895.00,47900.00,1.792500E+07,44812.47
1761989079,515099.99,2.063091E+08,503192.69,45900.00,1.838400E+07,44839.00
1761989089,490426.01,2.112134E+08,502888.72,43700.00,1.882100E+07,44811.88
1761989099,470192.00,2.159153E+08,502128.33,41900.00,1.924000E+07,44744.16
1761989109,497148.02,2.208868E+08,502015.14,44300.00,1.968300E+07,44734.07
1761989119,475841.79,2.256452E+08,501433.51,42399.98,2.010700E+07,44682.20
1761989129,511710.21,2.307623E+08,501656.92,45600.02,2.056300E+07,44702.15
1761989139,522962.98,2.359919E+08,502110.24,46600.00,2.102900E+07,44742.53
1761989149,474700.04,2.407389E+08,501539.19,42300.00,2.145200E+07,44691.64
1761989159,489305.97,2.456320E+08,501289.53,43600.00,2.188800E+07,44669.36
1761989169,538657.00,2.510186E+08,502036.88,48000.00,2.236800E+07,44735.98
1761989179,527437.02,2.562929E+08,502534.93,47000.00,2.283800E+07,44780.37
1761989189,524080.01,2.615337E+08,502949.25,46700.00,2.330500E+07,44817.29
1761989199,539783.97,2.669316E+08,503644.25,48100.00,2.378600E+07,44879.22
1761989209,484800.02,2.717796E+08,503295.28,43200.00,2.421800E+07,44848.13
1761989219,474699.98,2.765266E+08,502775.37,42300.00,2.464100E+07,44801.80
1761989229,478081.02,2.813074E+08,502334.40,42600.00,2.506700E+07,44762.48
1761989239,485918.00,2.861666E+08,502046.39,43300.00,2.550000E+07,44736.82
1761989249,493781.98,2.911044E+08,501903.90,44000.00,2.594000E+07,44724.12
1761989259,534182.00,2.964462E+08,502450.99,47600.00,2.641600E+07,44772.86
1761989269,471310.00,3.011593E+08,501931.97,42000.00,2.683600E+07,44726.65
1761989279,508386.74,3.062432E+08,502037.79,45299.98,2.728900E+07,44736.05
1761989289,533039.99,3.115736E+08,502537.82,47500.00,2.776400E+07,44780.63
1761989299,520716.27,3.167807E+08,502826.37,46400.02,2.822800E+07,44806.33
1761989309,517339.01,3.219541E+08,503053.13,46100.00,2.868900E+07,44826.54
1761989319,529708.04,3.272512E+08,503463.20,47200.00,2.916100E+07,44863.06
1761989329,485917.72,3.321104E+08,503197.36,43299.97,2.959400E+07,44839.38
1761989339,465717.98,3.367676E+08,502637.97,41500.00,3.000900E+07,44789.53
1761989349,499374.27,3.417613E+08,502589.97,44500.02,3.045400E+07,44785.28
1761989359,513981.78,3.469011E+08,502755.07,45799.98,3.091200E+07,44799.98
1761989369,507245.22,3.519736E+08,502819.22,45200.02,3.136400E+07,44805.70
1761989379,536442.05,3.573380E+08,503292.78,47800.00,3.184200E+07,44847.87
1761989389,478056.68,3.621186E+08,502942.28,42599.97,3.226800E+07,44816.65
1761989399,465717.28,3.667757E+08,502432.34,41500.02,3.268300E+07,44771.22
1761989409,485919.91,3.716349E+08,502209.20,43299.99,3.311600E+07,44751.34
1761989419,505000.11,3.766849E+08,502246.42,45000.01,3.356600E+07,44754.65
1761989429,519605.99,3.818810E+08,502474.83,46300.00,3.402900E+07,44774.98
1761989439,519574.02,3.870767E+08,502696.90,46300.00,3.449200E+07,44794.79
