Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761989893,506118.15,5.061210E+06,506118.15,45099.75,4.510000E+05,45099.75
1761989903,501610.03,1.007731E+07,503864.10,44700.00,8.980000E+05,44899.88
1761989913,484799.66,1.492531E+07,497509.30,43199.97,1.330000E+06,44333.24
1761989923,473590.31,1.966121E+07,491529.56,42200.03,1.752000E+06,43799.94
1761989933,464592.00,2.430713E+07,486142.06,41400.00,2.166000E+06,43319.95
1761989943,504999.98,2.935713E+07,489285.04,45000.00,2.616000E+06,43599.96
1761989953,505000.03,3.440713E+07,491530.04,45000.00,3.066000E+06,43799.97
1761989963,525199.96,3.965913E+07,495738.77,46800.00,3.534000E+06,44174.97
1761989973,534180.00,4.500093E+07,500010.02,47600.00,4.010000E+06,44555.53
1761989983,529707.05,5.029800E+07,502979.72,47200.00,4.482000E+06,44819.98
1761989993,480293.96,5.510094E+07,500917.38,42800.00,4.910000E+06,44636.34
1761990003,464600.02,5.974694E+07,497890.93,41400.00,5.324000E+06,44366.65
1761990013,491544.70,6.466239E+07,497402.76,43799.97,5.762000E+06,44323.06
1761990023,544279.29,7.010518E+07,500751.08,48500.03,6.247000E+06,44621.41
1761990033,536421.01,7.546939E+07,503129.08,47800.00,6.725000E+06,44833.32
1761990043,521818.72,8.068758E+07,504297.18,46499.97,7.190000E+06,44937.48
1761990053,490416.04,8.559174E+07,503480.64,43700.00,7.627000E+06,44864.69
1761990063,484800.26,9.043974E+07,502442.84,43200.02,8.059000E+06,44772.21
1761990073,501646.99,9.545621E+07,502400.96,44700.00,8.506000E+06,44768.41
1761990083,518453.01,1.006407E+08,503203.56,46200.00,8.968000E+06,44839.99
1761990093,533064.97,1.059714E+08,504625.53,47500.00,9.443000E+06,44966.65
1761990103,522961.03,1.112010E+08,505458.96,46600.00,9.909000E+06,45040.90
1761990113,491513.00,1.161161E+08,504852.62,43800.00,1.034700E+07,44986.95
1761990123,474699.97,1.208631E+08,503596.26,42300.00,1.077000E+07,44874.99
1761990133,489307.81,1.257562E+08,503024.72,43599.98,1.120600E+07,44823.99
1761990143,508353.22,1.308397E+08,503229.66,45300.02,1.165900E+07,44842.30
1761990153,529698.75,1.361367E+08,504210.00,47199.98,1.213100E+07,44929.62
1761990163,537548.24,1.415122E+08,505400.65,47900.02,1.261000E+07,45035.71
1761990173,484797.02,1.463602E+08,504690.18,43200.00,1.304200E+07,44972.41
1761990183,469075.98,1.510509E+08,503503.04,41800.00,1.346000E+07,44866.66
1761990193,480326.99,1.558542E+08,502755.42,42800.00,1.388800E+07,44799.99
1761990203,531910.01,1.611733E+08,503666.51,47400.00,1.436200E+07,44881.24
1761990213,511743.00,1.662907E+08,503911.25,45600.00,1.481800E+07,44903.02
1761990223,530825.98,1.715990E+08,504702.86,47300.00,1.529100E+07,44973.52
1761990233,488157.02,1.764806E+08,504230.12,43500.00,1.572600E+07,44931.42
1761990243,464598.99,1.811266E+08,503129.25,41400.00,1.614000E+07,44833.33
