Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761991115,485919.68,4.859210E+06,485919.68,43299.88,4.330000E+05,43299.88
1761991125,479172.01,9.650930E+06,482545.85,42700.00,8.600000E+05,42999.94
1761991135,483681.01,1.448774E+07,482924.24,43100.00,1.291000E+06,43033.30
1761991145,458984.00,1.907758E+07,476939.18,40900.00,1.700000E+06,42499.97
1761991155,506141.99,2.413900E+07,482779.74,45100.00,2.151000E+06,43019.98
1761991165,501613.01,2.915513E+07,485918.62,44700.00,2.598000E+06,43299.98
1761991175,497145.00,3.412658E+07,487522.39,44300.00,3.041000E+06,43442.84
1761991185,530816.00,3.943474E+07,492934.09,47300.00,3.514000E+06,43924.99
1761991195,519583.99,4.463058E+07,495895.19,46300.00,3.977000E+06,44188.88
1761991205,464600.00,4.927658E+07,492765.67,41400.00,4.391000E+06,43909.99
1761991215,488180.99,5.415839E+07,492348.88,43500.00,4.826000E+06,43872.72
1761991225,511719.02,5.927558E+07,493963.06,45600.00,5.282000E+06,44016.66
1761991235,515099.99,6.442658E+07,495588.97,45900.00,5.741000E+06,44161.53
1761991245,525203.01,6.967861E+07,497704.26,46800.00,6.209000E+06,44349.99
1761991255,518478.01,7.486339E+07,499089.18,46200.00,6.671000E+06,44473.33
1761991265,463481.98,7.949821E+07,496863.73,41300.00,7.084000E+06,44274.99
1761991275,466836.00,8.416657E+07,495097.39,41600.00,7.500000E+06,44117.64
1761991285,487037.00,8.903694E+07,494649.59,43400.00,7.934000E+06,44077.77
1761991295,494900.01,9.398594E+07,494662.77,44100.00,8.375000E+06,44078.94
1761991305,531945.00,9.930539E+07,496526.88,47400.00,8.849000E+06,44244.99
1761991315,527431.17,1.045797E+08,497998.53,46999.66,9.319000E+06,44376.17
1761991325,456742.11,1.091471E+08,496123.25,40700.28,9.726000E+06,44209.08
1761991335,474699.95,1.138941E+08,495191.80,42300.00,1.014900E+07,44126.08
1761991345,476960.26,1.186637E+08,494432.15,42500.02,1.057400E+07,44058.33
1761991355,530801.02,1.239717E+08,495886.91,47300.00,1.104700E+07,44188.00
1761991365,513982.86,1.291116E+08,496582.91,45799.99,1.150500E+07,44249.99
1761991375,516217.14,1.342737E+08,497310.10,46000.01,1.196500E+07,44314.81
1761991385,475820.00,1.390319E+08,496542.60,42400.00,1.238900E+07,44246.42
1761991395,462362.98,1.436556E+08,495363.99,41200.00,1.280100E+07,44141.38
1761991405,476936.79,1.484249E+08,494749.75,42499.98,1.322600E+07,44086.66
1761991415,518464.22,1.536096E+08,495514.73,46200.02,1.368800E+07,44154.83
1761991425,518481.01,1.587944E+08,496232.43,46200.00,1.415000E+07,44218.75
1761991435,519574.01,1.639901E+08,496939.75,46300.00,1.461300E+07,44281.81
1761991445,479208.02,1.687822E+08,496418.23,42700.00,1.504000E+07,44235.29
1761991455,467952.99,1.734617E+08,495604.93,41700.00,1.545700E+07,44162.85
1761991465,492665.00,1.783884E+08,495523.27,43900.00,1.589600E+07,44155.55
1761991475,526318.00,1.836516E+08,496355.56,46900.00,1.636500E+07,44229.73
1761991485,511743.00,1.887690E+08,496760.49,45600.00,1.682100E+07,44265.79
1761991495,517339.00,1.939424E+08,497288.15,46100.00,1.728200E+07,44312.82
1761991505,482560.99,1.987680E+08,496919.97,43000.00,1.771200E+07,44280.00
1761991515,460094.01,2.033689E+08,496021.77,41000.00,1.812200E+07,44200.00
1761991525,474700.00,2.081159E+08,495514.11,42300.00,1.854500E+07,44154.76
1761991535,515099.96,2.132669E+08,495969.60,45900.00,1.900400E+07,44195.35
1761991545,525200.06,2.185189E+08,496633.92,46800.01,1.947200E+07,44254.54
1761991555,515100.00,2.236699E+08,497044.28,45900.00,1.993100E+07,44291.11
1761991565,474697.99,2.284169E+08,496558.49,42300.00,2.035400E+07,44247.82
1761991575,492663.98,2.333436E+08,496475.63,43900.00,2.079300E+07,44240.42
1761991585,470216.99,2.380457E+08,495928.58,41900.00,2.121200E+07,44191.66
1761991595,470200.99,2.427477E+08,495403.52,41900.00,2.163100E+07,44144.90
1761991605,507238.85,2.478201E+08,495640.23,45199.99,2.208300E+07,44166.00
