Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761992360,493756.00,4.937580E+06,493756.00,43999.82,4.400000E+05,43999.82
1761992370,483673.31,9.774310E+06,488714.67,43100.03,8.710000E+05,43549.93
1761992380,467989.99,1.445421E+07,481806.45,41700.00,1.288000E+06,42933.28
1761992390,484799.78,1.930221E+07,482554.78,43199.98,1.720000E+06,42999.96
1761992400,458972.04,2.389193E+07,477838.24,40900.00,2.129000E+06,42579.97
1761992410,502764.19,2.891957E+07,481992.56,44800.02,2.577000E+06,42949.98
1761992420,512864.03,3.404821E+07,486402.77,45700.00,3.034000E+06,43342.84
1761992430,524057.90,3.928879E+07,491109.66,46699.99,3.501000E+06,43762.48
1761992440,525221.08,4.454100E+07,494899.81,46800.01,3.969000E+06,44099.98
1761992450,506120.77,4.960221E+07,496021.91,45099.98,4.420000E+06,44199.98
1761992460,478056.01,5.438277E+07,494388.65,42600.00,4.846000E+06,44054.53
1761992470,462361.98,5.900639E+07,491719.76,41200.00,5.258000E+06,43816.65
1761992480,484800.23,6.385439E+07,491187.49,43200.02,5.690000E+06,43769.22
1761992490,524082.00,6.909521E+07,493537.09,46700.00,6.157000E+06,43978.56
1761992500,527435.00,7.436956E+07,495796.95,47000.00,6.627000E+06,44179.99
1761992510,510601.19,7.947558E+07,496722.22,45499.93,7.082000E+06,44262.49
1761992520,467981.66,8.415539E+07,495031.60,41700.06,7.499000E+06,44111.76
1761992530,469074.07,8.884613E+07,493589.52,41800.01,7.917000E+06,43983.32
1761992540,501643.04,9.386256E+07,494013.39,44700.00,8.364000E+06,44021.04
1761992550,509483.98,9.895740E+07,494786.92,45400.00,8.818000E+06,44089.99
1761992560,522954.01,1.041869E+08,496128.21,46600.00,9.284000E+06,44209.52
1761992570,506118.99,1.092481E+08,496582.33,45100.00,9.735000E+06,44249.99
1761992580,479204.97,1.140402E+08,495826.80,42700.00,1.016200E+07,44182.60
1761992590,467956.02,1.187197E+08,494665.51,41700.00,1.057900E+07,44079.16
1761992600,500525.98,1.237250E+08,494899.93,44600.00,1.102500E+07,44099.99
1761992610,498257.01,1.287076E+08,495029.05,44400.00,1.146900E+07,44111.53
1761992620,513982.02,1.338474E+08,495731.01,45800.00,1.192700E+07,44174.07
1761992630,520691.98,1.390543E+08,496622.48,46400.00,1.239100E+07,44253.57
1761992640,466863.01,1.437229E+08,495596.29,41600.00,1.280700E+07,44162.06
1761992650,472436.78,1.484473E+08,494824.30,42099.98,1.322800E+07,44093.33
1761992660,481443.22,1.532617E+08,494392.66,42900.02,1.365700E+07,44054.83
1761992670,515099.71,1.584127E+08,495039.75,45899.97,1.411600E+07,44112.49
1761992680,508357.14,1.634963E+08,495443.31,45300.01,1.456900E+07,44148.48
1761992690,505000.14,1.685463E+08,495724.39,45000.01,1.501900E+07,44173.53
1761992700,475826.99,1.733046E+08,495155.89,42400.00,1.544300E+07,44122.85
1761992710,454500.00,1.778496E+08,494026.56,40500.00,1.584800E+07,44022.22
1761992720,509498.80,1.829446E+08,494444.73,45399.98,1.630200E+07,44059.45
1761992730,533060.95,1.882752E+08,495460.95,47500.00,1.677700E+07,44150.00
1761992740,518456.28,1.934597E+08,496050.57,46200.02,1.723900E+07,44202.56
1761992750,516219.96,1.986219E+08,496554.81,46000.00,1.769900E+07,44247.50
1761992760,480327.03,2.034252E+08,496159.01,42800.00,1.812700E+07,44212.19
1761992770,452237.00,2.079476E+08,495113.25,40300.00,1.853000E+07,44119.04
1761992780,479198.98,2.127396E+08,494743.15,42700.00,1.895700E+07,44086.04
1761992790,481443.00,2.175540E+08,494440.87,42900.00,1.938600E+07,44059.09
1761992800,497139.02,2.225254E+08,494500.83,44300.00,1.982900E+07,44064.44
1761992810,521834.00,2.277437E+08,495095.03,46500.00,2.029400E+07,44117.39
1761992820,467966.00,2.324234E+08,494517.82,41700.00,2.071100E+07,44065.95
1761992830,463481.68,2.370582E+08,493871.23,41299.97,2.112400E+07,44008.33
1761992840,530792.14,2.423661E+08,494624.72,47300.01,2.159700E+07,44075.51
1761992850,522961.22,2.475957E+08,495191.45,46600.02,2.206300E+07,44126.00
1761992860,507239.01,2.526681E+08,495427.67,45200.00,2.251500E+07,44147.06
1761992870,525200.00,2.579201E+08,496000.22,46800.00,2.298300E+07,44198.07
1761992880,455627.00,2.624764E+08,495238.46,40600.00,2.338900E+07,44130.19
1761992890,464590.77,2.671223E+08,494670.91,41399.98,2.380300E+07,44079.63
1761992900,484809.23,2.719704E+08,494491.61,43200.02,2.423500E+07,44063.63
1761992910,478081.01,2.767512E+08,494198.56,42600.00,2.466100E+07,44037.50
1761992920,503879.00,2.817900E+08,494368.39,44900.00,2.511000E+07,44052.63
1761992930,511713.00,2.869071E+08,494667.44,45600.00,2.556600E+07,44079.31
1761992940,466859.99,2.915757E+08,494196.12,41600.00,2.598200E+07,44037.29
1761992950,485927.02,2.964350E+08,494058.31,43300.00,2.641500E+07,44025.00
1761992960,515075.33,3.015858E+08,494402.85,45899.67,2.687400E+07,44055.73
1761992970,526345.73,3.068492E+08,494918.05,46900.33,2.734300E+07,44101.61
1761992980,515099.78,3.120002E+08,495238.40,45899.98,2.780200E+07,44130.16
1761992990,506118.22,3.170614E+08,495408.40,45100.02,2.825300E+07,44145.31
1761993000,466834.98,3.217297E+08,494968.80,41600.00,2.866900E+07,44106.15
1761993010,479184.03,3.265216E+08,494729.64,42700.00,2.909600E+07,44084.85
1761993020,469098.98,3.312126E+08,494347.09,41800.00,2.951400E+07,44050.74
1761993030,508356.00,3.362961E+08,494553.11,45300.00,2.996700E+07,44069.12
1761993040,519608.01,3.414922E+08,494916.22,46300.00,3.043000E+07,44101.45
1761993050,503879.00,3.465310E+08,495044.26,44900.00,3.087900E+07,44112.85
1761993060,463458.01,3.511656E+08,494599.38,41300.00,3.129200E+07,44073.24
1761993070,489297.36,3.560586E+08,494525.75,43599.85,3.172800E+07,44066.66
1761993080,524083.74,3.612994E+08,494930.65,46700.16,3.219500E+07,44102.74
1761993090,516218.00,3.664616E+08,495218.32,46000.00,3.265500E+07,44128.38
1761993100,497137.01,3.714329E+08,495243.90,44300.00,3.309800E+07,44130.66
1761993110,507236.99,3.765053E+08,495401.70,45200.00,3.355000E+07,44144.73
1761993120,479203.93,3.812974E+08,495191.34,42699.90,3.397700E+07,44125.97
1761993130,458978.03,3.858871E+08,494727.07,40900.09,3.438600E+07,44084.61
1761993140,506117.99,3.909483E+08,494871.26,45100.00,3.483700E+07,44097.47
1761993150,516227.01,3.961106E+08,495138.20,46000.00,3.529700E+07,44121.25
1761993160,524073.00,4.013513E+08,495495.42,46700.00,3.576400E+07,44153.08
1761993170,513982.01,4.064911E+08,495720.87,45800.00,3.622200E+07,44173.17
1761993180,453380.97,4.110249E+08,495210.75,40400.00,3.662600E+07,44127.71
