Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761994828,508345.15,5.083570E+06,508345.15,45298.94,4.530000E+05,45298.94
1761994838,521836.98,1.030194E+07,515090.99,46500.00,9.180000E+05,45899.46
1761994848,497145.04,1.527339E+07,509109.05,44300.00,1.361000E+06,45366.31
1761994858,457854.98,1.985194E+07,496295.61,40800.00,1.769000E+06,44224.74
1761994868,436546.00,2.421740E+07,484345.74,38900.00,2.158000E+06,43159.80
1761994878,475818.01,2.897558E+07,482924.46,42400.00,2.582000E+06,43033.17
1761994888,509499.01,3.407057E+07,486720.81,45400.00,3.036000E+06,43371.28
1761994898,539773.99,3.946831E+07,493352.44,48100.00,3.517000E+06,43962.37
1761994908,534182.01,4.481013E+07,497889.05,47600.00,3.993000E+06,44366.55
1761994918,520726.02,5.001739E+07,500172.74,46400.00,4.457000E+06,44569.90
1761994928,531918.97,5.533658E+07,503058.75,47400.00,4.931000E+06,44827.18
1761994938,497163.01,6.030821E+07,502567.44,44300.00,5.374000E+06,44783.25
1761994948,480291.94,6.511113E+07,500853.95,42799.99,5.802000E+06,44630.69
1761994958,478063.03,6.989176E+07,499226.03,42600.00,6.228000E+06,44485.64
1761994968,546545.01,7.535721E+07,502380.62,48700.00,6.715000E+06,44766.60
