Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761998496,490391.67,4.903940E+06,490391.67,43699.79,4.370000E+05,43699.79
1761998506,497136.78,9.875310E+06,493764.22,44299.98,8.800000E+05,43999.89
1761998516,494900.21,1.482431E+07,494142.88,44100.02,1.321000E+06,44033.26
1761998526,493782.00,1.976213E+07,494052.66,44000.00,1.761000E+06,44024.95
1761998536,472464.01,2.448677E+07,489734.93,42100.00,2.182000E+06,43639.96
1761998546,501644.02,2.950321E+07,491719.78,44700.00,2.629000E+06,43816.63
1761998556,521809.97,3.472131E+07,496018.37,46500.00,3.094000E+06,44199.97
1761998566,516227.01,3.988358E+07,498544.45,46000.00,3.554000E+06,44424.97
1761998576,524073.04,4.512431E+07,501380.96,46700.00,4.021000E+06,44677.75
1761998586,519607.94,5.032039E+07,503203.66,46299.99,4.484000E+06,44839.98
1761998596,520700.78,5.552740E+07,504794.30,46399.98,4.948000E+06,44981.80
1761998606,512854.25,6.065594E+07,505465.97,45700.02,5.405000E+06,45041.65
1761998616,506119.01,6.571713E+07,505516.20,45100.00,5.856000E+06,45046.14
1761998626,525199.96,7.096913E+07,506922.18,46800.00,6.324000E+06,45171.41
1761998636,512861.04,7.609774E+07,507318.11,45700.00,6.781000E+06,45206.65
1761998646,522964.97,8.132739E+07,508296.04,46600.00,7.247000E+06,45293.74
1761998656,515100.04,8.647839E+07,508696.27,45900.00,7.706000E+06,45329.40
1761998666,530791.95,9.178631E+07,509923.81,47300.00,8.179000E+06,45438.88
1761998676,519608.04,9.698239E+07,510433.50,46300.00,8.642000E+06,45484.20
1761998686,506117.99,1.020436E+08,510217.73,45100.00,9.093000E+06,45464.99
1761998696,526316.99,1.073067E+08,510984.36,46900.00,9.562000E+06,45533.32
1761998706,529684.01,1.126036E+08,511834.34,47200.00,1.003400E+07,45609.08
1761998716,499398.98,1.175976E+08,511293.68,44500.00,1.047900E+07,45560.86
1761998726,525199.02,1.228496E+08,511873.07,46800.00,1.094700E+07,45612.49
1761998736,496017.99,1.278097E+08,511238.86,44200.00,1.138900E+07,45555.99
1761998746,519599.02,1.330057E+08,511560.41,46300.00,1.185200E+07,45584.61
1761998756,517348.01,1.381792E+08,511774.76,46100.00,1.231300E+07,45603.70
1761998766,539772.97,1.435769E+08,512774.70,48100.00,1.279400E+07,45692.85
1761998776,528564.03,1.488626E+08,513319.16,47100.00,1.326500E+07,45741.37
1761998786,488180.95,1.537444E+08,512481.22,43500.00,1.370000E+07,45666.66
1761998796,521819.03,1.589626E+08,512782.44,46500.00,1.416500E+07,45693.54
1761998806,508380.99,1.640464E+08,512644.89,45300.00,1.461800E+07,45681.24
1761998816,501619.00,1.690626E+08,512310.77,44700.00,1.506500E+07,45651.51
1761998826,519598.99,1.742586E+08,512525.13,46300.00,1.552800E+07,45670.58
1761998836,513982.01,1.793984E+08,512566.76,45800.00,1.598600E+07,45674.28
1761998846,524078.98,1.846392E+08,512886.54,46700.00,1.645300E+07,45702.77
1761998856,507239.04,1.897116E+08,512733.91,45200.00,1.690500E+07,45689.18
1761998866,527436.98,1.949859E+08,513120.83,47000.00,1.737500E+07,45723.68
1761998876,506119.01,2.000471E+08,512941.30,45100.00,1.782600E+07,45707.69
1761998886,531943.70,2.053666E+08,513416.36,47399.97,1.830000E+07,45749.99
1761998896,524082.28,2.106074E+08,513676.50,46700.02,1.876700E+07,45773.17
1761998906,494900.02,2.155564E+08,513229.44,44100.00,1.920800E+07,45733.33
1761998916,510591.98,2.206623E+08,513168.11,45500.00,1.966300E+07,45727.90
1761998926,491543.03,2.255777E+08,512676.63,43800.00,2.010100E+07,45684.09
1761998936,507238.99,2.306501E+08,512555.79,45200.00,2.055300E+07,45673.33
1761998946,506117.99,2.357113E+08,512415.84,45100.00,2.100400E+07,45660.86
1761998956,510625.98,2.408176E+08,512377.76,45500.00,2.145900E+07,45657.44
1761998966,526317.01,2.460807E+08,512668.16,46900.00,2.192800E+07,45683.33
1761998976,511747.00,2.511982E+08,512649.36,45600.00,2.238400E+07,45681.63
1761998986,510592.00,2.563041E+08,512608.21,45500.00,2.283900E+07,45678.00
1761998996,526317.75,2.615673E+08,512877.03,46899.98,2.330800E+07,45701.96
1761999006,510626.00,2.666736E+08,512833.74,45500.00,2.376300E+07,45698.07
1761999016,527437.24,2.719479E+08,513109.27,47000.02,2.423300E+07,45722.64
1761999026,509506.01,2.770430E+08,513042.55,45400.00,2.468700E+07,45716.66
1761999036,508357.01,2.821266E+08,512957.36,45300.00,2.514000E+07,45709.09
1761999046,518455.98,2.873111E+08,513055.55,46200.00,2.560200E+07,45717.85
1761999056,496017.99,2.922713E+08,512756.64,44200.00,2.604400E+07,45691.22
1761999066,515100.00,2.974223E+08,512797.04,45900.00,2.650300E+07,45694.82
1761999076,521842.99,3.026407E+08,512950.37,46500.00,2.696800E+07,45708.47
1761999086,513983.04,3.077806E+08,512967.58,45800.00,2.742600E+07,45710.00
1761999096,508355.73,3.128641E+08,512891.97,45299.98,2.787900E+07,45703.27
1761999106,524081.27,3.181049E+08,513072.44,46700.02,2.834600E+07,45719.35
1761999116,513979.99,3.232447E+08,513086.85,45800.00,2.880400E+07,45720.63
1761999126,501643.98,3.282612E+08,512908.06,44700.00,2.925100E+07,45704.68
1761999136,518455.72,3.334457E+08,512993.40,46199.98,2.971300E+07,45712.30
1761999146,521843.32,3.386642E+08,513127.49,46500.03,3.017800E+07,45724.24
