Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761999699,492622.78,4.926310E+06,492622.78,43899.27,4.390000E+05,43899.27
1761999709,503881.98,9.965130E+06,498252.33,44900.00,8.880000E+05,44399.63
1761999719,496018.02,1.492531E+07,497507.57,44200.00,1.330000E+06,44333.09
1761999729,472462.03,1.964993E+07,491246.21,42100.00,1.751000E+06,43774.82
1761999739,517337.96,2.482331E+07,496464.54,46100.00,2.212000E+06,44239.85
1761999749,501642.83,2.983974E+07,497327.59,44699.98,2.659000E+06,44316.54
1761999759,520726.19,3.504700E+07,500670.24,46400.02,3.123000E+06,44614.18
1761999769,549874.02,4.054574E+07,506820.70,49000.00,3.613000E+06,45162.41
1761999779,533064.97,4.587639E+07,509736.72,47500.00,4.088000E+06,45422.14
1761999789,519573.87,5.107213E+07,510720.44,46299.99,4.551000E+06,45509.92
1761999799,537545.14,5.644758E+07,513159.04,47900.01,5.030000E+06,45727.20
1761999809,493772.98,6.138531E+07,511543.54,44000.00,5.470000E+06,45583.27
1761999819,522963.03,6.661494E+07,512421.96,46600.00,5.936000E+06,45661.48
1761999829,533063.03,7.194557E+07,513896.32,47500.00,6.411000E+06,45792.80
1761999839,542033.98,7.736591E+07,515772.16,48300.00,6.894000E+06,45959.95
1761999849,515109.01,8.251700E+07,515730.71,45900.00,7.353000E+06,45956.20
1761999859,545399.97,8.797100E+07,517475.96,48600.00,7.839000E+06,46111.72
1761999869,508356.03,9.305456E+07,516969.30,45300.00,8.292000E+06,46066.62
1761999879,535300.99,9.840757E+07,517934.13,47700.00,8.769000E+06,46152.59
1761999889,525199.98,1.036596E+08,518297.42,46800.00,9.237000E+06,46184.96
1761999899,527437.05,1.089339E+08,518732.64,47000.00,9.707000E+06,46223.77
1761999909,527436.96,1.142083E+08,519128.29,47000.00,1.017700E+07,46259.06
1761999919,511742.89,1.193257E+08,518807.18,45599.99,1.063300E+07,46230.40
1761999929,515100.11,1.244767E+08,518652.72,45900.01,1.109200E+07,46216.63
1761999939,542047.00,1.298972E+08,519588.49,48300.00,1.157500E+07,46299.97
1761999949,525197.03,1.351492E+08,519804.21,46800.00,1.204300E+07,46319.20
1761999959,518455.95,1.403337E+08,519754.27,46200.00,1.250500E+07,46314.79
1761999969,519583.73,1.455296E+08,519748.18,46299.98,1.296800E+07,46314.26
1761999979,527463.28,1.508042E+08,520014.22,47000.03,1.343800E+07,46337.90
1761999989,507235.86,1.558766E+08,519588.27,45199.99,1.389000E+07,46299.97
1761999999,521843.13,1.610950E+08,519661.01,46500.01,1.435500E+07,46306.43
1762000009,524058.04,1.663356E+08,519798.42,46700.00,1.482200E+07,46318.73
1762000019,526320.97,1.715988E+08,519996.07,46900.00,1.529100E+07,46336.34
1762000029,543175.75,1.770306E+08,520677.83,48399.98,1.577500E+07,46397.04
1762000039,520702.25,1.822376E+08,520678.52,46400.02,1.623900E+07,46397.12
1762000049,522936.82,1.874669E+08,520741.25,46599.98,1.670500E+07,46402.76
1762000059,506145.19,1.925284E+08,520346.77,45100.02,1.715600E+07,46367.55
1762000069,543160.67,1.979600E+08,520947.13,48399.97,1.764000E+07,46421.03
1762000079,518457.32,2.031446E+08,520883.29,46200.03,1.810200E+07,46415.36
1762000089,527436.99,2.084189E+08,521047.13,47000.00,1.857200E+07,46429.98
1762000099,533062.99,2.137496E+08,521340.20,47500.00,1.904700E+07,46456.08
1762000109,491543.00,2.186650E+08,520630.75,43800.00,1.948500E+07,46392.84
1762000119,518456.03,2.238496E+08,520580.17,46200.00,1.994700E+07,46388.35
1762000129,510616.99,2.289557E+08,520353.74,45500.00,2.040200E+07,46368.16
1762000139,517347.98,2.341292E+08,520286.94,46100.00,2.086300E+07,46362.21
1762000149,533036.99,2.394596E+08,520564.12,47500.00,2.133800E+07,46386.94
1762000159,526342.00,2.447230E+08,520687.05,46900.00,2.180700E+07,46397.86
1762000169,502731.03,2.497503E+08,520312.97,44800.00,2.225500E+07,46364.57
1762000179,534181.99,2.550921E+08,520596.01,47600.00,2.273100E+07,46389.78
1762000189,524081.02,2.603329E+08,520665.71,46700.00,2.319800E+07,46395.98
1762000199,529705.72,2.656300E+08,520842.96,47199.97,2.367000E+07,46411.75
1762000209,527439.27,2.709044E+08,520969.81,47000.02,2.414000E+07,46423.06
1762000219,524082.01,2.761452E+08,521028.53,46700.00,2.460700E+07,46428.29
1762000229,525199.92,2.813972E+08,521105.78,46799.99,2.507500E+07,46435.17
1762000239,521810.07,2.866153E+08,521118.59,46500.01,2.554000E+07,46436.35
1762000249,534181.75,2.919571E+08,521351.86,47599.98,2.601600E+07,46457.13
1762000259,521843.97,2.971756E+08,521360.49,46500.00,2.648100E+07,46457.88
1762000269,513982.25,3.023154E+08,521233.28,45800.02,2.693900E+07,46446.54
1762000279,530792.01,3.076233E+08,521395.29,47300.00,2.741200E+07,46461.00
1762000289,508389.97,3.127072E+08,521178.54,45300.00,2.786500E+07,46441.65
1762000299,509473.04,3.178019E+08,520986.64,45400.00,2.831900E+07,46424.58
1762000309,538663.99,3.231886E+08,521271.76,48000.00,2.879900E+07,46449.99
1762000319,530815.99,3.284967E+08,521423.26,47300.00,2.927200E+07,46463.48
1762000329,522964.98,3.337264E+08,521447.35,46600.00,2.973800E+07,46465.61
1762000339,549874.04,3.392251E+08,521884.68,49000.00,3.022800E+07,46504.60
1762000349,525199.96,3.444771E+08,521934.91,46800.00,3.069600E+07,46509.08
1762000359,503880.98,3.495159E+08,521665.45,44900.00,3.114500E+07,46485.06
1762000369,530827.06,3.548242E+08,521800.18,47300.01,3.161800E+07,46497.05
1762000379,525199.98,3.600762E+08,521849.45,46800.00,3.208600E+07,46501.44
1762000389,508352.74,3.651597E+08,521656.64,45299.98,3.253900E+07,46484.27
1762000399,529684.26,3.704566E+08,521769.71,47200.02,3.301100E+07,46494.36
1762000409,493782.02,3.753944E+08,521380.99,44000.00,3.345100E+07,46459.71
1762000419,528580.96,3.806802E+08,521479.62,47100.00,3.392200E+07,46468.48
1762000429,511733.04,3.857975E+08,521347.91,45600.00,3.437800E+07,46456.75
1762000439,507221.99,3.908698E+08,521159.56,45200.00,3.483000E+07,46439.99
1762000449,529698.02,3.961667E+08,521271.91,47200.00,3.530200E+07,46449.99
1762000459,527438.98,4.014411E+08,521352.00,47000.00,3.577200E+07,46457.13
1762000469,519607.98,4.066372E+08,521329.64,46300.00,3.623500E+07,46455.12
1762000479,536417.71,4.120014E+08,521520.63,47799.97,3.671300E+07,46472.14
1762000489,525200.29,4.172534E+08,521566.63,46800.03,3.718100E+07,46476.24
1762000499,521818.36,4.224716E+08,521569.74,46499.94,3.764600E+07,46476.53
1762000509,526342.42,4.277350E+08,521627.94,46900.04,3.811500E+07,46481.70
1762000519,503858.21,4.327736E+08,521413.85,44900.02,3.856400E+07,46462.64
1762000529,502763.05,4.378012E+08,521191.81,44800.00,3.901200E+07,46442.85
1762000539,536409.60,4.431653E+08,521370.85,47799.96,3.949000E+07,46458.81
1762000549,515100.35,4.483163E+08,521297.93,45900.03,3.994900E+07,46452.32
1762000559,520725.30,4.535236E+08,521291.35,46399.94,4.041300E+07,46451.71
1762000569,531943.74,4.588430E+08,521412.40,47400.07,4.088700E+07,46462.49
1762000579,501612.99,4.638591E+08,521189.94,44700.00,4.133400E+07,46442.69
1762000589,530826.00,4.691674E+08,521297.00,47300.00,4.180700E+07,46452.21
1762000599,534157.99,4.745090E+08,521438.33,47600.00,4.228300E+07,46464.83
1762000609,506142.01,4.795704E+08,521272.07,45100.00,4.273400E+07,46449.99
1762000619,526317.97,4.848336E+08,521326.33,46900.00,4.320300E+07,46454.83
1762000629,531943.02,4.901530E+08,521439.27,47400.00,4.367700E+07,46464.89
1762000639,501613.00,4.951691E+08,521230.57,44700.00,4.412400E+07,46446.31
1762000649,529708.02,5.004662E+08,521318.88,47200.00,4.459600E+07,46454.16
1762000659,518455.98,5.056508E+08,521289.36,46200.00,4.505800E+07,46451.54
1762000669,515096.99,5.108017E+08,521226.18,45900.00,4.551700E+07,46445.91
1762000679,508357.01,5.158853E+08,521096.19,45300.00,4.597000E+07,46434.34
1762000689,536441.99,5.212497E+08,521249.64,47800.00,4.644800E+07,46447.99

Summary:
loaded 523584000 metrics in 1004.775sec with 8 workers (mean rate 521095.57 metrics/sec)
loaded 46656000 rows in 1004.775sec with 8 workers (mean rate 46434.26 rows/sec)
