Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1762000853,493752.07,4.937580E+06,493752.07,43999.47,4.400000E+05,43999.47
1762000863,507263.03,1.001021E+07,500507.51,45200.00,8.920000E+05,44599.73
1762000873,502736.99,1.503758E+07,501250.66,44800.00,1.340000E+06,44666.49
1762000883,485942.00,1.989700E+07,497423.51,43300.00,1.773000E+06,44324.87
1762000893,498256.96,2.487957E+07,497590.20,44400.00,2.217000E+06,44339.89
1762000903,508355.03,2.996312E+07,499384.34,45300.00,2.670000E+06,44499.91
1762000913,519609.02,3.515921E+07,502273.57,46300.00,3.133000E+06,44757.07
1762000923,538652.99,4.054574E+07,506820.99,48000.00,3.613000E+06,45162.43
1762000933,538656.99,4.593231E+07,510358.32,48000.00,4.093000E+06,45477.72
1762000943,534180.96,5.127412E+07,512740.58,47600.00,4.569000E+06,45689.94
1762000953,512862.02,5.640274E+07,512751.62,45700.00,5.026000E+06,45690.86
1762000963,544283.03,6.184557E+07,515379.24,48500.00,5.511000E+06,45924.95
1762000973,521841.93,6.706400E+07,515876.37,46499.91,5.976000E+06,45969.18
1762000983,530795.08,7.237194E+07,516941.99,47300.10,6.449000E+06,46064.25
1762000993,534179.74,7.771374E+07,518091.17,47599.98,6.925000E+06,46166.63
