Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1762002038,506108.18,5.061210E+06,506108.18,45098.86,4.510000E+05,45098.86
1762002048,510592.00,1.016713E+07,508350.06,45500.00,9.060000E+05,45299.43
1762002058,501644.01,1.518357E+07,506114.73,44700.00,1.353000E+06,45099.62
1762002068,473581.98,1.991939E+07,497981.59,42200.00,1.775000E+06,44374.72
1762002078,515100.00,2.507039E+07,501405.26,45900.00,2.234000E+06,44679.77
1762002088,499372.89,3.006412E+07,501066.53,44499.99,2.679000E+06,44649.81
1762002098,503882.11,3.510294E+07,501468.76,44900.01,3.128000E+06,44685.55
1762002108,536417.01,4.046711E+07,505837.27,47800.00,3.606000E+06,45074.86
1762002118,530827.98,4.577539E+07,508614.01,47300.00,4.079000E+06,45322.09
1762002128,510592.01,5.088131E+07,508811.81,45500.00,4.534000E+06,45339.89
1762002138,540924.98,5.629056E+07,511731.18,48200.00,5.016000E+06,45599.89
1762002148,505001.04,6.134057E+07,511170.34,45000.00,5.466000E+06,45549.90
1762002158,526316.99,6.660374E+07,512335.46,46900.00,5.935000E+06,45653.76
1762002168,538657.02,7.199031E+07,514215.57,48000.00,6.415000E+06,45821.35
1762002178,537568.96,7.736600E+07,515772.46,47900.00,6.894000E+06,45959.92
1762002188,519573.78,8.256174E+07,516010.04,46299.98,7.357000E+06,45981.18
1762002198,525200.21,8.781374E+07,516550.64,46800.02,7.825000E+06,46029.34
1762002208,503883.03,9.285257E+07,515846.89,44900.00,8.274000E+06,45966.60
1762002218,522963.99,9.808221E+07,516221.47,46600.00,8.740000E+06,45999.94
1762002228,533037.00,1.034126E+08,517062.25,47500.00,9.215000E+06,46074.94
1762002238,526342.00,1.086760E+08,517504.14,46900.00,9.684000E+06,46114.23
1762002248,533031.02,1.140063E+08,518209.90,47500.00,1.015900E+07,46177.22
1762002258,521842.98,1.192247E+08,518367.86,46500.00,1.062400E+07,46191.25
1762002268,521846.98,1.244432E+08,518512.83,46500.00,1.108900E+07,46204.12
1762002278,521809.79,1.296613E+08,518644.71,46499.98,1.155400E+07,46215.95
1762002288,542043.25,1.350817E+08,519544.65,48300.02,1.203700E+07,46296.11
1762002298,533064.97,1.404124E+08,520045.40,47500.00,1.251200E+07,46340.70
1762002308,517335.04,1.455857E+08,519948.60,46100.00,1.297300E+07,46332.10
1762002318,534182.97,1.509276E+08,520439.44,47600.00,1.344900E+07,46375.82
1762002328,524082.00,1.561684E+08,520560.86,46700.00,1.391600E+07,46386.63
1762002338,518455.02,1.613529E+08,520492.93,46200.00,1.437800E+07,46380.61
1762002348,520727.01,1.665602E+08,520500.24,46400.00,1.484200E+07,46381.21
1762002358,521810.01,1.717783E+08,520539.93,46500.00,1.530700E+07,46384.81
1762002368,531942.71,1.770977E+08,520875.31,47399.97,1.578100E+07,46414.67
1762002378,519602.29,1.822938E+08,520838.94,46300.03,1.624400E+07,46411.40
1762002388,528562.98,1.875794E+08,521053.49,47100.00,1.671500E+07,46430.52
1762002398,506117.99,1.926406E+08,520649.83,45100.00,1.716600E+07,46394.56
1762002408,525200.02,1.978926E+08,520769.57,46800.00,1.763400E+07,46405.23
1762002418,533063.87,2.032232E+08,521084.81,47499.99,1.810900E+07,46433.30
1762002428,520692.12,2.084301E+08,521075.00,46400.01,1.857300E+07,46432.47
1762002438,522960.97,2.136597E+08,521120.99,46600.00,1.903900E+07,46436.56
1762002448,520726.02,2.188670E+08,521111.59,46400.00,1.950300E+07,46435.69
1762002458,526317.98,2.241302E+08,521232.67,46900.00,1.997200E+07,46446.48
1762002468,503882.01,2.291690E+08,520838.34,44900.00,2.042100E+07,46411.34
