Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1762003198,488155.31,4.881570E+06,488155.31,43499.85,4.350000E+05,43499.85
1762003208,503881.99,9.920390E+06,496018.63,44900.00,8.840000E+05,44199.92
1762003218,509473.99,1.501513E+07,500503.75,45400.00,1.338000E+06,44599.95
1762003228,498287.03,1.999800E+07,499949.57,44400.00,1.782000E+06,44549.96
1762003238,509473.99,2.509274E+07,501854.45,45400.00,2.236000E+06,44719.97
1762003248,503882.67,3.013157E+07,502192.49,44899.97,2.685000E+06,44749.97
1762003258,513978.69,3.527139E+07,503876.24,45799.71,3.143000E+06,44899.93
1762003268,543164.87,4.070300E+07,508787.28,48400.35,3.627000E+06,45337.48
1762003278,521813.02,4.592113E+07,510234.58,46500.00,4.092000E+06,45466.65
1762003288,494899.94,5.087013E+07,508701.12,44099.99,4.533000E+06,45329.98
1762003298,531943.01,5.618956E+07,510814.02,47400.00,5.007000E+06,45518.17
1762003308,545400.04,6.164356E+07,513696.19,48600.00,5.493000E+06,45774.99
1762003318,512865.00,6.677221E+07,513632.25,45700.00,5.950000E+06,45769.22
1762003328,533036.97,7.210258E+07,515018.30,47500.00,6.425000E+06,45892.85
1762003338,542036.03,7.752294E+07,516819.48,48300.00,6.908000E+06,46053.32
1762003348,519605.99,8.271900E+07,516993.64,46300.00,7.371000E+06,46068.74
1762003358,525199.98,8.797100E+07,517476.36,46800.00,7.839000E+06,46111.76
1762003368,531913.02,9.329013E+07,518278.40,47400.00,8.313000E+06,46183.32
1762003378,531943.99,9.860957E+07,518997.64,47400.00,8.787000E+06,46247.36
1762003388,519582.71,1.038054E+08,519026.89,46299.97,9.250000E+06,46249.99
1762003398,526318.30,1.090686E+08,519374.10,46900.03,9.719000E+06,46280.94
1762003408,517363.01,1.142422E+08,519282.69,46100.00,1.018000E+07,46272.72
1762003418,529673.00,1.195389E+08,519734.44,47200.00,1.065200E+07,46313.04
1762003428,533063.02,1.248696E+08,520289.80,47500.00,1.112700E+07,46362.49
1762003438,526316.96,1.301327E+08,520530.89,46900.00,1.159600E+07,46383.99
1762003448,529684.02,1.354296E+08,520882.93,47200.00,1.206800E+07,46415.38
1762003458,539797.96,1.408276E+08,521583.49,48100.00,1.254900E+07,46477.77
1762003468,517340.04,1.460010E+08,521431.94,46100.00,1.301000E+07,46464.28
1762003478,515095.70,1.511519E+08,521213.44,45899.97,1.346900E+07,46444.82
1762003488,540929.31,1.565612E+08,521870.64,48200.03,1.395100E+07,46503.33
1762003498,528551.80,1.618467E+08,522086.16,47099.89,1.442200E+07,46522.57
1762003508,521845.22,1.670652E+08,522078.63,46500.11,1.488700E+07,46521.87
1762003518,543139.94,1.724966E+08,522716.85,48400.00,1.537100E+07,46578.78
1762003528,534173.02,1.778383E+08,523053.80,47600.00,1.584700E+07,46608.82
1762003538,506141.78,1.828997E+08,522570.60,45099.98,1.629800E+07,46565.71
1762003548,533040.23,1.882301E+08,522861.42,47500.02,1.677300E+07,46591.66
1762003558,526318.03,1.934933E+08,522954.84,46900.00,1.724200E+07,46600.00
1762003568,517368.94,1.986670E+08,522807.85,46099.99,1.770300E+07,46586.84
1762003578,521813.04,2.038851E+08,522782.34,46500.00,1.816800E+07,46584.61
1762003588,534180.99,2.092269E+08,523067.30,47600.00,1.864400E+07,46610.00
1762003598,545400.03,2.146809E+08,523612.01,48600.00,1.913000E+07,46658.53
1762003608,517336.99,2.198543E+08,523462.60,46100.00,1.959100E+07,46645.23
1762003618,535300.00,2.252073E+08,523737.89,47700.00,2.006800E+07,46669.76
1762003628,534181.61,2.305491E+08,523975.25,47599.97,2.054400E+07,46690.90
1762003638,522961.40,2.357787E+08,523952.72,46600.04,2.101000E+07,46688.89
1762003648,522964.94,2.410084E+08,523931.24,46600.00,2.147600E+07,46686.95
1762003658,512840.02,2.461368E+08,523695.26,45700.00,2.193300E+07,46665.95
1762003668,512851.99,2.512653E+08,523469.36,45700.00,2.239000E+07,46645.83
1762003678,520726.03,2.564726E+08,523413.37,46400.00,2.285400E+07,46640.81
1762003688,525199.93,2.617246E+08,523449.10,46799.99,2.332200E+07,46644.00
1762003698,524079.03,2.669654E+08,523461.45,46700.00,2.378900E+07,46645.09
1762003708,519577.04,2.721611E+08,523386.75,46300.00,2.425200E+07,46638.46
1762003718,528586.99,2.774470E+08,523484.87,47100.00,2.472300E+07,46647.17
1762003728,531911.79,2.827661E+08,523640.93,47399.98,2.519700E+07,46661.11
1762003738,531945.15,2.880856E+08,523791.91,47400.01,2.567100E+07,46674.54
1762003748,519574.09,2.932813E+08,523716.59,46300.01,2.613400E+07,46667.85
1762003758,524081.98,2.985221E+08,523723.00,46700.00,2.660100E+07,46668.42
1762003768,524081.00,3.037629E+08,523729.18,46700.00,2.706800E+07,46668.96
1762003778,508364.00,3.088466E+08,523468.75,45300.00,2.752100E+07,46645.76
1762003788,510619.00,3.139528E+08,523254.59,45500.00,2.797600E+07,46626.66
1762003798,524079.98,3.191936E+08,523268.12,46700.00,2.844300E+07,46627.87
1762003808,536417.00,3.245577E+08,523480.20,47800.00,2.892100E+07,46646.77
1762003818,534182.96,3.298996E+08,523650.08,47600.00,2.939700E+07,46661.90
1762003828,533064.05,3.352302E+08,523797.17,47500.00,2.987200E+07,46675.00
1762003838,537535.97,3.406056E+08,524008.54,47900.00,3.035100E+07,46693.84
1762003848,542043.01,3.460260E+08,524281.79,48300.00,3.083400E+07,46718.18
1762003858,512830.99,3.511543E+08,524110.88,45700.00,3.129100E+07,46702.98
1762003868,527469.00,3.564290E+08,524160.27,47000.00,3.176100E+07,46707.35
1762003878,525179.04,3.616808E+08,524175.03,46800.00,3.222900E+07,46708.69
1762003888,518477.66,3.668656E+08,524093.64,46199.97,3.269100E+07,46701.43
1762003898,527437.12,3.721399E+08,524140.73,47000.01,3.316100E+07,46705.63
1762003908,536419.21,3.775041E+08,524311.27,47800.02,3.363900E+07,46720.83
1762003918,501643.98,3.825206E+08,524000.76,44700.00,3.408600E+07,46693.15
1762003928,525200.02,3.877726E+08,524016.96,46800.00,3.455400E+07,46694.59
1762003938,526316.98,3.930357E+08,524047.63,46900.00,3.502300E+07,46697.33
1762003948,525199.97,3.982877E+08,524062.79,46800.00,3.549100E+07,46698.68
1762003958,517339.04,4.034611E+08,523975.47,46100.00,3.595200E+07,46690.91
1762003968,539807.99,4.088592E+08,524178.45,48100.00,3.643300E+07,46708.97
1762003978,528553.01,4.141447E+08,524233.83,47100.00,3.690400E+07,46713.92
1762003988,539784.00,4.195426E+08,524428.20,48100.00,3.738500E+07,46731.25
1762003998,530815.97,4.248507E+08,524507.06,47300.00,3.785800E+07,46738.27
1762004008,499383.99,4.298446E+08,524200.68,44500.00,3.830300E+07,46710.97
1762004018,524073.02,4.350853E+08,524199.15,46700.00,3.877000E+07,46710.84
1762004028,518490.02,4.402702E+08,524131.18,46200.00,3.923200E+07,46704.76
1762004038,537536.02,4.456456E+08,524288.88,47900.00,3.971100E+07,46718.82
1762004048,533063.97,4.509762E+08,524390.92,47500.00,4.018600E+07,46727.91
1762004058,515100.03,4.561272E+08,524284.13,45900.00,4.064500E+07,46718.39
1762004068,513978.98,4.612670E+08,524167.02,45800.00,4.110300E+07,46707.95
1762004078,515099.99,4.664180E+08,524065.15,45900.00,4.156200E+07,46698.87
1762004088,536420.96,4.717822E+08,524202.43,47800.00,4.204000E+07,46711.11
1762004098,526318.03,4.770454E+08,524225.68,46900.00,4.250900E+07,46713.19
1762004108,527435.03,4.823197E+08,524260.57,47000.00,4.297900E+07,46716.30
1762004118,537538.97,4.876951E+08,524403.35,47900.00,4.345800E+07,46729.03
1762004128,524081.01,4.929359E+08,524399.92,46700.00,4.392500E+07,46728.72
1762004138,502762.99,4.979636E+08,524172.16,44800.00,4.437300E+07,46708.42
1762004148,521843.00,5.031820E+08,524147.90,46500.00,4.483800E+07,46706.25
1762004158,530793.98,5.084899E+08,524216.41,47300.00,4.531100E+07,46712.37
1762004168,520727.06,5.136972E+08,524180.81,46400.01,4.577500E+07,46709.18
1762004178,522936.98,5.189266E+08,524168.24,46600.00,4.624100E+07,46708.08

Summary:
loaded 523584000 metrics in 998.726sec with 8 workers (mean rate 524252.11 metrics/sec)
loaded 46656000 rows in 998.726sec with 8 workers (mean rate 46715.53 rows/sec)
