Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1762004360,497137.77,4.971390E+06,497137.77,44299.89,4.430000E+05,44299.89
1762004370,496018.04,9.931570E+06,496577.90,44200.00,8.850000E+05,44249.95
1762004380,503882.00,1.497039E+07,499012.60,44900.00,1.334000E+06,44466.63
1762004390,492661.00,1.989700E+07,497424.70,43900.00,1.773000E+06,44324.97
1762004400,508356.98,2.498057E+07,499611.16,45300.00,2.226000E+06,44519.98
1762004410,524081.75,3.022139E+07,503689.59,46699.98,2.693000E+06,44883.31
1762004420,528555.15,3.550694E+07,507241.81,47100.01,3.164000E+06,45199.98
1762004430,535300.14,4.085994E+07,510749.10,47700.01,3.641000E+06,45512.49
1762004440,517333.33,4.603331E+07,511480.68,46099.67,4.102000E+06,45577.73
1762004450,518493.66,5.121821E+07,512181.98,46200.33,4.564000E+06,45639.99
1762004460,534158.02,5.655979E+07,514179.80,47600.00,5.040000E+06,45818.17
1762004470,530814.97,6.186794E+07,515566.06,47300.00,5.513000E+06,45941.66
1762004480,538664.01,6.725458E+07,517342.83,48000.00,5.993000E+06,46099.99
1762004490,513973.04,7.239431E+07,517102.13,45800.00,6.451000E+06,46078.56
1762004500,524081.98,7.763513E+07,517567.45,46700.00,6.918000E+06,46119.99
1762004510,521843.99,8.285357E+07,517834.73,46500.00,7.383000E+06,46143.74
1762004520,525200.01,8.810557E+07,518267.99,46800.00,7.851000E+06,46182.35
