Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1762005510,496019.43,4.960210E+06,496019.43,44199.86,4.420000E+05,44199.86
1762005520,508352.99,1.004374E+07,502186.20,45300.00,8.950000E+05,44749.93
1762005530,511746.91,1.516121E+07,505373.10,45599.99,1.351000E+06,45033.28
1762005540,500491.84,2.016613E+07,504152.78,44599.99,1.797000E+06,44924.96
1762005550,510626.27,2.527239E+07,505447.48,45500.02,2.252000E+06,45039.97
1762005560,509473.99,3.036713E+07,506118.56,45400.00,2.706000E+06,45099.98
1762005570,506117.99,3.542831E+07,506118.48,45100.00,3.157000E+06,45099.98
1762005580,543163.01,4.085994E+07,510749.05,48400.00,3.641000E+06,45512.48
1762005590,520727.02,4.606721E+07,511857.71,46400.00,4.105000E+06,45611.10
1762005600,517336.02,5.124057E+07,512405.54,46100.00,4.566000E+06,45659.99
1762005610,534181.92,5.658239E+07,514385.21,47599.99,5.042000E+06,45836.35
1762005620,546517.72,6.204757E+07,517062.92,48699.98,5.529000E+06,46074.99
1762005630,538656.35,6.743413E+07,518723.95,48000.03,6.009000E+06,46223.07
1762005640,537544.63,7.280958E+07,520068.29,47899.97,6.488000E+06,46342.84
1762005650,535300.36,7.816258E+07,521083.76,47700.03,6.965000E+06,46433.32
1762005660,510615.99,8.326874E+07,520429.52,45500.00,7.420000E+06,46374.99
1762005670,546519.99,8.873394E+07,521964.25,48700.00,7.907000E+06,46511.76
1762005680,527437.03,9.400831E+07,522268.30,47000.00,8.377000E+06,46538.88
1762005690,536426.94,9.937258E+07,523013.49,47799.99,8.855000E+06,46605.26
1762005700,540916.04,1.047817E+08,523908.62,48200.00,9.337000E+06,46684.99
1762005710,538656.99,1.101683E+08,524610.92,48000.00,9.817000E+06,46747.61
1762005720,530826.02,1.154766E+08,524893.42,47300.00,1.029000E+07,46772.72
1762005730,534181.99,1.208184E+08,525297.28,47600.00,1.076600E+07,46808.69
1762005740,540892.00,1.262273E+08,525947.06,48200.00,1.124800E+07,46866.66
1762005750,534181.99,1.315691E+08,526276.45,47600.00,1.172400E+07,46895.99
1762005760,539808.01,1.369672E+08,526796.90,48100.00,1.220500E+07,46942.30
1762005770,526314.98,1.422304E+08,526779.05,46900.00,1.267400E+07,46940.74
1762005780,522964.02,1.474600E+08,526642.80,46600.00,1.314000E+07,46928.57
1762005790,535299.60,1.528130E+08,526941.31,47699.96,1.361700E+07,46955.17
1762005800,536421.39,1.581772E+08,527257.31,47800.03,1.409500E+07,46983.33
1762005810,527435.66,1.634516E+08,527263.06,46999.97,1.456500E+07,46983.87
1762005820,521843.33,1.686700E+08,527093.70,46500.03,1.503000E+07,46968.75
