Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1762007850,482528.82,4.825310E+06,482528.82,42999.81,4.300000E+05,42999.81
1762007860,511746.27,9.942770E+06,497137.51,45600.02,8.860000E+05,44299.91
1762007870,506116.99,1.500394E+07,500130.67,45100.00,1.337000E+06,44566.61
1762007880,502763.00,2.003157E+07,500788.75,44800.00,1.785000E+06,44624.96
1762007890,517337.00,2.520494E+07,504098.40,46100.00,2.246000E+06,44919.96
1762007900,508364.01,3.028858E+07,504809.33,45300.00,2.699000E+06,44983.30
1762007910,515099.98,3.543958E+07,506279.42,45900.00,3.158000E+06,45114.26
1762007920,543154.99,4.087113E+07,510888.87,48400.00,3.642000E+06,45524.98
1762007930,510626.01,4.597739E+07,510859.66,45500.00,4.097000E+06,45522.20
1762007940,527437.99,5.125177E+07,512517.49,47000.00,4.567000E+06,45669.98
1762007950,534180.01,5.659357E+07,514486.81,47600.00,5.043000E+06,45845.44
1762007960,547636.82,6.206994E+07,517249.31,48799.98,5.531000E+06,46091.65
1762007970,528564.19,6.735558E+07,518119.69,47100.02,6.002000E+06,46169.22
1762007980,528580.98,7.264139E+07,518866.92,47100.00,6.473000E+06,46235.70
1762007990,533060.94,7.797200E+07,519813.19,47499.99,6.948000E+06,46319.99
1762008000,502730.73,8.299931E+07,518745.54,44799.98,7.396000E+06,46224.99
1762008010,539808.37,8.839739E+07,519984.52,48100.03,7.877000E+06,46335.28
1762008020,534181.97,9.373921E+07,520773.27,47600.00,8.353000E+06,46405.55
1762008030,538655.02,9.912576E+07,521714.42,48000.00,8.833000E+06,46489.46
1762008040,537537.02,1.045011E+08,522505.55,47900.00,9.312000E+06,46559.99
1762008050,531943.71,1.098206E+08,522954.98,47399.97,9.786000E+06,46599.99
1762008060,521843.26,1.150390E+08,522904.45,46500.02,1.025100E+07,46595.45
1762008070,527439.02,1.203134E+08,523101.61,47000.00,1.072100E+07,46613.04
1762008080,550991.99,1.258233E+08,524263.70,49100.00,1.121200E+07,46716.66
1762008090,533062.93,1.311539E+08,524615.67,47499.99,1.168700E+07,46747.99
1762008100,529706.05,1.364510E+08,524811.46,47200.00,1.215900E+07,46765.38
1762008110,511713.00,1.415681E+08,524326.33,45600.00,1.261500E+07,46722.22
1762008120,537545.00,1.469436E+08,524798.42,47900.00,1.309400E+07,46764.28
1762008130,521835.01,1.521619E+08,524696.24,46500.00,1.355900E+07,46755.17
1762008140,543164.00,1.575936E+08,525311.83,48400.00,1.404300E+07,46809.99
1762008150,539774.01,1.629913E+08,525778.35,48100.00,1.452400E+07,46851.61
1762008160,510625.99,1.680976E+08,525304.84,45500.00,1.497900E+07,46809.37
1762008170,548754.99,1.735851E+08,526015.45,48900.00,1.546800E+07,46872.72
1762008180,512865.00,1.787138E+08,525628.67,45700.00,1.592500E+07,46838.23
1762008190,527436.02,1.839881E+08,525680.31,47000.00,1.639500E+07,46842.85
1762008200,534182.99,1.893300E+08,525916.50,47600.00,1.687100E+07,46863.88
1762008210,547634.97,1.948063E+08,526503.48,48800.00,1.735900E+07,46916.21
1762008220,524082.02,2.000471E+08,526439.76,46700.00,1.782600E+07,46910.52
1762008230,540925.99,2.054564E+08,526811.20,48200.00,1.830800E+07,46943.58
1762008240,526317.90,2.107196E+08,526798.87,46899.99,1.877700E+07,46942.50
1762008250,524082.11,2.159604E+08,526732.61,46700.01,1.924400E+07,46936.58
1762008260,546518.02,2.214256E+08,527203.69,48700.00,1.973100E+07,46978.57
1762008270,536417.01,2.267897E+08,527417.95,47800.00,2.020900E+07,46997.67
1762008280,529683.87,2.320866E+08,527469.45,47199.99,2.068100E+07,47002.27
1762008290,509499.00,2.371816E+08,527070.11,45400.00,2.113500E+07,46966.66
1762008300,513981.98,2.423214E+08,526785.58,45800.00,2.159300E+07,46941.30
1762008310,527435.12,2.475957E+08,526799.40,47000.01,2.206300E+07,46942.55
1762008320,513982.01,2.527356E+08,526532.37,45800.00,2.252100E+07,46918.75
1762008330,528556.98,2.580211E+08,526573.69,47100.00,2.299200E+07,46922.45
1762008340,543162.76,2.634528E+08,526905.47,48399.98,2.347600E+07,46952.00
1762008350,524081.25,2.686936E+08,526850.10,46700.02,2.394300E+07,46947.06
1762008360,522961.01,2.739232E+08,526775.31,46600.00,2.440900E+07,46940.38
1762008370,536421.00,2.792874E+08,526957.30,47800.00,2.488700E+07,46956.60
1762008380,528555.01,2.845729E+08,526986.89,47100.00,2.535800E+07,46959.26
1762008390,535299.98,2.899259E+08,527138.03,47700.00,2.583500E+07,46972.72
