Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761921398,199727.89,1.997310E+06,199727.89,17799.72,1.780000E+05,17799.72
1761921408,209863.00,4.095940E+06,204795.41,18700.00,3.650000E+05,18249.86
1761921418,209863.01,6.194570E+06,206484.60,18700.00,5.520000E+05,18399.90
1761921428,202000.00,8.214570E+06,205363.45,18000.00,7.320000E+05,18299.93
1761921438,184038.00,1.005495E+07,201098.37,16400.00,8.960000E+05,17919.94
1761921448,163836.00,1.169331E+07,194887.99,14600.00,1.042000E+06,17366.62
1761921458,182927.01,1.352258E+07,193179.29,16300.00,1.205000E+06,17214.25
1761921468,216598.99,1.568857E+07,196106.74,19300.00,1.398000E+06,17474.97
1761921478,209864.00,1.778721E+07,197635.32,18700.00,1.585000E+06,17611.08
1761921488,206473.00,1.985194E+07,198519.09,18400.00,1.769000E+06,17689.97
1761921498,213219.00,2.198413E+07,199855.44,19000.00,1.959000E+06,17809.07
1761921508,181798.00,2.380211E+07,198350.66,16200.00,2.121000E+06,17674.98
1761921518,175089.01,2.555300E+07,196561.30,15600.00,2.277000E+06,17515.36
1761921528,177294.00,2.732594E+07,195185.07,15800.00,2.435000E+06,17392.84
1761921538,176206.00,2.908800E+07,193919.80,15700.00,2.592000E+06,17279.98
1761921548,205359.00,3.114159E+07,194634.75,18300.00,2.775000E+06,17343.73
1761921558,212099.00,3.326258E+07,195662.06,18900.00,2.964000E+06,17435.28
1761921568,185155.00,3.511413E+07,195078.33,16500.00,3.129000E+06,17383.32
1761921578,182918.00,3.694331E+07,194438.31,16300.00,3.292000E+06,17326.30
1761921588,188542.97,3.882874E+07,194143.55,16800.00,3.460000E+06,17299.99
1761921598,182920.03,4.065794E+07,193609.09,16300.00,3.623000E+06,17252.37
1761921608,194137.00,4.259931E+07,193633.09,17300.00,3.796000E+06,17254.53
1761921618,221082.01,4.481013E+07,194826.52,19700.00,3.993000E+06,17360.86
1761921628,181798.93,4.662812E+07,194283.70,16199.99,4.155000E+06,17312.49
1761921638,175088.06,4.837900E+07,193515.88,15600.01,4.311000E+06,17243.99
1761921648,178413.00,5.016313E+07,192935.00,15900.00,4.470000E+06,17192.30
1761921658,181800.00,5.198113E+07,192522.59,16200.00,4.632000E+06,17155.55
1761921668,188543.99,5.386657E+07,192380.50,16800.00,4.800000E+06,17142.85
1761921678,209864.00,5.596521E+07,192983.38,18700.00,4.987000E+06,17196.54
1761921688,190779.00,5.787300E+07,192909.90,17000.00,5.157000E+06,17189.99
1761921698,187396.00,5.974696E+07,192732.03,16700.00,5.324000E+06,17174.18
1761921708,176204.00,6.150900E+07,192215.53,15700.00,5.481000E+06,17128.12
1761921718,180673.00,6.331573E+07,191865.76,16100.00,5.642000E+06,17096.96
1761921728,214345.01,6.545918E+07,192526.91,19100.00,5.833000E+06,17155.87
1761921738,207593.99,6.753512E+07,192957.40,18500.00,6.018000E+06,17194.28
1761921748,188546.00,6.942058E+07,192834.86,16800.00,6.186000E+06,17183.33
1761921758,178442.00,7.120500E+07,192445.86,15900.00,6.345000E+06,17148.64
1761921768,199731.01,7.320231E+07,192637.58,17800.00,6.523000E+06,17165.78
1761921778,175087.00,7.495318E+07,192187.56,15600.00,6.679000E+06,17125.63
1761921788,185156.00,7.680474E+07,192011.78,16500.00,6.844000E+06,17109.99
1761921798,207625.99,7.888100E+07,192392.61,18500.00,7.029000E+06,17143.90
1761921808,184038.00,8.072138E+07,192193.69,16400.00,7.193000E+06,17126.18
1761921818,193019.00,8.265157E+07,192212.88,17200.00,7.365000E+06,17127.90
1761921828,186274.00,8.451431E+07,192077.91,16600.00,7.531000E+06,17115.90
1761921838,179563.00,8.630994E+07,191799.80,16000.00,7.691000E+06,17091.11
1761921848,184036.99,8.815031E+07,191631.04,16400.00,7.855000E+06,17076.08
1761921858,210982.01,9.026013E+07,192042.77,18800.00,8.043000E+06,17112.76
1761921868,177325.93,9.203339E+07,191736.17,15799.99,8.201000E+06,17085.41
1761921878,181800.04,9.385139E+07,191533.39,16200.00,8.363000E+06,17067.34
1761921888,206473.02,9.591612E+07,191832.18,18400.00,8.547000E+06,17093.99
1761921898,204246.00,9.795858E+07,192075.59,18200.00,8.729000E+06,17115.68
1761921908,210973.01,1.000683E+08,192439.00,18800.00,8.917000E+06,17148.07
1761921918,213226.99,1.022006E+08,192831.23,19000.00,9.107000E+06,17183.01
1761921928,187416.00,1.040747E+08,192730.94,16700.00,9.274000E+06,17174.07
1761921938,187405.00,1.059488E+08,192634.11,16700.00,9.441000E+06,17165.45
1761921948,191921.00,1.078680E+08,192621.38,17100.00,9.612000E+06,17164.28
1761921958,173939.01,1.096074E+08,192293.61,15500.00,9.767000E+06,17135.08
1761921968,178433.99,1.113917E+08,192054.66,15900.00,9.926000E+06,17113.79
1761921978,184048.00,1.132322E+08,191918.95,16400.00,1.009000E+07,17101.69
1761921988,171700.00,1.149492E+08,191581.97,15300.00,1.024300E+07,17071.66
1761921998,189637.01,1.168456E+08,191550.08,16900.00,1.041200E+07,17068.85
1761922008,214363.00,1.189892E+08,191918.03,19100.00,1.060300E+07,17101.61
1761922018,209837.00,1.210876E+08,192202.46,18700.00,1.079000E+07,17126.98
1761922028,201999.99,1.231076E+08,192355.55,18000.00,1.097000E+07,17140.62
1761922038,207616.01,1.251837E+08,192590.32,18500.00,1.115500E+07,17161.53
1761922048,182919.99,1.270129E+08,192443.80,16300.00,1.131800E+07,17148.48
1761922058,184037.01,1.288533E+08,192318.33,16400.00,1.148200E+07,17137.31
1761922068,187425.99,1.307276E+08,192246.38,16700.00,1.164900E+07,17130.88
1761922078,176174.00,1.324893E+08,192013.45,15700.00,1.180600E+07,17110.14
1761922088,179563.00,1.342849E+08,191835.59,16000.00,1.196600E+07,17094.28
1761922098,186306.00,1.361480E+08,191757.70,16600.00,1.213200E+07,17087.32
1761922108,176174.00,1.379097E+08,191541.26,15700.00,1.228900E+07,17068.05
1761922118,189664.99,1.398064E+08,191515.56,16900.00,1.245800E+07,17065.75
1761922128,214335.00,1.419497E+08,191823.93,19100.00,1.264900E+07,17093.24
1761922138,205365.99,1.440034E+08,192004.49,18300.00,1.283200E+07,17109.33
1761922148,201991.01,1.460233E+08,192135.89,18000.00,1.301200E+07,17121.05
1761922158,209862.00,1.481219E+08,192366.10,18700.00,1.319900E+07,17141.55
1761922168,197527.99,1.500972E+08,192432.28,17600.00,1.337500E+07,17147.43
1761922178,177292.01,1.518701E+08,192240.63,15800.00,1.353300E+07,17130.38
1761922188,194144.99,1.538116E+08,192264.44,17300.00,1.370600E+07,17132.50
1761922198,180673.00,1.556183E+08,192121.33,16100.00,1.386700E+07,17119.75
1761922208,186308.00,1.574814E+08,192050.44,16600.00,1.403300E+07,17113.41
1761922218,185154.99,1.593329E+08,191967.36,16500.00,1.419800E+07,17106.02
1761922228,169463.00,1.610276E+08,191699.45,15100.00,1.434900E+07,17082.14
1761922238,178443.00,1.628120E+08,191543.49,15900.00,1.450800E+07,17068.23
1761922248,188513.00,1.646971E+08,191508.26,16800.00,1.467600E+07,17065.11
1761922258,209861.00,1.667957E+08,191719.21,18700.00,1.486300E+07,17083.90
1761922268,210983.01,1.689056E+08,191938.11,18800.00,1.505100E+07,17103.41
1761922278,212099.99,1.710266E+08,192164.65,18900.00,1.524000E+07,17123.59
1761922288,200882.01,1.730354E+08,192261.51,17900.00,1.541900E+07,17132.22
1761922298,184037.00,1.748758E+08,192171.13,16400.00,1.558300E+07,17124.17
1761922308,188545.01,1.767612E+08,192131.72,16800.00,1.575100E+07,17120.65
1761922318,182917.99,1.785904E+08,192032.65,16300.00,1.591400E+07,17111.83
1761922328,187401.01,1.804644E+08,191983.37,16700.00,1.608100E+07,17107.44
1761922338,200872.92,1.824731E+08,192076.95,17899.99,1.626000E+07,17115.79
1761922348,196408.07,1.844372E+08,192122.06,17500.01,1.643500E+07,17119.79
1761922358,185152.99,1.862887E+08,192050.22,16500.00,1.660000E+07,17113.40
1761922368,197526.01,1.882640E+08,192106.09,17600.00,1.677600E+07,17118.36
1761922378,201999.99,1.902840E+08,192206.03,18000.00,1.695600E+07,17127.27
1761922388,206474.00,1.923487E+08,192348.71,18400.00,1.714000E+07,17140.00
1761922398,210981.91,1.944586E+08,192533.20,18799.99,1.732800E+07,17156.43
1761922408,195257.08,1.964111E+08,192559.90,17400.01,1.750200E+07,17158.82
1761922418,184045.00,1.982516E+08,192477.23,16400.00,1.766600E+07,17151.45
1761922428,195281.00,2.002044E+08,192504.19,17400.00,1.784000E+07,17153.84
1761922438,200882.00,2.022132E+08,192583.98,17900.00,1.801900E+07,17160.95
1761922448,216572.00,2.043789E+08,192810.28,19300.00,1.821200E+07,17181.13
1761922458,210981.00,2.064887E+08,192980.10,18800.00,1.840000E+07,17196.26
1761922468,181800.00,2.083067E+08,192876.58,16200.00,1.856200E+07,17187.03
1761922478,176184.00,2.100686E+08,192723.44,15700.00,1.871900E+07,17173.39
1761922488,191900.00,2.119876E+08,192715.95,17100.00,1.889000E+07,17172.72
1761922498,176198.00,2.137496E+08,192567.14,15700.00,1.904700E+07,17159.46
1761922508,182918.01,2.155787E+08,192480.99,16300.00,1.921000E+07,17151.78
1761922518,194138.93,2.175201E+08,192495.66,17299.99,1.938300E+07,17153.09
1761922528,180681.00,2.193269E+08,192392.03,16100.00,1.954400E+07,17143.86
1761922538,177327.07,2.211002E+08,192261.03,15800.01,1.970200E+07,17132.17
1761922548,197492.00,2.230751E+08,192306.12,17600.00,1.987800E+07,17136.20
1761922558,207626.00,2.251514E+08,192437.06,18500.00,2.006300E+07,17147.86
1761922568,213218.00,2.272836E+08,192613.17,19000.00,2.025300E+07,17163.56
1761922578,215456.00,2.294381E+08,192805.13,19200.00,2.044500E+07,17180.67
1761922588,177325.99,2.312114E+08,192676.13,15800.00,2.060300E+07,17169.16
1761922598,177299.00,2.329844E+08,192549.05,15800.00,2.076100E+07,17157.85
1761922608,178436.01,2.347687E+08,192433.37,15900.00,2.092000E+07,17147.54
1761922618,190792.00,2.366767E+08,192420.02,17000.00,2.109000E+07,17146.34
1761922628,212091.01,2.387976E+08,192578.66,18900.00,2.127900E+07,17160.48
1761922638,209863.99,2.408962E+08,192716.94,18700.00,2.146600E+07,17172.80
1761922648,181800.00,2.427142E+08,192630.30,16200.00,2.162800E+07,17165.08
1761922658,189636.99,2.446106E+08,192606.73,16900.00,2.179700E+07,17162.99
1761922668,193042.01,2.465410E+08,192610.13,17200.00,2.196900E+07,17163.28
1761922678,180658.00,2.483476E+08,192517.48,16100.00,2.213000E+07,17155.04
1761922688,195280.99,2.503004E+08,192538.74,17400.00,2.230400E+07,17156.92
1761922698,210982.00,2.524102E+08,192679.53,18800.00,2.249200E+07,17169.46
1761922708,184036.01,2.542506E+08,192614.05,16400.00,2.265600E+07,17163.63
1761922718,182917.00,2.560797E+08,192541.14,16300.00,2.281900E+07,17157.14
1761922728,212099.99,2.582007E+08,192687.10,18900.00,2.300800E+07,17170.15
1761922738,204239.01,2.602431E+08,192772.67,18200.00,2.319000E+07,17177.78
1761922748,214345.01,2.623866E+08,192931.29,19100.00,2.338100E+07,17191.91
1761922758,216600.99,2.645526E+08,193104.06,19300.00,2.357400E+07,17207.30
1761922768,188541.00,2.664380E+08,193070.99,16800.00,2.374200E+07,17204.35
1761922778,186276.00,2.683008E+08,193022.11,16600.00,2.390800E+07,17200.00
1761922788,198645.01,2.702872E+08,193062.27,17700.00,2.408500E+07,17203.57
1761922798,177291.99,2.720601E+08,192950.43,15800.00,2.424300E+07,17193.62
1761922808,185187.00,2.739120E+08,192895.75,16500.00,2.440800E+07,17188.73
1761922818,185157.00,2.757636E+08,192841.64,16500.00,2.457300E+07,17183.91
