Current status: 
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761947956,217693.00,2.176940E+06,217693.00,19399.91,1.940000E+05,19399.91
1761947966,204236.89,4.219310E+06,210964.96,18199.99,3.760000E+05,18799.95
1761947976,202000.09,6.239310E+06,207976.68,18000.01,5.560000E+05,18533.30
1761947986,182926.89,8.068580E+06,201714.24,16299.99,7.190000E+05,17974.98
1761947996,168336.11,9.751940E+06,195038.62,15000.01,8.690000E+05,17379.98
1761948006,199763.00,1.174957E+07,195826.02,17800.00,1.047000E+06,17449.99
1761948016,208743.00,1.383700E+07,197671.30,18600.00,1.233000E+06,17614.27
1761948026,215457.00,1.599157E+07,199894.51,19200.00,1.425000E+06,17812.49
1761948036,206473.99,1.805631E+07,200625.56,18400.00,1.609000E+06,17877.77
1761948046,204248.01,2.009879E+07,200987.81,18200.00,1.791000E+06,17909.99
1761948056,190778.91,2.200658E+07,200059.73,16999.99,1.961000E+06,17827.26
1761948066,169453.08,2.370111E+07,197509.17,15100.01,2.112000E+06,17599.99
1761948076,181802.01,2.551913E+07,196300.93,16200.00,2.274000E+06,17492.30
1761948086,171699.99,2.723613E+07,194543.72,15300.00,2.427000E+06,17335.71
1761948096,189663.01,2.913276E+07,194218.34,16900.00,2.596000E+06,17306.66
1761948106,208745.00,3.122021E+07,195126.26,18600.00,2.782000E+06,17387.49
1761948116,191897.00,3.313918E+07,194936.30,17100.00,2.953000E+06,17370.58
1761948126,178412.99,3.492331E+07,194018.34,15900.00,3.112000E+06,17288.88
1761948136,180682.01,3.673013E+07,193316.43,16100.00,3.273000E+06,17226.31
1761948146,173945.00,3.846958E+07,192347.86,15500.00,3.428000E+06,17140.00
1761948156,191900.00,4.038858E+07,192326.53,17100.00,3.599000E+06,17138.09
1761948166,212099.87,4.250958E+07,193225.32,18899.99,3.788000E+06,17218.18
1761948176,198638.13,4.449596E+07,193460.66,17700.01,3.965000E+06,17239.13
1761948186,179561.00,4.629157E+07,192881.50,16000.00,4.125000E+06,17187.50
1761948196,184036.99,4.813194E+07,192527.72,16400.00,4.289000E+06,17156.00
1761948206,181800.00,4.994994E+07,192115.12,16200.00,4.451000E+06,17119.23
1761948216,216582.01,5.211576E+07,193021.30,19300.00,4.644000E+06,17200.00
1761948226,213245.01,5.424821E+07,193743.58,19000.00,4.834000E+06,17264.28
1761948236,187392.00,5.612213E+07,193524.56,16700.00,5.001000E+06,17244.82
1761948246,182926.99,5.795140E+07,193171.30,16300.00,5.164000E+06,17213.33
1761948256,185180.99,5.980321E+07,192913.55,16500.00,5.329000E+06,17190.32
1761948266,179537.01,6.159858E+07,192495.53,16000.00,5.489000E+06,17153.12
1761948276,178436.00,6.338294E+07,192069.49,15900.00,5.648000E+06,17115.15
1761948286,198644.99,6.536939E+07,192262.89,17700.00,5.825000E+06,17132.35
1761948296,197491.91,6.734431E+07,192412.29,17599.99,6.001000E+06,17145.71
1761948306,181800.09,6.916231E+07,192117.50,16200.01,6.163000E+06,17119.44
1761948316,198646.00,7.114877E+07,192293.95,17700.00,6.340000E+06,17135.13
1761948326,210980.01,7.325857E+07,192785.69,18800.00,6.528000E+06,17178.95
1761948336,209836.88,7.535694E+07,193222.90,18699.99,6.715000E+06,17217.95
1761948346,213245.11,7.748939E+07,193723.45,19000.01,6.905000E+06,17262.50
1761948356,196374.00,7.945313E+07,193788.10,17500.00,7.080000E+06,17268.29
1761948366,185187.00,8.130500E+07,193583.31,16500.00,7.245000E+06,17250.00
1761948376,181800.00,8.312300E+07,193309.28,16200.00,7.407000E+06,17225.58
1761948386,179530.99,8.491831E+07,192996.14,16000.00,7.567000E+06,17197.73
1761948396,177326.01,8.669157E+07,192647.91,15800.00,7.725000E+06,17166.66
1761948406,186273.99,8.855431E+07,192509.35,16600.00,7.891000E+06,17154.35
1761948416,175090.00,9.030521E+07,192138.73,15600.00,8.047000E+06,17121.27
1761948426,186295.00,9.216816E+07,192016.98,16600.00,8.213000E+06,17110.42
1761948436,223297.00,9.440113E+07,192655.35,19900.00,8.412000E+06,17167.35
1761948446,212100.00,9.652213E+07,193044.24,18900.00,8.601000E+06,17202.00
1761948456,215486.98,9.867700E+07,193484.30,19200.00,8.793000E+06,17241.17
1761948466,224439.01,1.009214E+08,194079.58,20000.00,8.993000E+06,17294.23
1761948476,195254.99,1.028739E+08,194101.76,17400.00,9.167000E+06,17296.22
1761948486,185164.00,1.047256E+08,193936.24,16500.00,9.332000E+06,17281.48
1761948496,188535.00,1.066109E+08,193838.04,16800.00,9.500000E+06,17272.73
1761948506,187428.00,1.084852E+08,193723.57,16700.00,9.667000E+06,17262.50
1761948516,181800.00,1.103032E+08,193514.39,16200.00,9.829000E+06,17243.86
1761948526,189637.00,1.121996E+08,193447.54,16900.00,9.998000E+06,17237.93
1761948536,172842.00,1.139280E+08,193098.29,15400.00,1.015200E+07,17206.78
1761948546,193020.89,1.158582E+08,193097.00,17199.99,1.032400E+07,17206.67
1761948556,215453.12,1.180127E+08,193463.49,19200.01,1.051600E+07,17239.34
1761948566,208746.84,1.201002E+08,193710.00,18599.99,1.070200E+07,17261.29
1761948576,207592.16,1.221761E+08,193930.35,18500.01,1.088700E+07,17280.95
1761948586,208744.00,1.242636E+08,194161.81,18600.00,1.107300E+07,17301.56
1761948596,195256.00,1.262161E+08,194178.65,17400.00,1.124700E+07,17303.08
1761948606,171700.01,1.279331E+08,193838.06,15300.00,1.140000E+07,17272.73
1761948616,184044.99,1.297736E+08,193691.90,16400.00,1.156400E+07,17259.70
1761948626,188536.01,1.316589E+08,193616.08,16800.00,1.173200E+07,17252.94
1761948636,177326.99,1.334322E+08,193380.00,15800.00,1.189000E+07,17231.88
1761948646,193018.00,1.353624E+08,193374.83,17200.00,1.206200E+07,17231.43
1761948656,177292.00,1.371353E+08,193148.31,15800.00,1.222000E+07,17211.27
1761948666,199763.00,1.391329E+08,193240.18,17800.00,1.239800E+07,17219.44
1761948676,206506.00,1.411980E+08,193421.91,18400.00,1.258200E+07,17235.62
1761948686,205356.89,1.432516E+08,193583.19,18299.99,1.276500E+07,17250.00
1761948696,207601.10,1.453276E+08,193770.09,18500.01,1.295000E+07,17266.67
1761948706,212100.00,1.474486E+08,194011.28,18900.00,1.313900E+07,17288.16
1761948716,195281.00,1.494014E+08,194027.77,17400.00,1.331300E+07,17289.61
1761948726,176174.00,1.511631E+08,193798.87,15700.00,1.347000E+07,17269.23
1761948736,185186.92,1.530150E+08,193689.86,16499.99,1.363500E+07,17259.49
1761948746,178411.38,1.547991E+08,193498.88,15899.86,1.379400E+07,17242.50
1761948756,186309.77,1.566622E+08,193410.12,16600.16,1.396000E+07,17234.57
1761948766,193018.00,1.585924E+08,193405.34,17200.00,1.413200E+07,17234.15
1761948776,170582.00,1.602982E+08,193130.36,15200.00,1.428400E+07,17209.64
1761948786,172818.01,1.620264E+08,192888.55,15400.00,1.443800E+07,17188.09
1761948796,200882.00,1.640352E+08,192982.59,17900.00,1.461700E+07,17196.47
1761948806,217692.00,1.662121E+08,193269.91,19400.00,1.481100E+07,17222.09
1761948816,207626.01,1.682884E+08,193434.92,18500.00,1.499600E+07,17236.78
1761948826,209861.00,1.703870E+08,193621.58,18700.00,1.518300E+07,17253.41
1761948836,193018.00,1.723172E+08,193614.80,17200.00,1.535500E+07,17252.81
1761948846,194139.00,1.742586E+08,193620.62,17300.00,1.552800E+07,17253.33
1761948856,182916.92,1.760877E+08,193503.00,16299.99,1.569100E+07,17242.86
1761948866,178447.08,1.778722E+08,193339.35,15900.01,1.585000E+07,17228.26
1761948876,180679.00,1.796790E+08,193203.22,16100.00,1.601100E+07,17216.13
1761948886,188511.00,1.815641E+08,193153.30,16800.00,1.617900E+07,17211.70
1761948896,179563.00,1.833597E+08,193010.24,16000.00,1.633900E+07,17198.95
1761948906,185157.01,1.852113E+08,192928.44,16500.00,1.650400E+07,17191.67
1761948916,200880.99,1.872201E+08,193010.42,17900.00,1.668300E+07,17198.97
1761948926,214345.99,1.893636E+08,193228.13,19100.00,1.687400E+07,17218.37
1761948936,215481.02,1.915184E+08,193452.91,19200.00,1.706600E+07,17238.38
1761948946,210982.00,1.936282E+08,193628.20,18800.00,1.725400E+07,17254.00
1761948956,200879.00,1.956370E+08,193699.99,17900.00,1.743300E+07,17260.40
1761948966,187394.00,1.975109E+08,193638.17,16700.00,1.760000E+07,17254.90
1761948976,187427.00,1.993852E+08,193577.87,16700.00,1.776700E+07,17249.51
1761948986,212099.94,2.015062E+08,193755.96,18899.99,1.795600E+07,17265.38
1761948996,213215.06,2.036384E+08,193941.29,19000.01,1.814600E+07,17281.90
1761949006,217702.00,2.058154E+08,194165.44,19400.00,1.834000E+07,17301.89
1761949016,196401.00,2.077794E+08,194186.34,17500.00,1.851500E+07,17303.74
1761949026,169461.01,2.094740E+08,193957.40,15100.00,1.866600E+07,17283.33
1761949036,184039.01,2.113144E+08,193866.40,16400.00,1.883000E+07,17275.23
1761949046,186273.99,2.131771E+08,193797.38,16600.00,1.899600E+07,17269.09
1761949056,182918.00,2.150063E+08,193699.37,16300.00,1.915900E+07,17260.36
1761949066,181799.93,2.168243E+08,193593.13,16199.99,1.932100E+07,17250.89
1761949076,185166.07,2.186760E+08,193518.55,16500.01,1.948600E+07,17244.25
1761949086,178443.00,2.204604E+08,193386.31,15900.00,1.964500E+07,17232.46
1761949096,212090.99,2.225813E+08,193548.96,18900.00,1.983400E+07,17246.96
1761949106,217725.01,2.247586E+08,193757.37,19400.00,2.002800E+07,17265.52
1761949116,204238.00,2.268009E+08,193846.95,18200.00,2.021000E+07,17273.50
1761949126,213218.99,2.289331E+08,194011.12,19000.00,2.040000E+07,17288.13
1761949136,191900.00,2.308521E+08,193993.38,17100.00,2.057100E+07,17286.55
1761949146,190781.00,2.327599E+08,193966.61,17000.00,2.074100E+07,17284.17
1761949156,182919.00,2.345891E+08,193875.31,16300.00,2.090400E+07,17276.03
1761949166,171699.91,2.363061E+08,193693.54,15299.99,2.105700E+07,17259.84
1761949176,182918.10,2.381353E+08,193605.94,16300.01,2.122000E+07,17252.03
1761949186,185190.00,2.399872E+08,193538.07,16500.00,2.138500E+07,17245.97
1761949196,177290.99,2.417601E+08,193408.09,15800.00,2.154300E+07,17234.40
1761949206,184046.01,2.436006E+08,193333.79,16400.00,2.170700E+07,17227.78
1761949216,204262.99,2.456432E+08,193419.84,18200.00,2.188900E+07,17235.43
1761949226,214336.00,2.477866E+08,193583.25,19100.00,2.208000E+07,17250.00
1761949236,209864.00,2.498852E+08,193709.46,18700.00,2.226700E+07,17261.24
1761949246,223316.40,2.521184E+08,193937.21,19899.86,2.246600E+07,17281.54
1761949256,190783.37,2.540262E+08,193913.13,17000.12,2.263600E+07,17279.39
1761949266,187391.99,2.559001E+08,193863.73,16700.00,2.280300E+07,17275.00
1761949276,208744.00,2.579876E+08,193975.61,18600.00,2.298900E+07,17284.96
1761949286,208743.01,2.600750E+08,194085.81,18600.00,2.317500E+07,17294.78
1761949296,217694.01,2.622519E+08,194260.69,19400.00,2.336900E+07,17310.37
1761949306,213240.99,2.643844E+08,194400.25,19000.00,2.355900E+07,17322.79
1761949316,195265.00,2.663370E+08,194406.56,17400.00,2.373300E+07,17323.36
1761949326,181800.00,2.681550E+08,194315.21,16200.00,2.389500E+07,17315.22
1761949336,188535.00,2.700404E+08,194273.63,16800.00,2.406300E+07,17311.51
1761949346,185165.00,2.718920E+08,194208.57,16500.00,2.422800E+07,17305.71
1761949356,192994.00,2.738219E+08,194199.95,17200.00,2.440000E+07,17304.96
1761949366,187417.99,2.756961E+08,194152.19,16700.00,2.456700E+07,17300.70
1761949376,195288.01,2.776490E+08,194160.13,17400.00,2.474100E+07,17301.40
