Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761933276,196373.28,1.963740E+06,196373.28,17499.94,1.750000E+05,17499.94
1761933286,204238.87,4.006130E+06,200306.07,18199.99,3.570000E+05,17849.96
1761933296,176208.11,5.768210E+06,192273.43,15700.01,5.140000E+05,17133.31
1761933306,209837.01,7.866580E+06,196664.32,18700.00,7.010000E+05,17524.98
1761933316,205381.00,9.920390E+06,198407.65,18300.00,8.840000E+05,17679.99
1761933326,218818.99,1.210858E+07,201809.54,19500.00,1.079000E+06,17983.32
1761933336,201999.99,1.412858E+07,201836.75,18000.00,1.259000E+06,17985.70
1761933346,212100.02,1.624958E+07,203119.66,18900.00,1.448000E+06,18099.99
1761933356,168336.00,1.793294E+07,199254.81,15000.00,1.598000E+06,17755.55
1761933366,169462.99,1.962757E+07,196275.63,15100.00,1.749000E+06,17489.99
1761933376,177301.00,2.140058E+07,194550.66,15800.00,1.907000E+06,17336.36
1761933386,193042.00,2.333100E+07,194424.94,17200.00,2.079000E+06,17324.99
1761933396,207594.00,2.540694E+07,195437.94,18500.00,2.264000E+06,17415.38
1761933406,198645.00,2.739339E+07,195667.02,17700.00,2.441000E+06,17435.71
1761933416,191899.92,2.931239E+07,195415.88,17099.99,2.612000E+06,17413.33
1761933426,169461.07,3.100700E+07,193793.71,15100.01,2.763000E+06,17268.75
1761933436,189631.00,3.290331E+07,193548.84,16900.00,2.932000E+06,17247.06
1761933446,182927.00,3.473258E+07,192958.74,16300.00,3.095000E+06,17194.44
1761933456,209854.94,3.683113E+07,193848.01,18699.99,3.282000E+06,17273.68
1761933466,203127.04,3.886240E+07,194311.96,18100.00,3.463000E+06,17315.00
1761933476,189654.01,4.075894E+07,194090.16,16900.00,3.632000E+06,17295.24
1761933486,178444.01,4.254338E+07,193378.97,15900.00,3.791000E+06,17231.82
1761933496,185156.00,4.439494E+07,193021.45,16500.00,3.956000E+06,17200.00
1761933506,181800.00,4.621294E+07,192553.89,16200.00,4.118000E+06,17158.33
