Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761939156,199730.21,1.997310E+06,199730.21,17799.93,1.780000E+05,17799.93
1761939166,205390.02,4.051210E+06,202560.11,18300.00,3.610000E+05,18049.97
1761939176,191899.99,5.970210E+06,199006.74,17100.00,5.320000E+05,17733.31
1761939186,172818.00,7.698390E+06,192459.56,15400.00,6.860000E+05,17149.98
1761939196,191900.00,9.617390E+06,192347.65,17100.00,8.570000E+05,17139.99
1761939206,212099.99,1.173839E+07,195639.70,18900.00,1.046000E+06,17433.32
1761939216,206473.89,1.380313E+07,197187.44,18399.99,1.230000E+06,17571.42
1761939226,210981.11,1.591294E+07,198911.65,18800.01,1.418000E+06,17724.99
1761939236,209862.01,1.801156E+07,200128.36,18700.00,1.605000E+06,17833.33
1761939246,205357.00,2.006513E+07,200651.22,18300.00,1.788000E+06,17879.99
1761939256,169461.00,2.175974E+07,197815.75,15100.00,1.939000E+06,17627.27
1761939266,171699.99,2.347674E+07,195639.43,15300.00,2.092000E+06,17433.33
1761939276,170582.00,2.518256E+07,193711.94,15200.00,2.244000E+06,17261.53
1761939286,172818.01,2.691074E+07,192219.52,15400.00,2.398000E+06,17128.57
1761939296,189664.90,2.880739E+07,192049.21,16899.99,2.567000E+06,17113.33
1761939306,213218.11,3.093957E+07,193372.27,19000.01,2.757000E+06,17231.25
1761939316,190782.00,3.284739E+07,193219.90,17000.00,2.927000E+06,17217.64
1761939326,185153.99,3.469893E+07,192771.79,16500.00,3.092000E+06,17177.77
1761939336,179563.99,3.649457E+07,192076.64,16000.00,3.252000E+06,17115.79
1761939346,188542.98,3.838000E+07,191899.96,16800.00,3.420000E+06,17100.00
1761939356,193021.04,4.031021E+07,191953.34,17200.00,3.592000E+06,17104.76
1761939366,212100.00,4.243121E+07,192869.10,18900.00,3.781000E+06,17186.36
1761939376,199737.00,4.442858E+07,193167.71,17800.00,3.959000E+06,17213.04
1761939386,180673.00,4.623531E+07,192647.09,16100.00,4.120000E+06,17166.66
1761939396,182926.89,4.806458E+07,192258.29,16299.99,4.283000E+06,17132.00
1761939406,186299.11,4.992757E+07,192029.09,16600.01,4.449000E+06,17111.54
1761939416,210982.00,5.203739E+07,192731.05,18800.00,4.637000E+06,17174.07
1761939426,209861.00,5.413600E+07,193342.83,18700.00,4.824000E+06,17228.57
1761939436,193020.99,5.606621E+07,193331.73,17200.00,4.996000E+06,17227.58
1761939446,182917.98,5.789539E+07,192984.61,16300.00,5.159000E+06,17196.66
1761939456,178418.91,5.967958E+07,192514.75,15899.99,5.318000E+06,17154.84
1761939466,198638.13,6.166596E+07,192706.10,17700.01,5.495000E+06,17171.87
1761939476,222198.00,6.388794E+07,193599.80,19800.00,5.693000E+06,17251.51
1761939486,209863.01,6.598657E+07,194078.12,18700.00,5.880000E+06,17294.12
1761939496,187394.98,6.786052E+07,193887.18,16700.00,6.047000E+06,17277.14
1761939506,193048.01,6.979100E+07,193863.87,17200.00,6.219000E+06,17275.00
1761939516,185157.00,7.164257E+07,193628.55,16500.00,6.384000E+06,17254.05
1761939526,181799.99,7.346057E+07,193317.27,16200.00,6.546000E+06,17226.31
1761939536,191900.00,7.537957E+07,193280.93,17100.00,6.717000E+06,17223.08
1761939546,213217.00,7.751174E+07,193779.33,19000.00,6.907000E+06,17267.50
1761939556,185157.00,7.936331E+07,193569.03,16500.00,7.072000E+06,17248.78
1761939566,185190.00,8.121521E+07,193369.53,16500.00,7.237000E+06,17230.95
1761939576,193018.00,8.314539E+07,193361.35,17200.00,7.409000E+06,17230.23
1761939586,221082.00,8.535621E+07,193991.37,19700.00,7.606000E+06,17286.36
1761939596,210972.68,8.746594E+07,194368.73,18799.97,7.794000E+06,17320.00
