Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761942082,198611.40,1.986130E+06,198611.40,17699.86,1.770000E+05,17699.86
1761942092,205387.00,4.040000E+06,201999.19,18300.00,3.600000E+05,17999.93
1761942102,204238.99,6.082390E+06,202745.79,18200.00,5.420000E+05,18066.62
1761942112,195255.01,8.034940E+06,200873.10,17400.00,7.160000E+05,17899.96
1761942122,171699.99,9.751940E+06,195038.48,15300.00,8.690000E+05,17379.97
1761942132,170580.00,1.145774E+07,190962.08,15200.00,1.021000E+06,17016.64
1761942142,170583.00,1.316357E+07,188050.78,15200.00,1.173000E+06,16757.12
1761942152,187400.94,1.503758E+07,187969.55,16699.99,1.340000E+06,16749.98
1761942162,206499.08,1.710257E+07,190028.39,18400.01,1.524000E+06,16933.32
1761942172,204237.00,1.914494E+07,191449.25,18200.00,1.706000E+06,17059.99
1761942182,208744.99,2.123239E+07,193021.59,18600.00,1.892000E+06,17199.99
1761942192,173935.00,2.297174E+07,191431.04,15500.00,2.047000E+06,17058.32
1761942202,176183.93,2.473358E+07,190258.18,15699.99,2.204000E+06,16953.84
1761942212,173963.08,2.647321E+07,189094.25,15500.01,2.359000E+06,16849.99
1761942222,178409.99,2.825731E+07,188381.97,15900.00,2.518000E+06,16786.66
1761942232,193026.99,3.018758E+07,188672.28,17200.00,2.690000E+06,16812.49
1761942242,209863.01,3.228621E+07,189918.79,18700.00,2.877000E+06,16923.52
1761942252,197518.00,3.426139E+07,190340.97,17600.00,3.053000E+06,16961.10
1761942262,181799.94,3.607939E+07,189891.44,16199.99,3.215000E+06,16921.05
1761942272,182918.06,3.790857E+07,189542.77,16300.01,3.378000E+06,16889.99
1761942282,176174.00,3.967031E+07,188906.17,15700.00,3.535000E+06,16833.33
1761942292,198643.00,4.165674E+07,189348.75,17700.00,3.712000E+06,16872.72
1761942302,206484.01,4.372158E+07,190093.76,18400.00,3.896000E+06,16939.12
1761942312,196401.00,4.568559E+07,190356.56,17500.00,4.071000E+06,16962.49
1761942322,181797.00,4.750356E+07,190014.18,16200.00,4.233000E+06,16931.99
1761942332,179564.99,4.929921E+07,189612.29,16000.00,4.393000E+06,16896.15
1761942342,187392.01,5.117313E+07,189530.05,16700.00,4.560000E+06,16888.88
1761942352,194168.97,5.311482E+07,189695.73,17300.00,4.733000E+06,16903.57
1761942362,205357.03,5.516839E+07,190235.77,18300.00,4.916000E+06,16951.72
1761942372,197492.00,5.714331E+07,190477.65,17600.00,5.092000E+06,16973.33
1761942382,186307.99,5.900639E+07,190343.14,16600.00,5.258000E+06,16961.29
1761942392,180681.99,6.081321E+07,190041.23,16100.00,5.419000E+06,16934.37
1761942402,209837.02,6.291158E+07,190641.11,18700.00,5.606000E+06,16987.87
1761942412,210972.99,6.502131E+07,191239.10,18800.00,5.794000E+06,17041.17
1761942422,204269.01,6.706400E+07,191611.38,18200.00,5.976000E+06,17074.28
1761942432,203120.99,6.909521E+07,191931.10,18100.00,6.157000E+06,17102.77
1761942442,194131.99,7.103653E+07,191990.58,17300.00,6.330000E+06,17108.10
1761942452,179568.00,7.283221E+07,191663.67,16000.00,6.490000E+06,17078.94
1761942462,189636.99,7.472858E+07,191611.70,16900.00,6.659000E+06,17074.36
1761942472,185181.01,7.658039E+07,191450.94,16500.00,6.824000E+06,17060.00
