Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761950858,280529.93,2.805310E+06,280529.93,24999.90,2.500000E+05,24999.90
1761950868,287307.90,5.678390E+06,283918.91,25599.99,5.060000E+05,25299.95
1761950878,261482.10,8.293210E+06,276439.99,23300.01,7.390000E+05,24633.30
1761950888,288391.99,1.117713E+07,279427.98,25700.00,9.960000E+05,24899.98
1761950898,315345.00,1.433058E+07,286611.38,28100.00,1.277000E+06,25539.98
1761950908,290655.00,1.723713E+07,287285.32,25900.00,1.536000E+06,25599.98
1761950918,300761.01,2.024474E+07,289210.42,26800.00,1.804000E+06,25771.41
1761950928,298526.00,2.323000E+07,290374.86,26600.00,2.070000E+06,25874.99
1761950938,263721.00,2.586721E+07,287413.32,23500.00,2.305000E+06,25611.10
1761950948,255852.99,2.842574E+07,284257.29,22800.00,2.533000E+06,25329.99
1761950958,260365.02,3.102939E+07,282085.27,23200.00,2.765000E+06,25136.36
1761950968,270440.00,3.373379E+07,281114.83,24100.00,3.006000E+06,25049.99
1761950978,310851.99,3.684231E+07,283402.30,27700.00,3.283000E+06,25253.84
1761950988,318726.01,4.002957E+07,285925.42,28400.00,3.567000E+06,25478.56
1761950998,265956.00,4.268913E+07,284594.13,23700.00,3.804000E+06,25359.99
1761951008,262599.99,4.531513E+07,283219.50,23400.00,4.038000E+06,25237.49
