Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761954920,304120.47,3.041210E+06,304120.47,27099.95,2.710000E+05,27099.95
1761954930,310836.98,6.149580E+06,307478.72,27700.00,5.480000E+05,27399.98
1761954940,305263.03,9.202210E+06,306740.16,27200.00,8.200000E+05,27333.32
1761954950,281678.98,1.201900E+07,300474.87,25100.00,1.071000E+06,26774.99
1761954960,271557.88,1.473458E+07,294691.47,24199.99,1.313000E+06,26259.99
1761954970,242423.12,1.715881E+07,285980.08,21600.01,1.529000E+06,25483.33
1761954980,310832.01,2.026713E+07,289530.36,27700.00,1.806000E+06,25799.99
1761954990,299643.99,2.326357E+07,290794.56,26700.00,2.073000E+06,25912.49
1761955000,301881.99,2.628239E+07,292026.50,26900.00,2.342000E+06,26022.22
1761955010,301882.01,2.930121E+07,293012.05,26900.00,2.611000E+06,26110.00
1761955020,308592.00,3.238713E+07,294428.41,27500.00,2.886000E+06,26236.36
1761955030,272699.97,3.511413E+07,292617.70,24300.00,3.129000E+06,26075.00
1761955040,258126.01,3.769539E+07,289964.50,23000.00,3.359000E+06,25838.46
1761955050,268192.03,4.037731E+07,288409.32,23900.00,3.598000E+06,25700.00
1761955060,268225.99,4.305957E+07,287063.77,23900.00,3.837000E+06,25580.00
1761955070,305237.00,4.611194E+07,288199.59,27200.00,4.109000E+06,25681.25
1761955080,299645.00,4.910839E+07,288872.85,26700.00,4.376000E+06,25741.17
1761955090,269318.88,5.180158E+07,287786.52,23999.99,4.616000E+06,25644.44
1761955100,283942.00,5.464100E+07,287584.18,25300.00,4.869000E+06,25626.31
1761955110,261458.11,5.725558E+07,286277.87,23300.01,5.102000E+06,25510.00
