Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761958914,294019.90,2.940210E+06,294019.90,26199.90,2.620000E+05,26199.90
1761958924,298491.01,5.925120E+06,296255.45,26600.00,5.280000E+05,26399.95
1761958934,264845.98,8.573580E+06,285785.64,23600.00,7.640000E+05,25466.63
1761958944,304121.00,1.161479E+07,290369.47,27100.00,1.035000E+06,25874.98
1761958954,299634.02,1.461113E+07,292222.38,26700.00,1.302000E+06,26039.98
1761958964,306386.98,1.767500E+07,294583.15,27300.00,1.575000E+06,26249.98
1761958974,303000.01,2.070500E+07,295785.56,27000.00,1.845000E+06,26357.13
1761958984,305239.01,2.375739E+07,296967.24,27200.00,2.117000E+06,26462.49
1761958994,279419.00,2.655158E+07,295017.43,24900.00,2.366000E+06,26288.88
1761959004,265980.99,2.921139E+07,292113.79,23700.00,2.603000E+06,26029.99
1761959014,272700.00,3.193839E+07,290348.90,24300.00,2.846000E+06,25872.72
1761959024,299619.01,3.493458E+07,291121.41,26700.00,3.113000E+06,25941.66
1761959034,309735.98,3.803194E+07,292553.30,27600.00,3.389000E+06,26069.22
1761959044,310863.01,4.114057E+07,293861.14,27700.00,3.666000E+06,26185.71
1761959054,283916.87,4.397974E+07,293198.18,25299.99,3.919000E+06,26126.66
1761959064,260365.05,4.658339E+07,291146.11,23200.00,4.151000E+06,25943.74
1761959074,254735.07,4.913074E+07,289004.29,22700.01,4.378000E+06,25752.94
1761959084,297383.98,5.210458E+07,289469.83,26500.00,4.643000E+06,25794.44
1761959094,315363.03,5.525821E+07,290832.63,28100.00,4.924000E+06,25915.78
1761959104,310836.99,5.836658E+07,291832.85,27700.00,5.201000E+06,26005.00
1761959114,289535.00,6.126193E+07,291723.42,25800.00,5.459000E+06,25995.23
1761959124,273820.00,6.400013E+07,290909.63,24400.00,5.703000E+06,25922.72
1761959134,271588.01,6.671601E+07,290069.56,24200.00,5.945000E+06,25847.82
1761959144,282791.98,6.954393E+07,289766.33,25200.00,6.197000E+06,25820.83
1761959154,318727.80,7.273121E+07,290924.79,28399.98,6.481000E+06,25924.00
1761959164,305236.20,7.578357E+07,291475.23,27200.02,6.753000E+06,25973.07
1761959174,289543.01,7.867900E+07,291403.66,25800.00,7.011000E+06,25966.66
1761959184,270431.00,8.138331E+07,290654.64,24100.00,7.252000E+06,25900.00
1761959194,265990.00,8.404321E+07,289804.14,23700.00,7.489000E+06,25824.13
1761959204,317572.99,8.721894E+07,290729.76,28300.00,7.772000E+06,25906.66
1761959214,317606.00,9.039500E+07,291596.74,28300.00,8.055000E+06,25983.87
1761959224,313099.99,9.352600E+07,292268.72,27900.00,8.334000E+06,26043.75
1761959234,289513.02,9.642113E+07,292185.21,25800.00,8.592000E+06,26036.36
1761959244,279443.99,9.921557E+07,291810.47,24900.00,8.841000E+06,26002.94
1761959254,263716.84,1.018527E+08,291007.79,23499.99,9.076000E+06,25931.43
1761959264,274939.17,1.046021E+08,290561.44,24500.02,9.321000E+06,25891.66
1761959274,287308.00,1.074752E+08,290473.51,25600.00,9.577000E+06,25883.78
1761959284,311978.98,1.105950E+08,291039.44,27800.00,9.855000E+06,25934.21
1761959294,294021.01,1.135352E+08,291115.90,26200.00,1.011700E+07,25941.02
1761959304,271578.99,1.162510E+08,290627.47,24200.00,1.035900E+07,25897.50
1761959314,296257.02,1.192136E+08,290764.78,26400.00,1.062300E+07,25909.75
1761959324,326556.00,1.224791E+08,291616.95,29100.00,1.091400E+07,25985.71
1761959334,318725.98,1.256664E+08,292247.39,28400.00,1.119800E+07,26041.86
1761959344,304118.01,1.287076E+08,292517.18,27100.00,1.146900E+07,26065.91
1761959354,279442.98,1.315020E+08,292226.64,24900.00,1.171800E+07,26040.00
1761959364,271558.03,1.342176E+08,291777.32,24200.00,1.196000E+07,26000.00
1761959374,269335.99,1.369109E+08,291299.85,24000.00,1.220000E+07,25957.44
1761959384,290662.99,1.398176E+08,291286.58,25900.00,1.245900E+07,25956.25
1761959394,285037.00,1.426679E+08,291159.04,25400.00,1.271300E+07,25944.90
1761959404,278326.87,1.454512E+08,290902.40,24799.99,1.296100E+07,25922.00
1761959414,274935.99,1.482006E+08,290589.33,24500.00,1.320600E+07,25894.12
1761959424,322082.17,1.514214E+08,291194.96,28700.01,1.349300E+07,25948.08
1761959434,309718.99,1.545186E+08,291544.47,27600.00,1.376900E+07,25979.24
1761959444,313100.01,1.576496E+08,291943.65,27900.00,1.404800E+07,26014.81
1761959454,316480.98,1.608144E+08,292389.78,28200.00,1.433000E+07,26054.54
1761959464,302999.86,1.638444E+08,292579.25,26999.99,1.460000E+07,26071.43
1761959474,285037.13,1.666948E+08,292446.93,25400.01,1.485400E+07,26059.65
1761959484,289544.98,1.695902E+08,292396.89,25800.00,1.511200E+07,26055.17
1761959494,276053.03,1.723507E+08,292119.88,24600.00,1.535800E+07,26030.51
1761959504,264839.01,1.749991E+08,291665.20,23600.00,1.559400E+07,25990.00
1761959514,271580.83,1.777149E+08,291335.95,24199.98,1.583600E+07,25960.65
1761959524,276064.16,1.804756E+08,291089.63,24600.01,1.608200E+07,25938.71
1761959534,325463.00,1.837302E+08,291635.24,29000.00,1.637200E+07,25987.30
1761959544,315336.00,1.868836E+08,292005.56,28100.00,1.665300E+07,26020.31
1761959554,318700.99,1.900706E+08,292416.26,28400.00,1.693700E+07,26056.92
1761959564,329936.01,1.933699E+08,292984.74,29400.00,1.723100E+07,26107.57
1761959574,304119.01,1.964111E+08,293150.92,27100.00,1.750200E+07,26122.39
1761959584,307507.99,1.994862E+08,293362.06,27400.00,1.777600E+07,26141.18
1761959594,288391.82,2.023701E+08,293290.02,25699.98,1.803300E+07,26134.78
1761959604,274960.12,2.051197E+08,293028.17,24500.01,1.827800E+07,26111.43
1761959614,276066.04,2.078804E+08,292789.27,24600.00,1.852400E+07,26090.14
1761959624,289519.02,2.107756E+08,292743.85,25800.00,1.878200E+07,26086.11
1761959634,274963.00,2.135252E+08,292500.27,24500.00,1.902700E+07,26064.38
1761959644,265952.80,2.161847E+08,292141.52,23699.98,1.926400E+07,26032.43
1761959654,280567.13,2.189904E+08,291987.20,25000.01,1.951400E+07,26018.67
1761959664,301880.08,2.220092E+08,292117.37,26900.01,1.978300E+07,26030.26
1761959674,304118.01,2.250504E+08,292273.22,27100.00,2.005400E+07,26044.15
1761959684,313099.79,2.281814E+08,292540.23,27899.98,2.033300E+07,26067.95
1761959694,301882.20,2.312002E+08,292658.48,26900.02,2.060200E+07,26078.48
1761959704,319810.00,2.343983E+08,292997.87,28500.00,2.088700E+07,26108.75
1761959714,287308.00,2.372714E+08,292927.63,25600.00,2.114300E+07,26102.47
1761959724,283918.00,2.401106E+08,292817.76,25300.00,2.139600E+07,26092.68
1761959734,277173.98,2.428823E+08,292629.28,24700.00,2.164300E+07,26075.90
1761959744,296290.02,2.458452E+08,292672.86,26400.00,2.190700E+07,26079.76
1761959754,308592.00,2.489311E+08,292860.14,27500.00,2.218200E+07,26096.47
1761959764,317604.99,2.521072E+08,293147.87,28300.00,2.246500E+07,26122.09
1761959774,287275.01,2.549799E+08,293080.37,25600.00,2.272100E+07,26116.09
1761959784,269346.00,2.576734E+08,292810.66,24000.00,2.296100E+07,26092.04
1761959794,280560.94,2.604790E+08,292673.02,24999.99,2.321100E+07,26079.77
1761959804,319813.06,2.636771E+08,292974.58,28500.01,2.349600E+07,26106.67
1761959814,306387.04,2.667410E+08,293121.97,27300.00,2.376900E+07,26119.78
1761959824,302999.97,2.697710E+08,293229.34,27000.00,2.403900E+07,26129.35
1761959834,299612.01,2.727671E+08,293297.97,26700.00,2.430600E+07,26135.48
1761959844,268226.99,2.754494E+08,293031.25,23900.00,2.454500E+07,26111.70
1761959854,271579.00,2.781652E+08,292805.44,24200.00,2.478700E+07,26091.58
1761959864,274939.01,2.809146E+08,292619.33,24500.00,2.503200E+07,26075.00
1761959874,270463.99,2.836192E+08,292390.93,24100.00,2.527300E+07,26054.64
1761959884,280537.00,2.864246E+08,292269.97,25000.00,2.552300E+07,26043.88
1761959894,263741.88,2.890620E+08,291981.81,23499.99,2.575800E+07,26018.18
1761959904,274939.10,2.918114E+08,291811.38,24500.01,2.600300E+07,26003.00
1761959914,291782.04,2.947292E+08,291811.09,26000.00,2.626300E+07,26002.97
1761959924,307472.99,2.978039E+08,291964.64,27400.00,2.653700E+07,26016.67
1761959934,317606.01,3.009800E+08,292213.58,28300.00,2.682000E+07,26038.83
1761959944,319813.01,3.041781E+08,292478.96,28500.00,2.710500E+07,26062.50
1761959954,282800.00,3.070061E+08,292386.78,25200.00,2.735700E+07,26054.28
1761959964,283917.82,3.098453E+08,292306.88,25299.98,2.761000E+07,26047.17
1761959974,301882.19,3.128641E+08,292396.37,26900.02,2.787900E+07,26055.14
